bank_register,value_hex,projection_key_type,result
00:80,0x0F,BANK_AND_REGISTER_PAIR,PASS
00:F4,0x90,BANK_AND_REGISTER_PAIR,PASS
00:F5,0x01,BANK_AND_REGISTER_PAIR,PASS
01:84,0x00,BANK_AND_REGISTER_PAIR,PASS
01:85,0x01,BANK_AND_REGISTER_PAIR,PASS
01:86,0x02,BANK_AND_REGISTER_PAIR,PASS
01:87,0x03,BANK_AND_REGISTER_PAIR,PASS
01:8C,0x40,BANK_AND_REGISTER_PAIR,PASS
01:8D,0x41,BANK_AND_REGISTER_PAIR,PASS
01:8E,0x42,BANK_AND_REGISTER_PAIR,PASS
01:8F,0x43,BANK_AND_REGISTER_PAIR,PASS
01:97,0x0F,BANK_AND_REGISTER_PAIR,PASS
01:98,0x00,BANK_AND_REGISTER_PAIR,PASS
