bank,register,full_key,semantic_family,channel,value
0x00,0x80,"(0x00,0x80)",per_channel_register_control_mask,,0x0F
0x00,0xF4,"(0x00,0xF4)",device_identity,,0x90
0x00,0xF5,"(0x00,0xF5)",revision_identity,,0x01
0x01,0x84,"(0x01,0x84)",adc_clock_delay,0,0x00
0x01,0x85,"(0x01,0x85)",adc_clock_delay,1,0x01
0x01,0x86,"(0x01,0x86)",adc_clock_delay,2,0x02
0x01,0x87,"(0x01,0x87)",adc_clock_delay,3,0x03
0x01,0x8C,"(0x01,0x8C)",pre_clock,0,0x40
0x01,0x8D,"(0x01,0x8D)",pre_clock,1,0x41
0x01,0x8E,"(0x01,0x8E)",pre_clock,2,0x42
0x01,0x8F,"(0x01,0x8F)",pre_clock,3,0x43
0x01,0x97,"(0x01,0x97)",channel_reset,PACKED_CH0_TO_CH3,0x0F
0x01,0x98,"(0x01,0x98)",decoder_power_clock,PACKED_CH0_TO_CH3,0x00
