entry_index,group,bank,register,full_key,semantic_family,channel,meaning,read_safe_authority,projection_consumer,governed_repeated_scan_operation
0,G0-PRE,0x00,0xA8,"(0x00,0xA8)",novid_sampling,ALL_CH_BITS,NOVID pre-bookend,NVP6134C_DATASHEET,NONE,YES
1,G0-ID,0x00,0xF4,"(0x00,0xF4)",device_identity,CHIP,device ID,NVP6134C_DATASHEET,device_identity,NO
2,G0-ID,0x00,0xF5,"(0x00,0xF5)",revision_identity,CHIP,revision ID,NVP6134C_DATASHEET,revision_identity,NO
3,G0-ID,0x00,0x80,"(0x00,0x80)",per_channel_register_control_mask,CHIP,per-channel register control mask,NVP6134C_DATASHEET,per_channel_register_control_mask,NO
4,G0-LOCK,0x00,0xA8,"(0x00,0xA8)",novid_sampling,CHIP_OR_PACKED_CHANNELS,NOVID live status,NVP6134C_DATASHEET,NONE,YES
5,G0-LOCK,0x00,0xB0,"(0x00,0xB0)",global_lock_status,CHIP_OR_PACKED_CHANNELS,latched/held NOVID status; B0 itself is not a documented clear trigger,NVP6134C_DATASHEET,NONE,NO
6,G0-LOCK,0x00,0xE0,"(0x00,0xE0)",global_lock_status,CHIP_OR_PACKED_CHANNELS,AGC lock bits,NVP6134C_DATASHEET,NONE,NO
7,G0-LOCK,0x00,0xE1,"(0x00,0xE1)",global_lock_status,CHIP_OR_PACKED_CHANNELS,clamp/comparator lock bits,NVP6134C_DATASHEET,NONE,NO
8,G0-LOCK,0x00,0xE2,"(0x00,0xE2)",global_lock_status,CHIP_OR_PACKED_CHANNELS,horizontal lock bits,NVP6134C_DATASHEET,NONE,NO
9,G0-LOCK,0x00,0x7A,"(0x00,0x7A)",global_lock_status,CHIP_OR_PACKED_CHANNELS,channel 1/2 data-out mode,NVP6134C_DATASHEET,NONE,NO
10,G0-LOCK,0x00,0x7B,"(0x00,0x7B)",global_lock_status,CHIP_OR_PACKED_CHANNELS,channel 3/4 data-out mode,NVP6134C_DATASHEET,NONE,NO
11,G0-CH,0x00,0xE8,"(0x00,0xE8)",per_channel_status_or_configuration,CH1,FSC change/color-kill/FSC-lock/NOVID packed status,NVP6134C_DATASHEET,NONE,NO
12,G0-CH,0x00,0x81,"(0x00,0x81)",per_channel_status_or_configuration,CH1,SD/AHD mode selection,NVP6134C_DATASHEET,reference_helper_context,NO
13,G0-CH,0x00,0x85,"(0x00,0x85)",per_channel_status_or_configuration,CH1,special-mode selection,NVP6134C_DATASHEET,reference_helper_context,NO
14,G0-CH,0x00,0x23,"(0x00,0x23)",per_channel_status_or_configuration,CH1,YC/color-kill configuration readback,NVP6134C_DATASHEET,NONE,NO
