event_ordinal,scan_index,timestamp_utc,elapsed_from_control_ms,cadence,entry_index,bank,register,raw_word,value,status,value_valid,retried,bank_verified,exact_protocol_phase,final_retry_result,snapshot_sha256
1,7,2026-09-15T21:34:00.593889Z,1220.076,FAST_BACK_TO_BACK_QUALIFICATION,71,0x08,0xF2,0x08F20007,0x00,0x07,TRUE,TRUE,TRUE,NOT_ENCODED,PASS_VALID_VALUE,099E75B2EC6DE34ECA7B09EA1045BEEF194CAE16F037C9D15656A7EA948ECFB7
2,16,2026-09-15T21:34:02.180715Z,2806.903,SAME_BACK_TO_BACK_CHARACTERIZATION,52,0x06,0xF5,0x06F50007,0x00,0x07,TRUE,TRUE,TRUE,NOT_ENCODED,PASS_VALID_VALUE,B3526A3AA8913698853290F4C782188BC02211F1F179DF0B602270FF3F8AB298
3,23,2026-09-15T21:34:03.418924Z,4045.112,SAME_BACK_TO_BACK_CHARACTERIZATION,52,0x06,0xF5,0x06F50007,0x00,0x07,TRUE,TRUE,TRUE,NOT_ENCODED,PASS_VALID_VALUE,2E6D9BDF1931A58E98543C7BB8B1561DF6ECDDCD6463DDEC3AC789DBAEC38F01
4,28,2026-09-15T21:34:04.306628Z,4932.815,SAME_BACK_TO_BACK_CHARACTERIZATION,5,0x00,0xB0,0x00B00007,0x00,0x07,TRUE,TRUE,TRUE,NOT_ENCODED,PASS_VALID_VALUE,2A4B733D01E82CCACE9ECDBC1DF8FCC9CFDDA0E1322B1116CB8FE0CA772EA14E
5,36,2026-09-15T21:34:05.720095Z,6346.282,SAME_BACK_TO_BACK_CHARACTERIZATION,62,0x07,0xF4,0x07F40007,0x00,0x07,TRUE,TRUE,TRUE,NOT_ENCODED,PASS_VALID_VALUE,BA08698CE1B05B92A8FB9B9489CC7367AAEE33E1E8D0CE52E68875F2D60A1CE3
6,38,2026-09-15T21:34:06.082948Z,6709.136,SAME_BACK_TO_BACK_CHARACTERIZATION,38,0x05,0xF2,0x05F2C007,0xC0,0x07,TRUE,TRUE,TRUE,NOT_ENCODED,PASS_VALID_VALUE,DAB93D4327DBB6A21174BCCFC730BA1FEDDE56E0F1A404BC8D8214F78DF57300
7,38,2026-09-15T21:34:06.082948Z,6709.136,SAME_BACK_TO_BACK_CHARACTERIZATION,59,0x07,0xF0,0x07F0FF07,0xFF,0x07,TRUE,TRUE,TRUE,NOT_ENCODED,PASS_VALID_VALUE,DAB93D4327DBB6A21174BCCFC730BA1FEDDE56E0F1A404BC8D8214F78DF57300
8,42,2026-09-15T21:34:06.795878Z,7422.066,SAME_BACK_TO_BACK_CHARACTERIZATION,63,0x07,0xF5,0x07F50007,0x00,0x07,TRUE,TRUE,TRUE,NOT_ENCODED,PASS_VALID_VALUE,4C8E760B68A423ED75D707F7F237CF73FC7A95EB43121D723CE58B81A6D19338
9,58,2026-09-15T21:34:09.607373Z,10233.561,SAME_BACK_TO_BACK_CHARACTERIZATION,62,0x07,0xF4,0x07F40007,0x00,0x07,TRUE,TRUE,TRUE,NOT_ENCODED,PASS_VALID_VALUE,B8993780BB2C4BA89572F7F3B7B47EAF5B1AE086D389B0AD47BA9D283C25DB39
10,64,2026-09-15T21:34:10.668052Z,11294.239,SAME_BACK_TO_BACK_CHARACTERIZATION,5,0x00,0xB0,0x00B00007,0x00,0x07,TRUE,TRUE,TRUE,NOT_ENCODED,PASS_VALID_VALUE,49F8C2F0789210E395508339CFD5462F63CAB8845E68A191CB60A9D89D49B3A3
