transaction_ordinal,operation,group_index,group_name,bank,entry_index,register,derived_or_verified
1,SAVE_ENTRY_BANK_READ,N/A,N/A,ENTRY_BANK,N/A,0xFF,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
2,SELECT_GROUP_BANK_WRITE,0,G0-PRE,0x00,N/A,0xFF,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
3,VERIFY_GROUP_BANK_READ,0,G0-PRE,0x00,N/A,0xFF,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
4,READ_MANIFEST_ENTRY,0,G0-PRE,0x00,0,0xA8,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
5,SELECT_GROUP_BANK_WRITE,1,G0-ID,0x00,N/A,0xFF,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
6,VERIFY_GROUP_BANK_READ,1,G0-ID,0x00,N/A,0xFF,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
7,READ_MANIFEST_ENTRY,1,G0-ID,0x00,1,0xF4,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
8,READ_MANIFEST_ENTRY,1,G0-ID,0x00,2,0xF5,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
9,READ_MANIFEST_ENTRY,1,G0-ID,0x00,3,0x80,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
10,SELECT_GROUP_BANK_WRITE,2,G0-LOCK,0x00,N/A,0xFF,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
11,VERIFY_GROUP_BANK_READ,2,G0-LOCK,0x00,N/A,0xFF,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
12,READ_MANIFEST_ENTRY,2,G0-LOCK,0x00,4,0xA8,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
13,READ_MANIFEST_ENTRY,2,G0-LOCK,0x00,5,0xB0,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
14,READ_MANIFEST_ENTRY,2,G0-LOCK,0x00,6,0xE0,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
15,READ_MANIFEST_ENTRY,2,G0-LOCK,0x00,7,0xE1,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
16,READ_MANIFEST_ENTRY,2,G0-LOCK,0x00,8,0xE2,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
17,READ_MANIFEST_ENTRY,2,G0-LOCK,0x00,9,0x7A,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
