group_index,group_name,bank,previous_execution_group_bank,previous_bank_valid,selection_kind,first_entry,entry_count,last_entry,select_transaction_ordinal,verify_transaction_ordinal,first_read_transaction_ordinal,last_read_transaction_ordinal,authority
0,G0-PRE,0x00,N/A,NO,FIRST_GROUP_NO_PREDECESSOR,0,1,0,2,3,4,4,DERIVED_FROM_EXACT_MANIFEST_PACKAGE_AND_SCANNER_FSM
1,G0-ID,0x00,0x00,YES,SAME_BANK_RESELECTION,1,3,3,5,6,7,9,DERIVED_FROM_EXACT_MANIFEST_PACKAGE_AND_SCANNER_FSM
2,G0-LOCK,0x00,0x00,YES,SAME_BANK_RESELECTION,4,7,10,10,11,12,18,DERIVED_FROM_EXACT_MANIFEST_PACKAGE_AND_SCANNER_FSM
3,G0-CH,0x00,0x00,YES,SAME_BANK_RESELECTION,11,16,26,19,20,21,36,DERIVED_FROM_EXACT_MANIFEST_PACKAGE_AND_SCANNER_FSM
4,G1,0x01,0x00,YES,BANK_VALUE_CHANGE,27,10,36,37,38,39,48,DERIVED_FROM_EXACT_MANIFEST_PACKAGE_AND_SCANNER_FSM
5,G2,0x05,0x01,YES,BANK_VALUE_CHANGE,37,11,47,49,50,51,61,DERIVED_FROM_EXACT_MANIFEST_PACKAGE_AND_SCANNER_FSM
6,G3,0x06,0x05,YES,BANK_VALUE_CHANGE,48,11,58,62,63,64,74,DERIVED_FROM_EXACT_MANIFEST_PACKAGE_AND_SCANNER_FSM
7,G4,0x07,0x06,YES,BANK_VALUE_CHANGE,59,11,69,75,76,77,87,DERIVED_FROM_EXACT_MANIFEST_PACKAGE_AND_SCANNER_FSM
8,G5,0x08,0x07,YES,BANK_VALUE_CHANGE,70,11,80,88,89,90,100,DERIVED_FROM_EXACT_MANIFEST_PACKAGE_AND_SCANNER_FSM
9,G0-POST,0x00,0x08,YES,BANK_VALUE_CHANGE,81,1,81,101,102,103,103,DERIVED_FROM_EXACT_MANIFEST_PACKAGE_AND_SCANNER_FSM
