# SHA256|SIZE|RELATIVE_PATH; excludes this manifest and the index
7DCA5A82DF659F3D639480D77BD991EE03ADB234C4777DC63BDBBCB353524B91|152|CONT1R3_AUTOINIT_RECEIPT.md
8B559BE45286CFAD2B85885C5A93B0B9DDB7FFDCAC29495A1CA03F9936F3FB01|336|CONT1R3_BITSTREAM_IDENTITY.md
D9A51758BF2F4C09564FC99ECC844F76436ED7E8DBF90723CC1A711BB13E88C2|1959|CONT1R3_BUILD_SIGNOFF.md
F65B08859EC63D1ACF3DC775A70C25B9FE43C5A54686EA97D620FD7E722DAFD8|110|CONT1R3_CAMPAIGN_PROGRESS.csv
E164DC3486E120FC5954C8351BFC0CC9FF614A23A516CC7966ACA4780342D22D|799|CONT1R3_CAUSAL_ANALYSIS.md
A42A2BD01849516ED91C449FC4B671D6B84C09650459855CF368BD4655B17D6E|515|CONT1R3_CAUSAL_DECISION.md
3C0DC34E8188EE0FB31DB829EACE60C31AEA21D8FF5FEFABFC9B214139713628|575|CONT1R3_CLEANUP_RECEIPT.md
42FE922DFB70523DFFFE55B324ECBC7559A816E8353999082B3E2A6225F4A0EE|8441|CONT1R3_CLEAN_TRANSACTION_SCHEDULE.csv
CC093552BB7A18A6E22F53091D2F521D2292B43443B933944226B7CCCAEBB0E3|1016|CONT1R3_CONT1R2_INHERITANCE.md
F65B08859EC63D1ACF3DC775A70C25B9FE43C5A54686EA97D620FD7E722DAFD8|110|CONT1R3_CONTROL_SCAN.csv
509E784E5BB1E8C26705C3C226B7A051FD274092BA36BB3B7021C1FDC71092B5|153|CONT1R3_DEPLOYMENT_LEDGER.md
B5F215EAEF1D513206632C8B6418453CCDDE2887F42DB42B69BA142148D43008|147|CONT1R3_DRIVER_LOAD.md
088F0C870C9197CC5C78D02972FFA436A10B57500354351A00E226D0747538B9|151|CONT1R3_DUT_BUNDLE_GATE.md
FC699398FC4DC168235D7C8FD6B1F66A12A83E889871D9377C2AF104315C99A1|148|CONT1R3_DUT_IDENTITY.md
11806991954A286BEE016547E606BF305F97971031B7F2FF4E59C85A5752F088|153|CONT1R3_DUT_SAFETY_SURVEY.md
1F612155E47F990F6E3292AD8AD75DA578437942BC11E38EC0F459F51E239175|709|CONT1R3_EVENT_CAPACITY_PROOF.md
CEE58B98AC0A032B62721AC19AAA8643BBDBA0D6BD2928A52E05F08F126C10C9|1380|CONT1R3_EXECUTION_GROUPS.csv
F65B08859EC63D1ACF3DC775A70C25B9FE43C5A54686EA97D620FD7E722DAFD8|110|CONT1R3_EXPOSURE_SUMMARY.csv
C20147997D9E9C7BDECA29E477B26E3B10402D05BE236E94EF45ECB2851C91AA|1020|CONT1R3_GATE_MATRIX.csv
F65B08859EC63D1ACF3DC775A70C25B9FE43C5A54686EA97D620FD7E722DAFD8|110|CONT1R3_GROUP_POSITION_DISTRIBUTION.csv
F65B08859EC63D1ACF3DC775A70C25B9FE43C5A54686EA97D620FD7E722DAFD8|110|CONT1R3_I2C_ERROR_EVENTS.csv
4680EAEF1E456A25520E11610EF5D22B77C672F5CA256D9D180DDBE0A17BCA1A|1857|CONT1R3_I2C_MASTER_AUTHORITY_AUDIT.md
6C17C68FBD48F9DFFB2D3A1F04EF1366BC00F4728C7256989B2CBEF34A3CC326|1801|CONT1R3_MANIFEST_POSITION_AUDIT.csv
B8860D4B4651639CEE6ACB5E2A125200ADC78DFAEB548AEAADDF3E6AA6827D26|2174|CONT1R3_MANIFEST_POSITION_AUDIT.md
56DFAC9650839E5DDEF70E3302D4983DFC5C65071C4846368C184497075EC4E4|929|CONT1R3_MMIO_DELTA.md
61AA887FE6E08825D7B5B1D13EAFB059CFBEE62E85603BAAD4EA66755016FD78|147|CONT1R3_MMIO_SANITY.md
55B666CB850FCC2F542B9C0445E3D2376F115337287D70FD300CC9418555DD7A|1322|CONT1R3_OBSERVABILITY_DELTA.md
6E514837994649DFA0B151751EB462C87FDC3998753ABBD65BE31222DCAE6850|1011|CONT1R3_OFFLINE_TEST_RESULTS.md
FD5BFC46A98B82530701BB02A095EFDB99AE4E8350608CC234C75A98C89C5BA3|802|CONT1R3_OWNER_AUTHORIZATION.md
F65B08859EC63D1ACF3DC775A70C25B9FE43C5A54686EA97D620FD7E722DAFD8|110|CONT1R3_PHASE_DISTRIBUTION.csv
F65B08859EC63D1ACF3DC775A70C25B9FE43C5A54686EA97D620FD7E722DAFD8|110|CONT1R3_POST_VERIFY_TIME_DISTRIBUTION.csv
18CDD7FBC67ABDB799475CE509BC686C3A2CD0E7153BC4E44910ABC809B5DF8C|6605|CONT1R3_PREREGISTERED_HYPOTHESES.md
6266B4519A30CB7FA0D53C713068EDF551EA90FF458BA42D49ED604A27F59EB3|197|CONT1R3_PRIVATE_RAW_DATA_MANIFEST.json
F9473DB4EC997B97A2D9F3CBB3601BA901774B8E9A535E480027DF3497236A55|495|CONT1R3_RESOURCE_DELTA.csv
C804D8D633AB6143B56BBA565FCE1B8EB5A322867A763A0439D3B05FC278C21E|1603|CONT1R3_RETRY_BEHAVIOR_EQUIVALENCE.md
6266B4519A30CB7FA0D53C713068EDF551EA90FF458BA42D49ED604A27F59EB3|197|CONT1R3_RUNTIME_BUNDLE_MANIFEST.json
2A2FAEF5D2645797F60205F3A72E79D0D47500B4F4739CEA028BB81B39A5C65D|152|CONT1R3_RUNTIME_IDENTITY.md
B26FF087CBDEE75A0B8580EE230BB303F22C00837A719312FFD334DD1A4E44B5|1067|CONT1R3_SCOPE.md
EEEE5D6599A21B41CDBC6D3370E241C12C37D5726C1D667AD77B09584339B7C6|1366|CONT1R3_SOURCE_AUTHORITY.md
628ABF4EB758F91574922523107B7AED0E61F8BB270C40468F6F633FB5FA8C35|1559|CONT1R3_STATE.json
41FD6F81940438143F1975B5B79DFA7A94843D2A5F90ED176813DC4EE0633B84|1634|CONT1R3_TELEMETRY_CONTRACT.md
438D630943B0D3A2BFCB2C23B9FB060FD0C347C16F331D008997DBB3B8B22F95|5938|CONT1R3_TELEMETRY_SCHEMA.json
E4FF5C5E7E0134A9BD20C628DD908A0EDA76271F7EAB8AD2C564336B9345C7C3|439|CONT1R3_TRANSACTION_RECONCILIATION.md
1B4C063886789EDEAA2420E556A4F237BCE92682E2A8675E03CE6DA80DB879EC|4069|V41_G2B_NVP_CAMERA_ACQ1_COMPAT0_R2R1_CONT1R3_MAIN_REPORT.md
279DDC264DA1F89E8EBA00EE23FC581DC34080A3C847CD3EFD9D51A85900CC67|2170|host-source/CONT1R1_CONFIGURATION_PROJECTION_SCHEMA.json
46DD0D28658190FC7DDF66D60DEB525F187B23DAAAB35C4FB24EC405E0B5D1C9|9092|host-source/cont1r1_projection.py
2BE4BE0F3FECE99899F92E9C95DA875CA0C9F4269236D61013EFA569BFB66DE4|236|host-source/cont1r3/__init__.py
D24D1A528094C763BDA8E9F3F7E4225EBF9F84CA36A5FF8F98F1441DB1201DF8|17904|host-source/cont1r3/characterizer.py
E5AD1659004151A526B01089F5EE8D4BCB8783675EC825788C57FAE40DC32CC0|2791|host-source/cont1r3/contract.py
CC26781A94D78B95F06AFAAD4116ADF27C3BAD3834C328E907085855A49C5794|360|host-source/cont1r3/projection.py
438D630943B0D3A2BFCB2C23B9FB060FD0C347C16F331D008997DBB3B8B22F95|5938|host-source/cont1r3/resources/CONT1R3_TELEMETRY_SCHEMA.json
18D38E6BAD8876A735433B00D6ED922CC55D848C2C5AD5CE517309071373C050|39|host-source/cont1r3/resources/__init__.py
56822992470B9FFD21CC945E9DF7059FC56DFC69915E60EA24190E9CB58A49DE|15737|host-source/cont1r3/telemetry.py
6F5748E6F1EBD120EBC924EE480420A060F4459F2E327242BF000CA6A6F1284E|176|host-source/cont1r3_launcher.py
A52B5F937C8656BFFF326270D2D94D586BC64699F59272B72860DE927BB179F2|86|host-source/scan1/__init__.py
9406245BE89D0765ABCFD3810D69ECBF28C1976731851BB076FB4B737B9FAACF|4961|host-source/scan1/manifest.py
F229480995DBD688ECFE770AE56ADEDB43B6209504296BA19C02F808D18CF512|2128|host-source/scan1/mmio.py
7126569A27CEA10E2B61EF80D04834F54C30A0CE5C64AD845EE73EEEF03BA98E|546|host-source/scan1/resources/G2B_NVP_CAMERA_SCAN1_R1_FORMAT_DEBOUNCE_STATE_MACHINE.json
110A42871547B7A3DB5212A35BA9FC90F54B851EF6E62FFF7A0DDEFBB22B238B|1180|host-source/scan1/resources/G2B_NVP_CAMERA_SCAN1_R1_FORMAT_DETECTION_DECISION_TREE.json
DCDD0DEEA3BD9427FECFE528EDB69BD768FE4418FA89686E2582ABF894D8A1DB|1928|host-source/scan1/resources/G2B_NVP_CAMERA_SCAN1_R1_HOST_DETECTION_STATE_MACHINE.json
16AA23D7E52F8255C37EE1832CBDD7CEA7B47F5DE985F821380A8EE3CFCC9D72|1271|host-source/scan1/resources/G2B_NVP_CAMERA_SCAN1_R1_MMIO_CONTRACT.md
42103EF8B9E5EEE01AD5CEEE80D4B3C3CB7C4E6F57A8307D6BC1F7E24523130A|1820|host-source/scan1/resources/G2B_NVP_CAMERA_SCAN1_R1_MMIO_MAP.csv
6C1F770CDF5B184E4E80E9C8DF8DF3696E2BA595121844A8F16682937F3B6440|2240|host-source/scan1/resources/G2B_NVP_CAMERA_SCAN1_R1_PROHIBITED_READS.csv
C7211D562F7B932CFF023331E34A0D3507A9904B73A85EC357FEF19B7136626C|7284|host-source/scan1/resources/G2B_NVP_CAMERA_SCAN1_R1_READ_MANIFEST.csv
69C6C3518A737C33E5DBC654D20616D5FEC4B9A828EA5CE52061001D564112B5|25676|host-source/scan1/resources/G2B_NVP_CAMERA_SCAN1_R1_READ_MANIFEST.json
14118F762BB50A73C2195F8A6DD07D9FBDE9A09E0160E24637AAB3B894C845AE|29305|host-source/scan1/resources/G2B_NVP_CAMERA_SCAN1_R1_REGISTER_AUTHORITY_MATRIX.csv
C2B817FE31193471071B9232FAD8A9A1100B02AA688F7ACBE693D9CCB91F0074|2451|host-source/scan1/resources/G2B_NVP_CAMERA_SCAN1_R1_SCAN_SCHEMA.json
94D206E100583E9FB6B9F2EA1DAB6381B2895DC6149639FFE2CF8FDC2D0A2D02|1291|host-source/scan1/resources/G2B_NVP_CAMERA_SCAN1_R1_SCIENTIFIC_OUTCOME_RULES.md
B1B4D9599B9D98EB852CAD686A62A095561E4D05CBBD99079B8A23AC7DF6DEBA|1307|host-source/scan1/resources/G2B_NVP_CAMERA_SCAN1_R1_STATUS_ENCODING.md
