AbsoluteAddress,RelativeOffset,Field,Access,Contract
0x12000,0x000,MAGIC,RO,0x4E565343 NVSC
0x12004,0x004,VERSION,RO,0x00010001
0x12008,0x008,CAPABILITIES,RO,ONESHOT|ENTRY_BANK_RESTORE|BANK_VERIFY|HOST_HISTORY
0x1200C,0x00C,CONTROL,WO,bit0 START; bit1 ACK; bit2 ABORT; all other bits zero
0x12010,0x010,STATUS,RO,IDLE|BUSY|DONE|ERROR|AUTOINIT_DONE
0x12014,0x014,GENERATION,RO,completed snapshot generation
0x12018,0x018,ENTRY_COUNT,RO,82
0x1201C,0x01C,VALID_ENTRY_COUNT,RO,successful entry reads
0x12020,0x020,FAILED_ENTRY_COUNT,RO,failed entries
0x12024,0x024,RETRIED_ENTRY_COUNT,RO,logical entries retried once
0x12028,0x028,FIRST_ERROR_INDEX,RO,first failing manifest index
0x1202C,0x02C,FIRST_ERROR_DETAIL,RO,bank/register/error
0x12030,0x030,ENTRY_BANK,RO,saved entry bank
0x12034,0x034,EXIT_BANK,RO,verified restored bank
0x12038,0x038,A8_PRE_POST,RO,pre low byte; post next byte
0x1203C,0x03C,SCAN_FLAGS,RO,VALID_COMPLETE|LIVE_STATUS_CHANGED|RESTORE_VERIFIED|DEGRADED
0x12040,0x040,START_TICKS_LO,RO,64-bit start low
0x12044,0x044,START_TICKS_HI,RO,64-bit start high
0x12048,0x048,END_TICKS_LO,RO,64-bit end low
0x1204C,0x04C,END_TICKS_HI,RO,64-bit end high
0x12050,0x050,MANIFEST_SHA256_W0,RO,manifest identity word 0
0x12054,0x054,MANIFEST_SHA256_W1,RO,word 1
0x12058,0x058,MANIFEST_SHA256_W2,RO,word 2
0x1205C,0x05C,MANIFEST_SHA256_W3,RO,word 3
0x12060,0x060,MANIFEST_SHA256_W4,RO,word 4
0x12064,0x064,MANIFEST_SHA256_W5,RO,word 5
0x12068,0x068,MANIFEST_SHA256_W6,RO,word 6
0x1206C,0x06C,MANIFEST_SHA256_W7,RO,word 7
0x12080..0x1211F,0x080+GROUP*0x10,GROUP_DIRECTORY_10,RO,"group id/bank/count, start tick32, end tick32, flags"
0x12180..0x122C7,0x180+ENTRY*4,FROZEN_ENTRY_ARRAY_82,RO,[31:24] bank [23:16] register [15:8] value [7:0] status
0x122C8..0x123FF,reserved,RESERVED_ZERO,RO,read zero; writes rejected
