CheckIndex,Group,Family,SourceCount,DestinationCount,RequiredNs,DatapathDelayNs,SlackNs,RuntimeMs,Result,ReportSHA256,ObjectsSHA256
1,9,OWNERSHIP_SLOT_SETTLING,2,17,6.000,5.983,0.047,28,PASS,6D688186702E0B30A35DDB597ABB41F9E0F05C12222BB9757A4B71DB503164A2,B46DAE7B170E57500FE15C37EE984681FE91AABD6BC7BAFEC722B661F3903E73
2,9,OWNERSHIP_GENERATION_SETTLING,24,17,6.000,4.964,1.066,41,PASS,DB78AEC025924B0BBB4A387B671B632582D47518AAA78FBE51A21096252BF232,EC5046ADE082619328E4B42C3247BEF6EA3A27E5A61ECE4646CFA06E84F002C5
3,9,OWNERSHIP_EPOCH_SETTLING,32,17,6.000,5.400,0.630,30,PASS,95F7081AD8BE7F5A5E4A1650C43CB4F19CC0AA3DA0585AA0FD73847D6DF2FB82,08B06DE34850B175DC2322EE0CF3F66111D06E40FBB35F7253CE323B4ECA0D26
4,13,RESET_ABANDONED_COUNT_STABLE_PAYLOAD,3,32,6.000,3.267,2.792,22,PASS,C93FC9CA6F5B400F989A4D35120579B0189F42A3D7F0F29DAC46520DE1E08A23,D355108B0BC73440A53F84F7606EB3B944FD1EF705C776EF2282EF25549483FD
5,13,RESET_COMMIT_PHASE_COMPLETION_BARRIER,4,207,6.000,4.521,1.551,22,PASS,EF336BA8D8FBF63AD9F698B4CBEAD186E6F58E3AB3915D5A5A0A5DE7CB9CB63B,A6141696B1DF179F6E6D826274049524330B75EC42FC697F40590737DAC8F4A7
6,14,RELEASE_SLOT0_NORMAL_STATE_TRANSITION,56,3,6.000,5.307,0.765,34,PASS,898FDE1C89BA36FE5718760C0D3758B71D46171607EFBB23058F54BFC447BC0F,A289A2EF69ECF86321C50A4BB0E0051EC78038788DFCBB9BBFA2CC5981BC5468
7,14,RELEASE_SLOT0_MISMATCH_CONTAINMENT,56,4,6.000,5.380,0.650,29,PASS,F1AC83501195D98226689B88217931BDED4F48B85DBF6E971E7D305119D6A601,7B608CEC5F8816ADEEFFAA92418706F02F5604F57821B7C08677AFCEF383CAA8
8,14,RELEASE_SLOT0_RESET_OVERLAP_ACCOUNTING,56,3,6.000,4.709,1.324,30,PASS,19D5283C5415534E84934659A1EF632B22BC1B8E323819A9CA4B2EF44EC6582F,0927E35A670FDA05E9F92A6F9CE70F03B368FB8B1CF75BB75B99E6D60670D9A0
9,15,RELEASE_SLOT1_NORMAL_STATE_TRANSITION,56,3,6.000,5.462,0.570,35,PASS,7896BE2B359A00A69E00A4478D489FAD6F40417AFCAB3C25F5760135749AB11E,5F6EABCC85467F66426C31CDC1741E340C910F9EBBEE6C7CFA241FC005BBC0FA
10,15,RELEASE_SLOT1_MISMATCH_CONTAINMENT,56,4,6.000,5.494,0.536,30,PASS,F8DFEED9AC350363AC3C4A6EACEDE10410C42980AC6EA1CF0E8CCFDB7ED65413,2B4D6DD69BB4E9F1CF7EEFF357C765149CAB89BB682EEC019A8EC7DBBF5262D7
11,15,RELEASE_SLOT1_RESET_OVERLAP_ACCOUNTING,56,3,6.000,4.269,1.764,30,PASS,8C3B8E3D8899A07C6FA27CE1276DC37A452FEBAF3BDC8308860F50A2DC928E3A,1A3D1370F97752C68386CE7A3567DF983A8B03CA94B8049C8DDA44C5275A4DB6
12,16,RELEASE_SLOT2_NORMAL_STATE_TRANSITION,56,3,6.000,5.101,0.929,48,PASS,1B98A1B6A55CFADD14195C586C2E5A41C8347B02AE3641405603883382EAA5F7,1C80D4B5F79AA087B12DD96DE9A1C5FD61510CC56ACBD6383E16F3889849BE04
13,16,RELEASE_SLOT2_MISMATCH_CONTAINMENT,56,4,6.000,4.946,1.084,34,PASS,CDCD40E1212B97A39B5DAFC4C6760DDE59DE58FFF5AB608EE8847CEE3F2537C0,C738C63A76AA82DBA468FD98144963B7A429D93FF2E49FF16BF8144F6F072527
14,16,RELEASE_SLOT2_RESET_OVERLAP_ACCOUNTING,56,3,6.000,4.430,1.603,32,PASS,8E04EEF343B8FFD2EFF9E0F390C8A1E5870CE456256D656E60C2BE3D2673CB91,D8EB5975E2E81E51B6EAE0DD89B6158FBB0B7699165D420BF2500CC847FE876E
15,17,RELEASE_SLOT3_NORMAL_STATE_TRANSITION,56,3,6.000,5.361,0.711,35,PASS,51E0A095F2FE5A1D3F551E3552D51BED95EA02D532CCF121D740C0C63FC32943,7138853A997254595B85CD664E5178CEAFAE899C41EF1F033805C95729D149BD
16,17,RELEASE_SLOT3_MISMATCH_CONTAINMENT,56,4,6.000,5.226,0.804,32,PASS,7BA29CC07277771B2160C3B16AC605F9B47B76D3F6E032F4AF3221FF1A1490E2,757A4119D3F9DAA8BF6F22DBA3E3C647C2342D1250AFFC783F3A21EEC6EDC903
17,17,RELEASE_SLOT3_RESET_OVERLAP_ACCOUNTING,56,3,6.000,4.298,1.734,32,PASS,90B53654C413FE5CD1ECCC7666184F00074180EDCDE273AE1B977C1EC752DEA4,4F7ADEA75561E56E14EE5287CE9ED13767279D85C0D0DF5EA6E9AE07832D3C95
