scan_label,campaign_index,generation,transactions,retried,exposures,projection,entry_bank_restore
control,,1,105,0,82,PASS,PASS
campaign-0001,1,2,105,0,82,PASS,PASS
campaign-0002,2,3,105,0,82,PASS,PASS
campaign-0003,3,4,105,0,82,PASS,PASS
campaign-0004,4,5,105,0,82,PASS,PASS
campaign-0005,5,6,106,1,82,PASS,PASS
campaign-0006,6,7,105,0,82,PASS,PASS
campaign-0007,7,8,105,0,82,PASS,PASS
campaign-0008,8,9,106,1,82,PASS,PASS
campaign-0009,9,10,105,0,82,PASS,PASS
campaign-0010,10,11,105,0,82,PASS,PASS
campaign-0011,11,12,106,1,82,PASS,PASS
campaign-0012,12,13,105,0,82,PASS,PASS
campaign-0013,13,14,106,1,82,PASS,PASS
campaign-0014,14,15,106,1,82,PASS,PASS
campaign-0015,15,16,107,2,82,PASS,PASS
campaign-0016,16,17,106,1,82,PASS,PASS
campaign-0017,17,18,106,1,82,PASS,PASS
campaign-0018,18,19,105,0,82,PASS,PASS
campaign-0019,19,20,105,0,82,PASS,PASS
campaign-0020,20,21,105,0,82,PASS,PASS
campaign-0021,21,22,105,0,82,PASS,PASS
campaign-0022,22,23,106,1,82,PASS,PASS
campaign-0023,23,24,106,1,82,PASS,PASS
campaign-0024,24,25,105,0,82,PASS,PASS
campaign-0025,25,26,105,0,82,PASS,PASS
