scan_label,group_index,position_in_group,entry_index,bank,register_decimal,cause,retry_success,time_since_verify_ns,transactions_since_verify
campaign-0005,5,3,40,5,244,REGADDR_NACK,TRUE,4938640,3
campaign-0008,7,4,63,7,245,REGADDR_NACK,TRUE,6584848,4
campaign-0011,8,3,73,8,244,REGADDR_NACK,TRUE,4938640,3
campaign-0013,4,1,28,1,152,REGADDR_NACK,TRUE,1646224,1
campaign-0014,8,1,71,8,242,REGADDR_NACK,TRUE,1646224,1
campaign-0015,4,2,29,1,132,REGADDR_NACK,TRUE,3292432,2
campaign-0015,6,1,49,6,242,REGADDR_NACK,TRUE,1646224,1
campaign-0016,5,4,41,5,245,REGADDR_NACK,TRUE,6584848,4
campaign-0017,5,1,38,5,242,REGADDR_NACK,TRUE,1646224,1
campaign-0022,3,8,19,0,234,REGADDR_NACK,TRUE,13169680,8
campaign-0023,6,1,49,6,242,REGADDR_NACK,TRUE,1646224,1
