block_index,replica,mode,block_id,attempted,complete,first_entry_read_opportunities,regaddr_nack_events,rate_per_1000,other_recovered_causes,scans_with_retries,bank_error,time_budget_incomplete
1,I,A,3271557377,16,16,1312,0,0,0,0,0,False
2,I,B,3271557378,16,16,1312,0,0,0,0,0,False
3,I,B,3271557379,16,16,1312,0,0,0,0,0,False
4,I,A,3271557380,16,16,1312,0,0,0,0,0,False
5,I,B,3271557381,16,16,1312,0,0,0,0,0,False
6,I,A,3271557382,16,16,1312,0,0,0,0,0,False
7,I,A,3271557383,16,16,1312,0,0,0,0,0,False
8,I,B,3271557384,16,16,1312,0,0,0,0,0,False
9,II,A,3271557385,16,16,1312,0,0,0,0,0,False
10,II,B,3271557386,16,16,1312,0,0,0,0,0,False
11,II,B,3271557387,16,16,1312,0,0,0,0,0,False
12,II,A,3271557388,16,16,1312,0,0,0,0,0,False
13,II,B,3271557389,16,16,1312,0,0,0,0,0,False
14,II,A,3271557390,16,16,1312,0,0,0,0,0,False
15,II,A,3271557391,16,16,1312,0,0,0,0,0,False
16,II,B,3271557392,16,16,1312,0,0,0,0,0,False
