ab_index,block_index,replica,mode_planned,mode_effective,block_id,scan_attempt_id,generation_before,generation_after,complete,first_entry_read_opportunities,regaddr_nack_events,other_recovered_causes,retried_entries,bank_restore,entry_count,group_count,transaction_count,fpga_ticks,fpga_duration_ms,host_start_ns,host_collected_ns,raw_sha256,legacy_raw_sha256,telemetry_raw_sha256,w3a_status,rejected_write_count
1,1,I,A,A,3271557377,2,1,2,1,82,0,0,0,PASS,82,10,105,10499618,167.993888,1789717494052008130,1789717494226230985,831D4E2B9228A8462F66FFA41868033BA6FF08C746CDB1E10FDEAA7556CC612A,6824DC3B2D33760AE9E8AE0B492E8994949ED825366A29986B53EDF3A9F57283,6020A9377055B440A431AC396709DF55535DC2711B90865E568D9C20887104E1,8,0
2,1,I,A,A,3271557377,3,2,3,1,82,0,0,0,PASS,82,10,105,10499618,167.993888,1789717494234735204,1789717494410738941,5A1048951C3F1369382BF03421314B1C2BE3D95A0B6F0A128A2B3CDC731EC774,E24DED274389E58CA155292CCDE8AA807E87D81C52BCA4AF45BF94C060BD985D,077745314907C0E60CA860C8644D2FDE46079558D40D48D55F74CDE6C9C90456,8,0
3,1,I,A,A,3271557377,4,3,4,1,82,0,0,0,PASS,82,10,105,10499618,167.993888,1789717494417860151,1789717494593668240,AB016D066D9012CDAFA4770A2CE0C9903B6869310070ECEF8CE7FFA0F161FB3C,4719633F75ED024A666877A0ADC892A1BC8751BAED9EB4017B790338760AACB7,4584C25CB8AC40BAF07C153171762D9384CB2317C4F84D3FBEAB2AE01FE48CD1,8,0
4,1,I,A,A,3271557377,5,4,5,1,82,0,0,0,PASS,82,10,105,10499618,167.993888,1789717494600905734,1789717494777227469,5EFCB110868CB3C955C61B1295A15C39F4490029F8A16ECBB24B7CBDBE328951,9DD7A9E806768AD7DECFDFDD05410C6DABB916FE61DBF5BF0B5CD189A57D9A54,DC53380BAFE1C0EFC05D40FB5A21BDCD8A0841847CE89B5FCBC7585ED59003E3,8,0
5,1,I,A,A,3271557377,6,5,6,1,82,0,0,0,PASS,82,10,105,10499618,167.993888,1789717494783731791,1789717494958728532,EF731AA3A1025870558544C5F741BE9E4983A04293B3B37C2EA252169A451C7E,5BAB7C5C5C374A4356C7F876B46C72C7D3D8B98BDA044B1A8500DC5A7B7E61AA,4259F256115AAEFA906184D2310317577FE88435A95808D806656B9C1BD286E8,8,0
6,1,I,A,A,3271557377,7,6,7,1,82,0,0,0,PASS,82,10,105,10499618,167.993888,1789717494965839292,1789717495139966081,44EAF8D105CF3348092E1B8BA6C867EEE5EB33AEDC84F15AA4C9F96BBD09E1FB,5FDDA25FFA2C7A06E0AFF7709679DADC629DCE1AF18EB414B7A42880B1162C71,C8DAD701DB5C49C26CA00FD09FE9D8379D429F4E4609E887525D1DE6D2C6C765,8,0
7,1,I,A,A,3271557377,8,7,8,1,82,0,0,0,PASS,82,10,105,10499618,167.993888,1789717495147039262,1789717495321977984,6B88470FC853E7617AB117AFD750CDF79EE41D5BDAFC6E36267052CB6BD95933,D9DA9E7F55584C974E2ECCBBEF2DEA95EBAE488D98716BF7160DEF06CA16E89F,468FCDB93A52FCE3C20875757DF4AE5520D39BB20D3076CA99CA30195BFB1F5C,8,0
8,1,I,A,A,3271557377,9,8,9,1,82,0,0,0,PASS,82,10,105,10499618,167.993888,1789717495328724223,1789717495504495043,C6A14728F1B5047633C1EEA1E349C9DCAE2E09E64964B873CF38AF9434022DCC,0B2ED97A630530BD574BF20A46D7B856BD62081B3D806FAEA1CD83E2461027F9,4CCE1AC45B75F912E5C3DF560745F342AC500DE7B12DD2F0915E6706CD4C68C9,8,0
9,1,I,A,A,3271557377,10,9,10,1,82,0,0,0,PASS,82,10,105,10499618,167.993888,1789717495511730984,1789717495685691353,4CC7AEFBAB9FE85C0FC7588D76B82EF483C2BBD9857664087DEB3B535BB3C795,075DCF5304D86F4321A7B410A62B71032309F85F61CBB7A866D9C133E35FDDCE,2B33B78D9BFECFD090881D88451086C844F1D592621EC480077FC16C6771057C,8,0
10,1,I,A,A,3271557377,11,10,11,1,82,0,0,0,PASS,82,10,105,10499618,167.993888,1789717495693120651,1789717495868307863,138EEDB178B59925DDBAC85BEAD7F8A4144C303AA7CF21422A6DBEB716C80785,EA18EA284DC5644D50D372756D2E404E6B0861DB0D5F84DB9AA6E2067E9B5291,9879F08646F4C342B3B970B645CA0C60C0485A375B679E73711D57228B9C7033,8,0
