sequence_number,bank,register,target,baseline_pass_a,baseline_pass_b,agreement_rule,prewrite_rule,post_write_rule,post_rollback_rule,technical_authority,execution_status
1,0x00,0x00,B00:R00,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
2,0x00,0x08,B00:R08,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
3,0x00,0x0C,B00:R0C,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
4,0x00,0x10,B00:R10,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
5,0x00,0x14,B00:R14,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
6,0x00,0x18,B00:R18,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
7,0x00,0x21,B00:R21,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
8,0x00,0x22,B00:R22,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
9,0x00,0x23,B00:R23,FULL_BYTE_READ,FULL_BYTE_READ,EXACT,EXACT_BASELINE_EQUALITY_IF_CRITICAL,EXACT_OR_FROZEN_MASK,EXACT_BASELINE_EQUALITY,SCAN0_REGISTER_AUTHORITY_MATRIX:NVP6134C_DATASHEET,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
10,0x00,0x30,B00:R30,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
11,0x00,0x34,B00:R34,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
12,0x00,0x3C,B00:R3C,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
13,0x00,0x40,B00:R40,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
14,0x00,0x44,B00:R44,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
15,0x00,0x48,B00:R48,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
16,0x00,0x4C,B00:R4C,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
