rollback_sequence,bank,register,target,last_forward_touch,restore_operation,baseline_value_source,preserved_bits,required_post_restore_readback,authority_status,execution_status
1,0x01,0xC2,B01:RC2,ROUTE_CH1_TO_VDO1,WRITE_CAPTURED_PRE_CAMPAIGN_FULL_BYTE,FUNCTIONAL_BASELINE_A_AND_B,FULL_BYTE_RESTORE,EXACT_BASELINE_EQUALITY,AUTHORIZED,NOT_REACHED
2,0x00,0x00,B00:R00,MODE:211:POST_MODE,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
3,0x09,0x40,B09:R40,MODE:209:POST_MODE,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
4,0x0A,0x74,B0A:R74,MODE:204:EQ_INIT,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
5,0x05,0xC8,B05:RC8,MODE:202:EQ_INIT,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
6,0x05,0xC1,B05:RC1,MODE:201:EQ_INIT,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
7,0x05,0xC0,B05:RC0,MODE:200:EQ_INIT,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
8,0x05,0x59,B05:R59,MODE:198:EQ_INIT,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
9,0x03,0x3A,B03:R3A,MODE:195:ACP_RX_CLEAR,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
10,0x03,0x67,B03:R67,MODE:191:ACP_RX,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
11,0x03,0x64,B03:R64,MODE:190:ACP_RX,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
12,0x03,0x63,B03:R63,MODE:189:ACP_RX,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
13,0x03,0x68,B03:R68,MODE:188:ACP_RX,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
14,0x03,0x62,B03:R62,MODE:187:ACP_RX,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
15,0x03,0x66,B03:R66,MODE:186:ACP_RX,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
16,0x03,0x0B,B03:R0B,MODE:185:ACP_RX,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
17,0x03,0x60,B03:R60,MODE:184:ACP_RX,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
18,0x03,0x2F,B03:R2F,MODE:182:ACP_BAUD,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
19,0x03,0x0A,B03:R0A,MODE:180:ACP_BAUD,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
20,0x03,0x05,B03:R05,MODE:179:ACP_BAUD,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
21,0x03,0x0E,B03:R0E,MODE:178:ACP_BAUD,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
