bank,register,target,contributors,may_be_modified,nvp6134c_write_compatibility,current_v41_init_mentions_target,positive_safe_read_authority,read_side_effect_status,known_blacklist_intersection,write_only_status,baseline_method,forward_readback_rule,rollback_value_source,rollback_readback,symbolic_preserved_field,closure_status
0x00,0x00,B00:R00,COMMON;FHD_COMMON;POST_MODE,YES,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,YES,NOT_PROVEN,UNCLASSIFIED_NOT_PROVEN_SAFE,NO,UNCLASSIFIED,BLOCKED_NO_SAFE_BASELINE_METHOD,NOT_AUTHORIZED,UNAVAILABLE,NOT_AUTHORIZED,NO,BLOCKING_AUTHORITY_GAP
0x00,0x08,B00:R08,AHD1080P25,YES,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,YES,NOT_PROVEN,UNCLASSIFIED_NOT_PROVEN_SAFE,NO,UNCLASSIFIED,BLOCKED_NO_SAFE_BASELINE_METHOD,NOT_AUTHORIZED,UNAVAILABLE,NOT_AUTHORIZED,NO,BLOCKING_AUTHORITY_GAP
0x00,0x0C,B00:R0C,FHD_COMMON,YES,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,YES,NOT_PROVEN,UNCLASSIFIED_NOT_PROVEN_SAFE,NO,UNCLASSIFIED,BLOCKED_NO_SAFE_BASELINE_METHOD,NOT_AUTHORIZED,UNAVAILABLE,NOT_AUTHORIZED,NO,BLOCKING_AUTHORITY_GAP
0x00,0x10,B00:R10,FHD_COMMON,YES,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,YES,NOT_PROVEN,UNCLASSIFIED_NOT_PROVEN_SAFE,NO,UNCLASSIFIED,BLOCKED_NO_SAFE_BASELINE_METHOD,NOT_AUTHORIZED,UNAVAILABLE,NOT_AUTHORIZED,NO,BLOCKING_AUTHORITY_GAP
0x00,0x14,B00:R14,FHD_COMMON,YES,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,YES,NOT_PROVEN,UNCLASSIFIED_NOT_PROVEN_SAFE,NO,UNCLASSIFIED,BLOCKED_NO_SAFE_BASELINE_METHOD,NOT_AUTHORIZED,UNAVAILABLE,NOT_AUTHORIZED,NO,BLOCKING_AUTHORITY_GAP
0x00,0x18,B00:R18,AHD1080P25;FHD_COMMON,YES,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,YES,NOT_PROVEN,UNCLASSIFIED_NOT_PROVEN_SAFE,NO,UNCLASSIFIED,BLOCKED_NO_SAFE_BASELINE_METHOD,NOT_AUTHORIZED,UNAVAILABLE,NOT_AUTHORIZED,NO,BLOCKING_AUTHORITY_GAP
0x00,0x21,B00:R21,FHD_COMMON,YES,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,YES,NOT_PROVEN,UNCLASSIFIED_NOT_PROVEN_SAFE,NO,UNCLASSIFIED,BLOCKED_NO_SAFE_BASELINE_METHOD,NOT_AUTHORIZED,UNAVAILABLE,NOT_AUTHORIZED,NO,BLOCKING_AUTHORITY_GAP
0x00,0x22,B00:R22,COMMON;FHD_COMMON,YES,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,NO,NOT_PROVEN,UNCLASSIFIED_NOT_PROVEN_SAFE,NO,UNCLASSIFIED,BLOCKED_NO_SAFE_BASELINE_METHOD,NOT_AUTHORIZED,UNAVAILABLE,NOT_AUTHORIZED,NO,BLOCKING_AUTHORITY_GAP
0x00,0x23,B00:R23,COMMON,YES,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,YES,SCAN0_REGISTER_AUTHORITY_MATRIX:NVP6134C_DATASHEET,NO_KNOWN_READ_SIDE_EFFECT_PROVEN,NO,NOT_WRITE_ONLY_UNDER_ACCEPTED_AUTHORITY,TWO_FULL_BYTE_READS_A_AND_B,EXACT_OR_FROZEN_MASK,CAPTURED_PRE_CAMPAIGN_FULL_BYTE,EXACT_BASELINE_EQUALITY,NO,AUTHORIZED
0x00,0x30,B00:R30,AHD1080P25;COMMON,YES,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,YES,NOT_PROVEN,UNCLASSIFIED_NOT_PROVEN_SAFE,NO,UNCLASSIFIED,BLOCKED_NO_SAFE_BASELINE_METHOD,NOT_AUTHORIZED,UNAVAILABLE,NOT_AUTHORIZED,NO,BLOCKING_AUTHORITY_GAP
