serial,label,utc,boot_id,generation,A8_PRE_hex,A8_POST_hex,CH1_NOVID,CH1_7A_hex,CH1_7B_hex,B5_F0_hex,B5_F2_hex,B5_F3_hex,B5_F4_hex,B5_F5_hex,B5_E2_hex,B5_E3_hex,B5_E8_hex,B5_E9_hex,B5_EA_hex,B5_EB_hex,NVP_00_F4_hex,NVP_00_F5_hex,entries_valid,groups,transactions,retried_entries,telemetry_events,entry_bank,exit_bank,raw_sha256,scan_json_sha256
1,initial-1,2026-09-18T14:50:47.329129Z,0a86ba7c-b382-4c90-b2bd-cce33b8cf56b,258,0x0F,0x0F,1,0x11,0x11,0xFF,0x77,0x01,0x00,0x00,0x07,0xFF,0x00,0x00,0x00,0x00,0x90,0x01,82,10,105,0,0,0,0,23DDDF1D1063A251B43BE145F8608C8901B78088842823BD7F88A59EE5EBED00,3AC70607B57C07A573A78763E091FE33EEB06EFE5729F1DF62CD0F9BC23C569A
2,initial-2,2026-09-18T14:50:47.626754Z,0a86ba7c-b382-4c90-b2bd-cce33b8cf56b,259,0x0F,0x0F,1,0x11,0x11,0xFF,0x56,0x01,0x00,0x00,0x07,0xFF,0x00,0x00,0x00,0x00,0x90,0x01,82,10,105,0,0,0,0,E957E155945644EBB466196CBEFC4B474A1288777CBF28CD751F5C495D4855AE,1A44517F32626D51B5E14BF36F552C065D4618A84FDD113C052BC1F3A9A02D12
3,initial-3,2026-09-18T14:50:47.929163Z,0a86ba7c-b382-4c90-b2bd-cce33b8cf56b,260,0x0F,0x0F,1,0x11,0x11,0xFF,0x47,0x01,0x00,0x00,0x07,0xFF,0x00,0x00,0x00,0x00,0x90,0x01,82,10,105,0,0,0,0,5D9492285E843E3BFFAD0B3A114D110C756D2A33DC092FF656BC26FE01320B1D,24DF0C07C85424D363F12BA54E5C1E8277A79150824E6965FCC4E2ECA9373649
4,initial-4,2026-09-18T14:50:48.232710Z,0a86ba7c-b382-4c90-b2bd-cce33b8cf56b,261,0x0F,0x0F,1,0x11,0x11,0xFF,0x4C,0x01,0x6E,0x00,0x07,0xFF,0x00,0x00,0x00,0x00,0x90,0x01,82,10,105,0,0,0,0,FDDE204801DB44956EED567F140ECEE930784C72970F3301D5B750D12A3B92EE,159CE71311853A940A95E448D6D64F5545079A5D58B1680282DB5268DD23A7BA
5,initial-5,2026-09-18T14:50:48.535147Z,0a86ba7c-b382-4c90-b2bd-cce33b8cf56b,262,0x0F,0x0F,1,0x11,0x11,0xFF,0x4A,0x01,0x00,0x00,0x07,0xFF,0x00,0x00,0x00,0x00,0x90,0x01,82,10,105,0,0,0,0,643AE9E70F67D28F22E11038E135FF33D1D8536BA48D7B00615D18A9D8AB06DF,D099A057C6C291CD6886949A92955F9CB70DD0CAB48AE47368E63A538A97E520
6,dryrun-1,2026-09-18T14:55:48.507786Z,0a86ba7c-b382-4c90-b2bd-cce33b8cf56b,263,0x0F,0x0F,1,0x11,0x11,0xFF,0x59,0x02,0x00,0x00,0x07,0xFF,0x00,0x00,0x00,0x00,0x90,0x01,82,10,105,0,0,0,0,CFEEA4B7B2D9770E9E5CC0BEB5743E28BBB0669669E63124FBCC988AC251B07A,28CF731B62DB6B0F1C38E46E4E76610CCA683B9EC7971492EA93038FF9C8D614
7,dryrun-2,2026-09-18T14:55:48.707828Z,0a86ba7c-b382-4c90-b2bd-cce33b8cf56b,264,0x0F,0x0F,1,0x11,0x11,0xFF,0x58,0x02,0x00,0x00,0x07,0xFF,0x00,0x00,0x00,0x00,0x90,0x01,82,10,105,0,0,0,0,7F5DB6342D6641FEA0D5F0A93317903C37775CEB93D762F052DF65715EF315EC,EA5A7C071EAA060540E2C979E1CC30453A8AF608DD5ECB54ADB59AE1E318E6E6
8,dryrun-3,2026-09-18T14:55:48.906385Z,0a86ba7c-b382-4c90-b2bd-cce33b8cf56b,265,0x0F,0x0F,1,0x11,0x11,0xFF,0x57,0x01,0x00,0x00,0x07,0xFF,0x00,0x00,0x00,0x00,0x90,0x01,82,10,105,0,0,0,0,60D9F66E4F3D6278FD6FE1441B02E6DCCCA9BC10B1BA9125532BC4729523CCAE,736193CC90D63250B46F99055C4FAFD98041294F62CF8D767A92B3EBFCCB8DFD
9,slice-50-1,2026-09-18T14:55:49.135492Z,0a86ba7c-b382-4c90-b2bd-cce33b8cf56b,266,0x0F,0x0F,1,0x11,0x11,0xFF,0xC0,0x03,0x66,0x04,0x07,0xFF,0x00,0x00,0x00,0x00,0x90,0x01,82,10,105,0,0,0,0,60C5DEACEB8B5323BE05D1704B33E3533E9932A534B967521D4459E78DE9C172,5DAE3EE62459794388EC6BA15F951C455C7A5AA30F594C10F6E646A3D7C6B54A
10,slice-50-2,2026-09-18T14:55:49.339139Z,0a86ba7c-b382-4c90-b2bd-cce33b8cf56b,267,0x0F,0x0F,1,0x11,0x11,0x34,0xC0,0x03,0x66,0x04,0x07,0xFF,0x00,0x00,0x00,0x00,0x90,0x01,82,10,105,0,0,0,0,4A2937EC0A28486D1AB79B03923C6B76F28726EDA0FF4A1423A2EBB46C4D0745,A68F17CEE1ADAF7DACCB0B3D33C9791F17CF19D2E09DF31C7DD8EEE23A17FA3E
