scan,generation,entry_count,bank_group_count,transaction_count,chip_id,revision_id,chip_id_revision_valid,prohibited_reads,nack,timeout,bank_mismatch,incomplete_publication,snapshot_mutation_before_ack,a8_pre,a8_post,a8_changed,raw_sha256,decoded_sha256,raw_path,decoded_path,result
1,2,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,5EEC1F985BEFB4A217976BB75D626D90D6E19578B83C92BE818CFA3C753C9945,7384DAC33E7CE2056EF742AEA169D8BC7AD3D8BECDC9CD7A684C4D10C1CEEAE5,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0001.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0001.json,PASS
2,3,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,9327E47332C901015CB0A3D519C9BE2B453E24A03FB02FA08EC08F2EB8B9D14B,18CFC1895A6E18ECE61C2EEEA5A5BF981BAD674C37B986F1C5D853050BFB772C,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0002.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0002.json,PASS
3,4,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,C432BE2876B21A0FCC38E9FA6F3E9A3A1DE516261BB86A6239EAB25AEE748094,B44D441E6D307258D28D687676509FB9983253C22729B23F331C8310E9297549,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0003.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0003.json,PASS
4,5,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,CECDBF47BE1722F4BEB8E8329E77F1D03D8EAD64FBDE59224B0BA9457184AD31,1A0AD9B2E647A4B23072E048BA476EC4C537C041EB52EA7BBE4A67105C8A309B,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0004.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0004.json,PASS
5,6,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,1C0ECCD4A3BB124972DEB26742437EEE710B745ECF157EC47B5B0639EF2C7183,3FCB4B668EAC5218F43E53CD1751A1EACA0D207628BD211F4283BF36E4A58ACC,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0005.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0005.json,PASS
6,7,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,E3DB7F73F310BBEFE6DDFAE2E247B5B2B7E4B2BA827293018DB9247B89112E38,D1E931FEA0D972E818CA0E8AA99D3B0C6CDF241719AE1B1570AA27F526EEC526,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0006.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0006.json,PASS
7,8,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,AA68297390B2822A40F487E9E60E274E94BD9693EAE258E5738620E521902F24,93F7EF81DDB9CFBC7D266F4A89F58EB02C478FF243380FEB58797E2FEB167D9F,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0007.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0007.json,PASS
8,9,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,72FAB503C2069A1A97E5FB20069D018A0286BF0B2D389C635E9843581198FF82,17C5B3A7C8A30AC725B8CA64A430F51972BF7C8F5F0B109960C3EE7C12E4CAFD,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0008.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0008.json,PASS
9,10,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,8B61B4434F3F82011C349334654CD522B705821501E2B9814F04A4259C1214E5,5F1665D0643855D2180626CDE7327D29A2FDDC55D9E2F1FFADFCF8DDF4C66E95,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0009.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0009.json,PASS
10,11,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,007D3587FB55F8DB1AF4DD107FB435A4C9263B7125FB5538A22F4D2B4B7FCC2F,05EDCEDEEC7FA2A2270612667C56E45E888CBC8327EC1E818371C639A46F7A02,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0010.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0010.json,PASS
