phase,scan,generation,a8_pre,a8_post,bookend_stable,excluded_from_stability
BASELINE,1,258,0x0F,0x0F,TRUE,FALSE
BASELINE,2,259,0x0F,0x0F,TRUE,FALSE
BASELINE,3,260,0x0F,0x0F,TRUE,FALSE
BASELINE,4,261,0x0F,0x0F,TRUE,FALSE
BASELINE,5,262,0x0F,0x0F,TRUE,FALSE
CONNECTED,1,264,0x0F,0x0F,TRUE,FALSE
CONNECTED,2,265,0x0F,0x0F,TRUE,FALSE
CONNECTED,3,266,0x0F,0x0F,TRUE,FALSE
CONNECTED,4,267,0x0F,0x0F,TRUE,FALSE
CONNECTED,5,268,0x0F,0x0F,TRUE,FALSE
CONNECTED,6,269,0x0F,0x0F,TRUE,FALSE
CONNECTED,7,270,0x0F,0x0F,TRUE,FALSE
CONNECTED,8,271,0x0F,0x0F,TRUE,FALSE
CONNECTED,9,272,0x0F,0x0F,TRUE,FALSE
CONNECTED,10,273,0x0F,0x0F,TRUE,FALSE
RETURN_CONTROL,1,274,0x0F,0x0F,TRUE,FALSE
RETURN_CONTROL,2,275,0x0F,0x0F,TRUE,FALSE
RETURN_CONTROL,3,276,0x0F,0x0F,TRUE,FALSE
RETURN_CONTROL,4,277,0x0F,0x0F,TRUE,FALSE
RETURN_CONTROL,5,278,0x0F,0x0F,TRUE,FALSE
