scan,generation,entry_bank,exit_bank,entry_bank_valid,entry_bank_restore,bank_select_groups_pass,bank_select_groups_total,result
1,2,0,0,YES,PASS,10,10,PASS
2,3,0,0,YES,PASS,10,10,PASS
3,4,0,0,YES,PASS,10,10,PASS
4,5,0,0,YES,PASS,10,10,PASS
5,6,0,0,YES,PASS,10,10,PASS
6,7,0,0,YES,PASS,10,10,PASS
7,8,0,0,YES,PASS,10,10,PASS
8,9,0,0,YES,PASS,10,10,PASS
9,10,0,0,YES,PASS,10,10,PASS
10,11,0,0,YES,PASS,10,10,PASS
11,12,0,0,YES,PASS,10,10,PASS
12,13,0,0,YES,PASS,10,10,PASS
13,14,0,0,YES,PASS,10,10,PASS
14,15,0,0,YES,PASS,10,10,PASS
15,16,0,0,YES,PASS,10,10,PASS
16,17,0,0,YES,PASS,10,10,PASS
17,18,0,0,YES,PASS,10,10,PASS
18,19,0,0,YES,PASS,10,10,PASS
19,20,0,0,YES,PASS,10,10,PASS
20,21,0,0,YES,PASS,10,10,PASS
21,22,0,0,YES,PASS,10,10,PASS
22,23,0,0,YES,PASS,10,10,PASS
23,24,0,0,YES,PASS,10,10,PASS
24,25,0,0,YES,PASS,10,10,PASS
25,26,0,0,YES,PASS,10,10,PASS
26,27,0,0,YES,PASS,10,10,PASS
27,28,0,0,YES,PASS,10,10,PASS
28,29,0,0,YES,PASS,10,10,PASS
29,30,0,0,YES,PASS,10,10,PASS
30,31,0,0,YES,PASS,10,10,PASS
31,32,0,0,YES,PASS,10,10,PASS
32,33,0,0,YES,PASS,10,10,PASS
33,34,0,0,YES,PASS,10,10,PASS
34,35,0,0,YES,PASS,10,10,PASS
35,36,0,0,YES,PASS,10,10,PASS
36,37,0,0,YES,PASS,10,10,PASS
37,38,0,0,YES,PASS,10,10,PASS
38,39,0,0,YES,PASS,10,10,PASS
39,40,0,0,YES,PASS,10,10,PASS
40,41,0,0,YES,PASS,10,10,PASS
41,42,0,0,YES,PASS,10,10,PASS
42,43,0,0,YES,PASS,10,10,PASS
43,44,0,0,YES,PASS,10,10,PASS
44,45,0,0,YES,PASS,10,10,PASS
45,46,0,0,YES,PASS,10,10,PASS
46,47,0,0,YES,PASS,10,10,PASS
47,48,0,0,YES,PASS,10,10,PASS
48,49,0,0,YES,PASS,10,10,PASS
49,50,0,0,YES,PASS,10,10,PASS
50,51,0,0,YES,PASS,10,10,PASS
51,52,0,0,YES,PASS,10,10,PASS
52,53,0,0,YES,PASS,10,10,PASS
53,54,0,0,YES,PASS,10,10,PASS
54,55,0,0,YES,PASS,10,10,PASS
55,56,0,0,YES,PASS,10,10,PASS
56,57,0,0,YES,PASS,10,10,PASS
57,58,0,0,YES,PASS,10,10,PASS
58,59,0,0,YES,PASS,10,10,PASS
59,60,0,0,YES,PASS,10,10,PASS
60,61,0,0,YES,PASS,10,10,PASS
61,62,0,0,YES,PASS,10,10,PASS
62,63,0,0,YES,PASS,10,10,PASS
63,64,0,0,YES,PASS,10,10,PASS
64,65,0,0,YES,PASS,10,10,PASS
65,66,0,0,YES,PASS,10,10,PASS
66,67,0,0,YES,PASS,10,10,PASS
67,68,0,0,YES,PASS,10,10,PASS
68,69,0,0,YES,PASS,10,10,PASS
69,70,0,0,YES,PASS,10,10,PASS
70,71,0,0,YES,PASS,10,10,PASS
71,72,0,0,YES,PASS,10,10,PASS
72,73,0,0,YES,PASS,10,10,PASS
73,74,0,0,YES,PASS,10,10,PASS
74,75,0,0,YES,PASS,10,10,PASS
75,76,0,0,YES,PASS,10,10,PASS
76,77,0,0,YES,PASS,10,10,PASS
77,78,0,0,YES,PASS,10,10,PASS
78,79,0,0,YES,PASS,10,10,PASS
79,80,0,0,YES,PASS,10,10,PASS
80,81,0,0,YES,PASS,10,10,PASS
81,82,0,0,YES,PASS,10,10,PASS
82,83,0,0,YES,PASS,10,10,PASS
83,84,0,0,YES,PASS,10,10,PASS
84,85,0,0,YES,PASS,10,10,PASS
85,86,0,0,YES,PASS,10,10,PASS
86,87,0,0,YES,PASS,10,10,PASS
87,88,0,0,YES,PASS,10,10,PASS
88,89,0,0,YES,PASS,10,10,PASS
89,90,0,0,YES,PASS,10,10,PASS
90,91,0,0,YES,PASS,10,10,PASS
91,92,0,0,YES,PASS,10,10,PASS
92,93,0,0,YES,PASS,10,10,PASS
93,94,0,0,YES,PASS,10,10,PASS
94,95,0,0,YES,PASS,10,10,PASS
95,96,0,0,YES,PASS,10,10,PASS
96,97,0,0,YES,PASS,10,10,PASS
97,98,0,0,YES,PASS,10,10,PASS
98,99,0,0,YES,PASS,10,10,PASS
99,100,0,0,YES,PASS,10,10,PASS
100,101,0,0,YES,PASS,10,10,PASS
101,102,0,0,YES,PASS,10,10,PASS
102,103,0,0,YES,PASS,10,10,PASS
103,104,0,0,YES,PASS,10,10,PASS
104,105,0,0,YES,PASS,10,10,PASS
105,106,0,0,YES,PASS,10,10,PASS
106,107,0,0,YES,PASS,10,10,PASS
107,108,0,0,YES,PASS,10,10,PASS
108,109,0,0,YES,PASS,10,10,PASS
109,110,0,0,YES,PASS,10,10,PASS
110,111,0,0,YES,PASS,10,10,PASS
111,112,0,0,YES,PASS,10,10,PASS
112,113,0,0,YES,PASS,10,10,PASS
