cycle,magic,version,status_before,control_write,status_after,generation,entry_count,valid_entry_count,failed_entry_count,retried_entry_count,first_error_detail,scan_flags,result
1,0x4E565343,0x00010001,0x00000011,0x00000002,0x00000011,0,82,0,0,0,0x00000000,0x00000000,PASS
2,0x4E565343,0x00010001,0x00000011,0x00000002,0x00000011,0,82,0,0,0,0x00000000,0x00000000,PASS
3,0x4E565343,0x00010001,0x00000011,0x00000002,0x00000011,0,82,0,0,0,0x00000000,0x00000000,PASS
4,0x4E565343,0x00010001,0x00000011,0x00000002,0x00000011,0,82,0,0,0,0x00000000,0x00000000,PASS
5,0x4E565343,0x00010001,0x00000011,0x00000002,0x00000011,0,82,0,0,0,0x00000000,0x00000000,PASS
6,0x4E565343,0x00010001,0x00000011,0x00000002,0x00000011,0,82,0,0,0,0x00000000,0x00000000,PASS
7,0x4E565343,0x00010001,0x00000011,0x00000002,0x00000011,0,82,0,0,0,0x00000000,0x00000000,PASS
8,0x4E565343,0x00010001,0x00000011,0x00000002,0x00000011,0,82,0,0,0,0x00000000,0x00000000,PASS
9,0x4E565343,0x00010001,0x00000011,0x00000002,0x00000011,0,82,0,0,0,0x00000000,0x00000000,PASS
10,0x4E565343,0x00010001,0x00000011,0x00000002,0x00000011,0,82,0,0,0,0x00000000,0x00000000,PASS
11,0x4E565343,0x00010001,0x00000011,0x00000002,0x00000011,0,82,0,0,0,0x00000000,0x00000000,PASS
12,0x4E565343,0x00010001,0x00000011,0x00000002,0x00000011,0,82,0,0,0,0x00000000,0x00000000,PASS
13,0x4E565343,0x00010001,0x00000011,0x00000002,0x00000011,0,82,0,0,0,0x00000000,0x00000000,PASS
14,0x4E565343,0x00010001,0x00000011,0x00000002,0x00000011,0,82,0,0,0,0x00000000,0x00000000,PASS
15,0x4E565343,0x00010001,0x00000011,0x00000002,0x00000011,0,82,0,0,0,0x00000000,0x00000000,PASS
16,0x4E565343,0x00010001,0x00000011,0x00000002,0x00000011,0,82,0,0,0,0x00000000,0x00000000,PASS
