gate,result,detail
"SOURCE_AUTHORITY","PASS","diag/v41-g2b-nvp-video-scan@fcab95726761a0666a67e31c283dbdfb9e775074; tree bbf1a5fee70a2eb68bb96305ed10934a1559ca6a; tracked clean"
"ROUTED_DCP_AUTHORITY","PASS","45376E1B2BA92A5A4C19B4349FFE1B7A2F57C39A4B77AAF3AD421644376CE99F"
"RAW_CDC_REPRODUCTION","PASS","427 Critical; 874 Warning; exact rule counts and CDC-1 physical hash"
"CDC_DESTINATION_IDENTITY","PASS","423/423 CDC-1 destinations; multiplicity drift 0"
"CDC_RULE_SEVERITY_CLOCK_EXCEPTION","PASS","all drift counts 0"
"CDC_SOURCE_FAMILY","FAIL","7 Critical plus 3 Warning prohibited cross-base source-family changes; first CDC1-CHG-0286"
"CDC_CRITICAL_RECONCILIATION","FAIL","0/302 formally reconciled; 7 prohibited; remaining proof stopped"
"CDC_WARNING_RECONCILIATION","FAIL","0/220 formally reconciled; 3 prohibited; remaining proof stopped"
"SEMANTIC_CDC_MANIFEST","NOT_CREATED","NVP_DIAG1_R2_UNRECONCILED_CDC_SOURCE_FAMILY"
"STRUCTURAL_CDC_R2_RERUN","NOT_REACHED","R1 inherited receipt PASS"
"PROMOTED_REPLACEMENTS_R2_RERUN","NOT_REACHED","R1 inherited 17/17 PASS"
"ACTIVE_BUS_SKEW_R2","NOT_REACHED","R1 inherited 11/11 PASS"
"TIMING_DRC_METHODOLOGY_RESOURCE_R2","NOT_REACHED","ordered after semantic CDC PASS"
"SIGNED_OFF_DCP","NOT_REACHED","not produced"
"BITSTREAM","NOT_REACHED","write_bitstream count 0"
"HARDWARE_SCAN","NOT_REACHED","offline eligibility not reached"
"ENGINEERING","FAIL","NVP_DIAG1_R2_UNRECONCILED_CDC_SOURCE_FAMILY"
"EVIDENCE_PUBLICATION","PENDING_LOCAL_PACKAGE","no commit, push or remote read-back performed"
