CheckIndex,Group,Family,SourceCount,DestinationCount,RequiredNs,DatapathDelayNs,SlackNs,RuntimeMs,Result,ReportSHA256,ObjectsSHA256
1,9,OWNERSHIP_SLOT_SETTLING,2,17,6.000,5.505,0.528,36,PASS,FD736A33AE93614D66EE39A23902D56CB5741FE66ACBF43414882D0864122359,B46DAE7B170E57500FE15C37EE984681FE91AABD6BC7BAFEC722B661F3903E73
2,9,OWNERSHIP_GENERATION_SETTLING,24,17,6.000,4.564,1.469,47,PASS,7C10E2E7F859C1DF9488CDA2D2C25CE79FE73246B8E580AB87980A2F3C069EED,EC5046ADE082619328E4B42C3247BEF6EA3A27E5A61ECE4646CFA06E84F002C5
3,9,OWNERSHIP_EPOCH_SETTLING,32,17,6.000,5.259,0.774,58,PASS,965A99684AFC7C43E603AC71DF80064C1A51AB7388D20BFBD4D3E83403BF6690,08B06DE34850B175DC2322EE0CF3F66111D06E40FBB35F7253CE323B4ECA0D26
4,13,RESET_ABANDONED_COUNT_STABLE_PAYLOAD,3,32,6.000,3.218,2.883,31,PASS,6CD1F0356EE512A0F67EC3DF6D773B4BD3EF89A58DE89E7F24A18B814E4094D2,D355108B0BC73440A53F84F7606EB3B944FD1EF705C776EF2282EF25549483FD
5,13,RESET_COMMIT_PHASE_COMPLETION_BARRIER,4,207,6.000,4.458,1.572,27,PASS,1E444231AB9DD54E53C659AD28729F28021265C750E1AE5F6DE8B261CD6170E3,A6141696B1DF179F6E6D826274049524330B75EC42FC697F40590737DAC8F4A7
6,14,RELEASE_SLOT0_NORMAL_STATE_TRANSITION,56,3,6.000,5.324,0.706,39,PASS,8F0910869035E695E3A96F797C490C888AC0BF19315763E605BACC2635710686,A289A2EF69ECF86321C50A4BB0E0051EC78038788DFCBB9BBFA2CC5981BC5468
7,14,RELEASE_SLOT0_MISMATCH_CONTAINMENT,56,4,6.000,5.120,0.913,37,PASS,6B184A21E7D052E644E3A3DED42C741FFABA81D717E34219A16E55B9152A8C14,7B608CEC5F8816ADEEFFAA92418706F02F5604F57821B7C08677AFCEF383CAA8
8,14,RELEASE_SLOT0_RESET_OVERLAP_ACCOUNTING,56,3,6.000,4.147,1.883,36,PASS,68ECE7F544480FD478BB0025CAEAC40F9BAB0DDE2793A5C9D528004C92C86609,0927E35A670FDA05E9F92A6F9CE70F03B368FB8B1CF75BB75B99E6D60670D9A0
9,15,RELEASE_SLOT1_NORMAL_STATE_TRANSITION,56,3,6.000,5.458,0.574,39,PASS,233145619749C206E45F24C1D3FB47B64250E978CFD342110C5407B56B7FA6B3,5F6EABCC85467F66426C31CDC1741E340C910F9EBBEE6C7CFA241FC005BBC0FA
10,15,RELEASE_SLOT1_MISMATCH_CONTAINMENT,56,4,6.000,5.453,0.580,42,PASS,6F0A6EF3DA043888F9BB205E36BFB9BC1302CD7232D869365BCEB629D38BB5B2,2B4D6DD69BB4E9F1CF7EEFF357C765149CAB89BB682EEC019A8EC7DBBF5262D7
11,15,RELEASE_SLOT1_RESET_OVERLAP_ACCOUNTING,56,3,6.000,4.415,1.615,39,PASS,182A9DFC320BC7D553270F3C38A08347C38833B1CBFE286550025BE53D5219D4,1A3D1370F97752C68386CE7A3567DF983A8B03CA94B8049C8DDA44C5275A4DB6
12,16,RELEASE_SLOT2_NORMAL_STATE_TRANSITION,56,3,6.000,5.537,0.495,40,PASS,A7651DB1DE33A9E05003E2918F45C758AAC5B01619598C0FDAB64AC8933BF861,1C80D4B5F79AA087B12DD96DE9A1C5FD61510CC56ACBD6383E16F3889849BE04
13,16,RELEASE_SLOT2_MISMATCH_CONTAINMENT,56,4,6.000,5.025,1.008,70,PASS,B47A8EDEA180C83F330F87971379E001C9B57922D6132D2E4AEAE64F15BD2951,C738C63A76AA82DBA468FD98144963B7A429D93FF2E49FF16BF8144F6F072527
14,16,RELEASE_SLOT2_RESET_OVERLAP_ACCOUNTING,56,3,6.000,4.582,1.448,42,PASS,65050C082F277A8A1AE8B9C72CBF9A0E978432E3EF5A05D9907F221778B93694,D8EB5975E2E81E51B6EAE0DD89B6158FBB0B7699165D420BF2500CC847FE876E
15,17,RELEASE_SLOT3_NORMAL_STATE_TRANSITION,56,3,6.000,5.558,0.472,43,PASS,E613F0F893CC756A3A72B8666691FD8FD57FBB38E18A61FC943D62BB58AE0451,7138853A997254595B85CD664E5178CEAFAE899C41EF1F033805C95729D149BD
16,17,RELEASE_SLOT3_MISMATCH_CONTAINMENT,56,4,6.000,5.280,0.753,41,PASS,B4B66A735506FEC3C7600CEE7E48421CA3BA31FDAA8DEC098294AB694520804D,757A4119D3F9DAA8BF6F22DBA3E3C647C2342D1250AFFC783F3A21EEC6EDC903
17,17,RELEASE_SLOT3_RESET_OVERLAP_ACCOUNTING,56,3,6.000,4.470,1.560,47,PASS,EF8D6CC86328185F754F151735D157E9834B95EA71F233D09ED049C545296C41,4F7ADEA75561E56E14EE5287CE9ED13767279D85C0D0DF5EA6E9AE07832D3C95
