"SourceClock","DestinationClock","CDCType","Rule","Severity","Count"
"clk_125mhz_mux_x0y0","clk_250mhz_x0y0","User Ignored","CDC-13","Critical","1"
"clk_125mhz_mux_x0y0","userclk1","User Ignored","CDC-3","Info","2"
"clk_250mhz_mux_x0y0","clk_250mhz_x0y0","User Ignored","CDC-13","Critical","1"
"clk_250mhz_mux_x0y0","userclk1","User Ignored","CDC-3","Info","2"
"input port clock","clk_125mhz_mux_x0y0","No Common Primary Clock","CDC-9","Info","1"
"input port clock","clk_250mhz_mux_x0y0","No Common Primary Clock","CDC-9","Info","1"
"nvp_vclk1","userclk1","No Common Primary Clock","CDC-1","Critical","355"
"nvp_vclk1","userclk1","No Common Primary Clock","CDC-3","Info","15"
"nvp_vclk1","userclk1","No Common Primary Clock","CDC-6","Warning","11"
"nvp_vclk1","userclk1","No Common Primary Clock","CDC-10","Critical","1"
"nvp_vclk1","userclk1","No Common Primary Clock","CDC-15","Warning","587"
"userclk1","nvp_vclk1","No Common Primary Clock","CDC-1","Critical","68"
"userclk1","nvp_vclk1","No Common Primary Clock","CDC-3","Info","11"
"userclk1","nvp_vclk1","No Common Primary Clock","CDC-6","Warning","2"
"userclk1","nvp_vclk1","No Common Primary Clock","CDC-9","Info","4"
"userclk1","nvp_vclk1","No Common Primary Clock","CDC-10","Critical","1"
"userclk1","nvp_vclk1","No Common Primary Clock","CDC-15","Warning","274"
