"GlobalRow","SectionRow","ViolationName","Rule","Severity","SourceClock","DestinationClock","CDCType","Depth","Exception","PhysicalSource","DestinationEndpoint","Description"
"3","1","CDC-13#1","CDC-13","Critical","clk_125mhz_mux_x0y0","clk_250mhz_x0y0","User Ignored","0","False Path","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/pclk_sel_reg/C","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/pclk_i1_bufgctrl.pclk_i1/S1","1-bit CDC path on a non-FD primitive"
"4","1","CDC-13#2","CDC-13","Critical","clk_250mhz_mux_x0y0","clk_250mhz_x0y0","User Ignored","0","False Path","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/pclk_sel_reg/C","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/pclk_i1_bufgctrl.pclk_i1/S1","1-bit CDC path on a non-FD primitive"
"85","81","CDC-1#1","CDC-1","Critical","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/enable_applied_source_reg/D","1-bit unknown CDC circuitry"
"87","83","CDC-10#1","CDC-10","Critical","userclk1","nvp_vclk1","No Common Primary Clock","2","False Path","G2B_ONECH_C2H/error_status_axi_reg[5]/C","G2B_ONECH_C2H/fatal_sync1_source_reg/D","Combinational logic detected before a synchronizer"
"127","123","CDC-1#2","CDC-1","Critical","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","G2B_ONECH_C2H/transport_release_phase_hold_axi_reg[0]/C","G2B_ONECH_C2H/own_ack_toggle_source_reg/D","1-bit unknown CDC circuitry"
"128","124","CDC-1#3","CDC-1","Critical","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","1-bit unknown CDC circuitry"
"129","125","CDC-1#4","CDC-1","Critical","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","G2B_ONECH_C2H/transport_release_phase_hold_axi_reg[0]/C","G2B_ONECH_C2H/own_req_seen_source_reg/D","1-bit unknown CDC circuitry"
"228","224","CDC-1#5","CDC-1","Critical","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","G2B_ONECH_C2H/transport_release_phase_hold_axi_reg[0]/C","G2B_ONECH_C2H/release_seen_source_reg[0]/D","1-bit unknown CDC circuitry"
"229","225","CDC-1#6","CDC-1","Critical","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","G2B_ONECH_C2H/transport_release_phase_hold_axi_reg[0]/C","G2B_ONECH_C2H/release_seen_source_reg[1]/D","1-bit unknown CDC circuitry"
"230","226","CDC-1#7","CDC-1","Critical","userclk1","nvp_vclk1","No Common Primary Clock","0","Max Delay Datapath Only","G2B_ONECH_C2H/transport_release_phase_hold_axi_reg[0]/C","G2B_ONECH_C2H/release_seen_source_reg[2]/D","1-bit unknown CDC circuitry"
