"ObjectIndex","ObjectName","Rule","Ordinal","Severity","Class","PropertyCount"
"1","CDC-1#1","CDC-1","1","Critical","cdc_violation","19"
"2","CDC-1#2","CDC-1","2","Critical","cdc_violation","19"
"3","CDC-1#3","CDC-1","3","Critical","cdc_violation","19"
"4","CDC-1#4","CDC-1","4","Critical","cdc_violation","19"
"5","CDC-1#5","CDC-1","5","Critical","cdc_violation","19"
"6","CDC-1#6","CDC-1","6","Critical","cdc_violation","19"
"7","CDC-1#7","CDC-1","7","Critical","cdc_violation","19"
"8","CDC-1#8","CDC-1","8","Critical","cdc_violation","19"
"9","CDC-1#9","CDC-1","9","Critical","cdc_violation","19"
"10","CDC-1#10","CDC-1","10","Critical","cdc_violation","19"
"11","CDC-1#11","CDC-1","11","Critical","cdc_violation","19"
"12","CDC-1#12","CDC-1","12","Critical","cdc_violation","19"
"13","CDC-1#13","CDC-1","13","Critical","cdc_violation","19"
"14","CDC-1#14","CDC-1","14","Critical","cdc_violation","19"
"15","CDC-1#15","CDC-1","15","Critical","cdc_violation","19"
"16","CDC-1#16","CDC-1","16","Critical","cdc_violation","19"
"17","CDC-1#17","CDC-1","17","Critical","cdc_violation","19"
"18","CDC-1#18","CDC-1","18","Critical","cdc_violation","19"
"19","CDC-1#19","CDC-1","19","Critical","cdc_violation","19"
"20","CDC-1#20","CDC-1","20","Critical","cdc_violation","19"
"21","CDC-1#21","CDC-1","21","Critical","cdc_violation","19"
"22","CDC-1#22","CDC-1","22","Critical","cdc_violation","19"
"23","CDC-1#23","CDC-1","23","Critical","cdc_violation","19"
"24","CDC-1#24","CDC-1","24","Critical","cdc_violation","19"
"25","CDC-1#25","CDC-1","25","Critical","cdc_violation","19"
"26","CDC-1#26","CDC-1","26","Critical","cdc_violation","19"
"27","CDC-1#27","CDC-1","27","Critical","cdc_violation","19"
"28","CDC-1#28","CDC-1","28","Critical","cdc_violation","19"
"29","CDC-1#29","CDC-1","29","Critical","cdc_violation","19"
"30","CDC-1#30","CDC-1","30","Critical","cdc_violation","19"
"31","CDC-1#31","CDC-1","31","Critical","cdc_violation","19"
"32","CDC-1#32","CDC-1","32","Critical","cdc_violation","19"
"33","CDC-1#33","CDC-1","33","Critical","cdc_violation","19"
"34","CDC-1#34","CDC-1","34","Critical","cdc_violation","19"
"35","CDC-1#35","CDC-1","35","Critical","cdc_violation","19"
"36","CDC-1#36","CDC-1","36","Critical","cdc_violation","19"
"37","CDC-1#37","CDC-1","37","Critical","cdc_violation","19"
"38","CDC-1#38","CDC-1","38","Critical","cdc_violation","19"
"39","CDC-1#39","CDC-1","39","Critical","cdc_violation","19"
"40","CDC-1#40","CDC-1","40","Critical","cdc_violation","19"
"41","CDC-1#41","CDC-1","41","Critical","cdc_violation","19"
"42","CDC-1#42","CDC-1","42","Critical","cdc_violation","19"
"43","CDC-1#43","CDC-1","43","Critical","cdc_violation","19"
"44","CDC-1#44","CDC-1","44","Critical","cdc_violation","19"
"45","CDC-1#45","CDC-1","45","Critical","cdc_violation","19"
"46","CDC-1#46","CDC-1","46","Critical","cdc_violation","19"
"47","CDC-1#47","CDC-1","47","Critical","cdc_violation","19"
"48","CDC-1#48","CDC-1","48","Critical","cdc_violation","19"
"49","CDC-1#49","CDC-1","49","Critical","cdc_violation","19"
"50","CDC-1#50","CDC-1","50","Critical","cdc_violation","19"
"51","CDC-1#51","CDC-1","51","Critical","cdc_violation","19"
"52","CDC-1#52","CDC-1","52","Critical","cdc_violation","19"
"53","CDC-1#53","CDC-1","53","Critical","cdc_violation","19"
"54","CDC-1#54","CDC-1","54","Critical","cdc_violation","19"
"55","CDC-1#55","CDC-1","55","Critical","cdc_violation","19"
"56","CDC-1#56","CDC-1","56","Critical","cdc_violation","19"
"57","CDC-1#57","CDC-1","57","Critical","cdc_violation","19"
"58","CDC-1#58","CDC-1","58","Critical","cdc_violation","19"
"59","CDC-1#59","CDC-1","59","Critical","cdc_violation","19"
"60","CDC-1#60","CDC-1","60","Critical","cdc_violation","19"
"61","CDC-1#61","CDC-1","61","Critical","cdc_violation","19"
"62","CDC-1#62","CDC-1","62","Critical","cdc_violation","19"
"63","CDC-1#63","CDC-1","63","Critical","cdc_violation","19"
"64","CDC-1#64","CDC-1","64","Critical","cdc_violation","19"
"65","CDC-1#65","CDC-1","65","Critical","cdc_violation","19"
"66","CDC-1#66","CDC-1","66","Critical","cdc_violation","19"
"67","CDC-1#67","CDC-1","67","Critical","cdc_violation","19"
"68","CDC-1#68","CDC-1","68","Critical","cdc_violation","19"
"69","CDC-1#69","CDC-1","69","Critical","cdc_violation","19"
"70","CDC-1#70","CDC-1","70","Critical","cdc_violation","19"
"71","CDC-1#71","CDC-1","71","Critical","cdc_violation","19"
"72","CDC-1#72","CDC-1","72","Critical","cdc_violation","19"
"73","CDC-1#73","CDC-1","73","Critical","cdc_violation","19"
"74","CDC-1#74","CDC-1","74","Critical","cdc_violation","19"
"75","CDC-1#75","CDC-1","75","Critical","cdc_violation","19"
"76","CDC-1#76","CDC-1","76","Critical","cdc_violation","19"
"77","CDC-1#77","CDC-1","77","Critical","cdc_violation","19"
"78","CDC-1#78","CDC-1","78","Critical","cdc_violation","19"
"79","CDC-1#79","CDC-1","79","Critical","cdc_violation","19"
"80","CDC-1#80","CDC-1","80","Critical","cdc_violation","19"
"81","CDC-1#81","CDC-1","81","Critical","cdc_violation","19"
"82","CDC-1#82","CDC-1","82","Critical","cdc_violation","19"
"83","CDC-1#83","CDC-1","83","Critical","cdc_violation","19"
"84","CDC-1#84","CDC-1","84","Critical","cdc_violation","19"
"85","CDC-1#85","CDC-1","85","Critical","cdc_violation","19"
"86","CDC-1#86","CDC-1","86","Critical","cdc_violation","19"
"87","CDC-1#87","CDC-1","87","Critical","cdc_violation","19"
"88","CDC-1#88","CDC-1","88","Critical","cdc_violation","19"
"89","CDC-1#89","CDC-1","89","Critical","cdc_violation","19"
"90","CDC-1#90","CDC-1","90","Critical","cdc_violation","19"
"91","CDC-1#91","CDC-1","91","Critical","cdc_violation","19"
"92","CDC-1#92","CDC-1","92","Critical","cdc_violation","19"
"93","CDC-1#93","CDC-1","93","Critical","cdc_violation","19"
"94","CDC-1#94","CDC-1","94","Critical","cdc_violation","19"
"95","CDC-1#95","CDC-1","95","Critical","cdc_violation","19"
"96","CDC-1#96","CDC-1","96","Critical","cdc_violation","19"
"97","CDC-1#97","CDC-1","97","Critical","cdc_violation","19"
"98","CDC-1#98","CDC-1","98","Critical","cdc_violation","19"
"99","CDC-1#99","CDC-1","99","Critical","cdc_violation","19"
"100","CDC-1#100","CDC-1","100","Critical","cdc_violation","19"
"101","CDC-1#101","CDC-1","101","Critical","cdc_violation","19"
"102","CDC-1#102","CDC-1","102","Critical","cdc_violation","19"
"103","CDC-1#103","CDC-1","103","Critical","cdc_violation","19"
"104","CDC-1#104","CDC-1","104","Critical","cdc_violation","19"
"105","CDC-1#105","CDC-1","105","Critical","cdc_violation","19"
"106","CDC-1#106","CDC-1","106","Critical","cdc_violation","19"
"107","CDC-1#107","CDC-1","107","Critical","cdc_violation","19"
"108","CDC-1#108","CDC-1","108","Critical","cdc_violation","19"
"109","CDC-1#109","CDC-1","109","Critical","cdc_violation","19"
"110","CDC-1#110","CDC-1","110","Critical","cdc_violation","19"
"111","CDC-1#111","CDC-1","111","Critical","cdc_violation","19"
"112","CDC-1#112","CDC-1","112","Critical","cdc_violation","19"
"113","CDC-1#113","CDC-1","113","Critical","cdc_violation","19"
"114","CDC-1#114","CDC-1","114","Critical","cdc_violation","19"
"115","CDC-1#115","CDC-1","115","Critical","cdc_violation","19"
"116","CDC-1#116","CDC-1","116","Critical","cdc_violation","19"
"117","CDC-1#117","CDC-1","117","Critical","cdc_violation","19"
"118","CDC-1#118","CDC-1","118","Critical","cdc_violation","19"
"119","CDC-1#119","CDC-1","119","Critical","cdc_violation","19"
"120","CDC-1#120","CDC-1","120","Critical","cdc_violation","19"
"121","CDC-1#121","CDC-1","121","Critical","cdc_violation","19"
"122","CDC-1#122","CDC-1","122","Critical","cdc_violation","19"
"123","CDC-1#123","CDC-1","123","Critical","cdc_violation","19"
"124","CDC-1#124","CDC-1","124","Critical","cdc_violation","19"
"125","CDC-1#125","CDC-1","125","Critical","cdc_violation","19"
"126","CDC-1#126","CDC-1","126","Critical","cdc_violation","19"
"127","CDC-1#127","CDC-1","127","Critical","cdc_violation","19"
"128","CDC-1#128","CDC-1","128","Critical","cdc_violation","19"
"129","CDC-1#129","CDC-1","129","Critical","cdc_violation","19"
"130","CDC-1#130","CDC-1","130","Critical","cdc_violation","19"
"131","CDC-1#131","CDC-1","131","Critical","cdc_violation","19"
"132","CDC-1#132","CDC-1","132","Critical","cdc_violation","19"
"133","CDC-1#133","CDC-1","133","Critical","cdc_violation","19"
"134","CDC-1#134","CDC-1","134","Critical","cdc_violation","19"
"135","CDC-1#135","CDC-1","135","Critical","cdc_violation","19"
"136","CDC-1#136","CDC-1","136","Critical","cdc_violation","19"
"137","CDC-1#137","CDC-1","137","Critical","cdc_violation","19"
"138","CDC-1#138","CDC-1","138","Critical","cdc_violation","19"
"139","CDC-1#139","CDC-1","139","Critical","cdc_violation","19"
"140","CDC-1#140","CDC-1","140","Critical","cdc_violation","19"
"141","CDC-1#141","CDC-1","141","Critical","cdc_violation","19"
"142","CDC-1#142","CDC-1","142","Critical","cdc_violation","19"
"143","CDC-1#143","CDC-1","143","Critical","cdc_violation","19"
"144","CDC-1#144","CDC-1","144","Critical","cdc_violation","19"
"145","CDC-1#145","CDC-1","145","Critical","cdc_violation","19"
