RowID,Rule,Severity,ProductPhysicalSource,DiagnosticPhysicalSource,SourceClock,DestinationClock,DestinationEndpoint,Exception,SemanticFamily,OldBitIndex,NewBitIndex,StablePayloadProof,GoverningToken,ProtocolProof,EarliestUseBarrier,FaninFamilyProof,DiagnosticBypassAbsent,ReplacementGroup,Disposition,EvidencePath
WARN-CHG-0001,CDC-15,Warning,G2B_ONECH_C2H/desc_epoch_source_reg[2][0]/C,G2B_ONECH_C2H/desc_epoch_source_reg[3][0]/C,nvp_vclk1,userclk1,G2B_ONECH_C2H/axis_epoch_reg[0]/D,Max Delay Datapath Only,DESCRIPTOR_EPOCH_STABLE_PAYLOAD,"slot=2,bit=0","slot=3,bit=0",,descriptor_commit_completion_token,source descriptor completion followed by AXI-domain capture,ACTIVE_GROUP_12_3NS_BUS_SKEW_AND_EXISTING_PROTOCOL_BARRIER,,,ACTIVE_GROUP_12_DESCRIPTOR_EPOCH_SOURCE_TO_AXI,FAIL_MISSING_DCP_CONE_EVIDENCE,
WARN-CHG-0002,CDC-15,Warning,G2B_ONECH_C2H/desc_epoch_source_reg[2][11]/C,G2B_ONECH_C2H/desc_epoch_source_reg[1][11]/C,nvp_vclk1,userclk1,G2B_ONECH_C2H/axis_epoch_reg[11]/D,Max Delay Datapath Only,DESCRIPTOR_EPOCH_STABLE_PAYLOAD,"slot=2,bit=11","slot=1,bit=11",,descriptor_commit_completion_token,source descriptor completion followed by AXI-domain capture,ACTIVE_GROUP_12_3NS_BUS_SKEW_AND_EXISTING_PROTOCOL_BARRIER,,,ACTIVE_GROUP_12_DESCRIPTOR_EPOCH_SOURCE_TO_AXI,FAIL_MISSING_DCP_CONE_EVIDENCE,
WARN-CHG-0003,CDC-15,Warning,G2B_ONECH_C2H/desc_epoch_source_reg[1][13]/C,G2B_ONECH_C2H/desc_epoch_source_reg[0][13]/C,nvp_vclk1,userclk1,G2B_ONECH_C2H/axis_epoch_reg[13]/D,Max Delay Datapath Only,DESCRIPTOR_EPOCH_STABLE_PAYLOAD,"slot=1,bit=13","slot=0,bit=13",,descriptor_commit_completion_token,source descriptor completion followed by AXI-domain capture,ACTIVE_GROUP_12_3NS_BUS_SKEW_AND_EXISTING_PROTOCOL_BARRIER,,,ACTIVE_GROUP_12_DESCRIPTOR_EPOCH_SOURCE_TO_AXI,FAIL_MISSING_DCP_CONE_EVIDENCE,
WARN-CHG-0004,CDC-15,Warning,G2B_ONECH_C2H/desc_epoch_source_reg[2][14]/C,G2B_ONECH_C2H/desc_epoch_source_reg[3][14]/C,nvp_vclk1,userclk1,G2B_ONECH_C2H/axis_epoch_reg[14]/D,Max Delay Datapath Only,DESCRIPTOR_EPOCH_STABLE_PAYLOAD,"slot=2,bit=14","slot=3,bit=14",,descriptor_commit_completion_token,source descriptor completion followed by AXI-domain capture,ACTIVE_GROUP_12_3NS_BUS_SKEW_AND_EXISTING_PROTOCOL_BARRIER,,,ACTIVE_GROUP_12_DESCRIPTOR_EPOCH_SOURCE_TO_AXI,FAIL_MISSING_DCP_CONE_EVIDENCE,
WARN-CHG-0005,CDC-15,Warning,G2B_ONECH_C2H/desc_epoch_source_reg[1][16]/C,G2B_ONECH_C2H/desc_epoch_source_reg[0][16]/C,nvp_vclk1,userclk1,G2B_ONECH_C2H/axis_epoch_reg[16]/D,Max Delay Datapath Only,DESCRIPTOR_EPOCH_STABLE_PAYLOAD,"slot=1,bit=16","slot=0,bit=16",,descriptor_commit_completion_token,source descriptor completion followed by AXI-domain capture,ACTIVE_GROUP_12_3NS_BUS_SKEW_AND_EXISTING_PROTOCOL_BARRIER,,,ACTIVE_GROUP_12_DESCRIPTOR_EPOCH_SOURCE_TO_AXI,FAIL_MISSING_DCP_CONE_EVIDENCE,
WARN-CHG-0006,CDC-15,Warning,G2B_ONECH_C2H/desc_epoch_source_reg[0][17]/C,G2B_ONECH_C2H/desc_epoch_source_reg[1][17]/C,nvp_vclk1,userclk1,G2B_ONECH_C2H/axis_epoch_reg[17]/D,Max Delay Datapath Only,DESCRIPTOR_EPOCH_STABLE_PAYLOAD,"slot=0,bit=17","slot=1,bit=17",,descriptor_commit_completion_token,source descriptor completion followed by AXI-domain capture,ACTIVE_GROUP_12_3NS_BUS_SKEW_AND_EXISTING_PROTOCOL_BARRIER,,,ACTIVE_GROUP_12_DESCRIPTOR_EPOCH_SOURCE_TO_AXI,FAIL_MISSING_DCP_CONE_EVIDENCE,
WARN-CHG-0007,CDC-15,Warning,G2B_ONECH_C2H/desc_epoch_source_reg[1][19]/C,G2B_ONECH_C2H/desc_epoch_source_reg[3][19]/C,nvp_vclk1,userclk1,G2B_ONECH_C2H/axis_epoch_reg[19]/D,Max Delay Datapath Only,DESCRIPTOR_EPOCH_STABLE_PAYLOAD,"slot=1,bit=19","slot=3,bit=19",,descriptor_commit_completion_token,source descriptor completion followed by AXI-domain capture,ACTIVE_GROUP_12_3NS_BUS_SKEW_AND_EXISTING_PROTOCOL_BARRIER,,,ACTIVE_GROUP_12_DESCRIPTOR_EPOCH_SOURCE_TO_AXI,FAIL_MISSING_DCP_CONE_EVIDENCE,
WARN-CHG-0008,CDC-15,Warning,G2B_ONECH_C2H/desc_epoch_source_reg[2][1]/C,G2B_ONECH_C2H/desc_epoch_source_reg[0][1]/C,nvp_vclk1,userclk1,G2B_ONECH_C2H/axis_epoch_reg[1]/D,Max Delay Datapath Only,DESCRIPTOR_EPOCH_STABLE_PAYLOAD,"slot=2,bit=1","slot=0,bit=1",,descriptor_commit_completion_token,source descriptor completion followed by AXI-domain capture,ACTIVE_GROUP_12_3NS_BUS_SKEW_AND_EXISTING_PROTOCOL_BARRIER,,,ACTIVE_GROUP_12_DESCRIPTOR_EPOCH_SOURCE_TO_AXI,FAIL_MISSING_DCP_CONE_EVIDENCE,
WARN-CHG-0009,CDC-15,Warning,G2B_ONECH_C2H/desc_epoch_source_reg[1][20]/C,G2B_ONECH_C2H/desc_epoch_source_reg[3][20]/C,nvp_vclk1,userclk1,G2B_ONECH_C2H/axis_epoch_reg[20]/D,Max Delay Datapath Only,DESCRIPTOR_EPOCH_STABLE_PAYLOAD,"slot=1,bit=20","slot=3,bit=20",,descriptor_commit_completion_token,source descriptor completion followed by AXI-domain capture,ACTIVE_GROUP_12_3NS_BUS_SKEW_AND_EXISTING_PROTOCOL_BARRIER,,,ACTIVE_GROUP_12_DESCRIPTOR_EPOCH_SOURCE_TO_AXI,FAIL_MISSING_DCP_CONE_EVIDENCE,
WARN-CHG-0010,CDC-15,Warning,G2B_ONECH_C2H/desc_epoch_source_reg[2][21]/C,G2B_ONECH_C2H/desc_epoch_source_reg[0][21]/C,nvp_vclk1,userclk1,G2B_ONECH_C2H/axis_epoch_reg[21]/D,Max Delay Datapath Only,DESCRIPTOR_EPOCH_STABLE_PAYLOAD,"slot=2,bit=21","slot=0,bit=21",,descriptor_commit_completion_token,source descriptor completion followed by AXI-domain capture,ACTIVE_GROUP_12_3NS_BUS_SKEW_AND_EXISTING_PROTOCOL_BARRIER,,,ACTIVE_GROUP_12_DESCRIPTOR_EPOCH_SOURCE_TO_AXI,FAIL_MISSING_DCP_CONE_EVIDENCE,
