RowID,ProductPhysicalSource,DiagnosticPhysicalSource,DestinationEndpoint,Rule,Severity,SourceClock,DestinationClock,Exception,SemanticFamilyOrSupportSet,GoverningToken,Protocol,EarliestUseBarrier,ReplacementGroup,ProofClass,RowDisposition,EvidencePath
CDC1-CHG-0001,G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C,G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]/C,G2B_ONECH_C2H/axi_hard_episode_reg/D,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,"[{""Field"":""COMMIT_PHASE"",""LeafFamily"":""RESET_COMMIT_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""0"",""SourceClock"":""nvp_vclk1"",""UseRole"":""RESET_RETURN_COMPLETION""},{""Field"":""COMMIT_PHASE"",""LeafFamily"":""RESET_COMMIT_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""1"",""SourceClock"":""nvp_vclk1"",""UseRole"":""RESET_RETURN_COMPLETION""},{""Field"":""COMMIT_PHASE"",""LeafFamily"":""RESET_COMMIT_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""2"",""SourceClock"":""nvp_vclk1"",""UseRole"":""RESET_RETURN_COMPLETION""},{""Field"":""COMMIT_PHASE"",""LeafFamily"":""RESET_COMMIT_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""3"",""SourceClock"":""nvp_vclk1"",""UseRole"":""RESET_RETURN_COMPLETION""}]","[""commit_sync2_axi[3:0]_completion_barrier"",""transport_ack_sync2_axi_and_commit_sync2_axi_completion""]","[""transport request/ack plus synchronized commit completion"",""transport request/ack plus synchronized four-slot commit equality""]","[""GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP""]","[""GROUP_13_CHECK_4_RESET_ABANDONED_COUNT_STABLE_PAYLOAD"",""GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER""]",SAME_FAMILY_REPRESENTATIVE_EQUIVALENCE,PASS,cdc/destination-cone-row-evidence/CDC1-CHG-0001.json
CDC-ALL-00002,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[0]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00002.json
CDC-ALL-00003,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[10]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00003.json
CDC-ALL-00004,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[11]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00004.json
CDC-ALL-00005,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[12]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00005.json
CDC-ALL-00006,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[13]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00006.json
CDC-ALL-00007,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[14]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00007.json
CDC-ALL-00008,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[15]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00008.json
CDC-ALL-00009,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[16]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00009.json
CDC-ALL-00010,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[17]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00010.json
