"CheckIndex","Group","Family","SourceCount","DestinationCount","RequiredNs","DatapathDelayNs","SlackNs","RuntimeMs","Result","ReportSHA256","ObjectsSHA256"
"1","9","OWNERSHIP_SLOT_SETTLING","2","17","6.000","5.505","0.528","31945","PASS","36A543B334B12BE831E75252CE52837ED713FE189B19B055083016A96BCA6BDA","B46DAE7B170E57500FE15C37EE984681FE91AABD6BC7BAFEC722B661F3903E73"
"2","9","OWNERSHIP_GENERATION_SETTLING","24","17","6.000","4.564","1.469","43","PASS","E07A331E3E038D2F2CA73150B3579A5732FC944C1D54446DB52B6ED43A00C743","EC5046ADE082619328E4B42C3247BEF6EA3A27E5A61ECE4646CFA06E84F002C5"
"3","9","OWNERSHIP_EPOCH_SETTLING","32","17","6.000","5.259","0.774","33","PASS","90B6C31881D79D718A52D0BA70AA8DCBA7960D777BE83710CFC474AD8EBFF14E","08B06DE34850B175DC2322EE0CF3F66111D06E40FBB35F7253CE323B4ECA0D26"
"4","13","RESET_ABANDONED_COUNT_STABLE_PAYLOAD","3","32","6.000","3.218","2.883","27","PASS","03FBEEDF75D24D66A4DEA60AA7E9BFABAEF05358999934DD9C812CF3E49AA5CB","D355108B0BC73440A53F84F7606EB3B944FD1EF705C776EF2282EF25549483FD"
"5","13","RESET_COMMIT_PHASE_COMPLETION_BARRIER","4","207","6.000","4.458","1.572","25","PASS","BB42795B9C217DEEA5C2825E95D6B4D22208FDB916D76A479FB0C951595CEDC6","A6141696B1DF179F6E6D826274049524330B75EC42FC697F40590737DAC8F4A7"
"6","14","RELEASE_SLOT0_NORMAL_STATE_TRANSITION","56","3","6.000","5.324","0.706","39","PASS","4BC04F0E66FDC3EEA349A0683FA6C2A087B49C59044F12A67B77245000F4B17D","A289A2EF69ECF86321C50A4BB0E0051EC78038788DFCBB9BBFA2CC5981BC5468"
"7","14","RELEASE_SLOT0_MISMATCH_CONTAINMENT","56","4","6.000","5.120","0.913","47","PASS","64E075A9998E1C8A7F9EAA28512B52ED39E80321C905C955A13E4DA7044154C8","7B608CEC5F8816ADEEFFAA92418706F02F5604F57821B7C08677AFCEF383CAA8"
"8","14","RELEASE_SLOT0_RESET_OVERLAP_ACCOUNTING","56","3","6.000","4.147","1.883","35","PASS","F073A12C2332B1C3F336F1F91AECA4F1E52F1634988473C7734E4A81BA83CE49","0927E35A670FDA05E9F92A6F9CE70F03B368FB8B1CF75BB75B99E6D60670D9A0"
"9","15","RELEASE_SLOT1_NORMAL_STATE_TRANSITION","56","3","6.000","5.458","0.574","32","PASS","D2EC727463EE208D96A8AFAE3E72DA6B0C09A06FFA5C1C06EB46037AC76388D9","5F6EABCC85467F66426C31CDC1741E340C910F9EBBEE6C7CFA241FC005BBC0FA"
"10","15","RELEASE_SLOT1_MISMATCH_CONTAINMENT","56","4","6.000","5.453","0.580","36","PASS","278CC36A3D328D029D0E5F5DA4543E21CD88E99AFFD3A1574B3088343DBF5519","2B4D6DD69BB4E9F1CF7EEFF357C765149CAB89BB682EEC019A8EC7DBBF5262D7"
"11","15","RELEASE_SLOT1_RESET_OVERLAP_ACCOUNTING","56","3","6.000","4.415","1.615","34","PASS","A3865FF6E7A9FC3B23959D2EAFA65A89348AE1EE2F0EEB55E4EC30AFB06D6B2E","1A3D1370F97752C68386CE7A3567DF983A8B03CA94B8049C8DDA44C5275A4DB6"
"12","16","RELEASE_SLOT2_NORMAL_STATE_TRANSITION","56","3","6.000","5.537","0.495","51","PASS","1AC4E5B29EAAB6FBC032EEDC99250A43FDCBD5D14570D96A8FDFB1CBF6AD6F7F","1C80D4B5F79AA087B12DD96DE9A1C5FD61510CC56ACBD6383E16F3889849BE04"
"13","16","RELEASE_SLOT2_MISMATCH_CONTAINMENT","56","4","6.000","5.025","1.008","49","PASS","EDBD98C4902F2C44A59354A8BED22BEC9840D5CDA88B0CB3459BC54E56936D3A","C738C63A76AA82DBA468FD98144963B7A429D93FF2E49FF16BF8144F6F072527"
"14","16","RELEASE_SLOT2_RESET_OVERLAP_ACCOUNTING","56","3","6.000","4.582","1.448","35","PASS","D8ACA372858262D1EFC8BD78E6F5C7BF2B28702C96F80FB56BB955ECBEF8ABCB","D8EB5975E2E81E51B6EAE0DD89B6158FBB0B7699165D420BF2500CC847FE876E"
"15","17","RELEASE_SLOT3_NORMAL_STATE_TRANSITION","56","3","6.000","5.558","0.472","46","PASS","55916521519714EB26D506AB856EAB923530E2B7C3B194E444F8431E4D91E80B","7138853A997254595B85CD664E5178CEAFAE899C41EF1F033805C95729D149BD"
"16","17","RELEASE_SLOT3_MISMATCH_CONTAINMENT","56","4","6.000","5.280","0.753","34","PASS","5F9119CA18FB05E6DE3CE1D32924616DCCF4D6B7D6D752CFE127528BB80BDEEB","757A4119D3F9DAA8BF6F22DBA3E3C647C2342D1250AFFC783F3A21EEC6EDC903"
"17","17","RELEASE_SLOT3_RESET_OVERLAP_ACCOUNTING","56","3","6.000","4.470","1.560","33","PASS","F84245F72D042252209A2E118F5EA6A0657B03248B3D4011759920491F8D9745","4F7ADEA75561E56E14EE5287CE9ED13767279D85C0D0DF5EA6E9AE07832D3C95"
