"Profile","RowID","DestinationPin","DestinationCell","ExpectedDestinationClock","ResolvedDestinationClocks","ReportRepresentative","ReportRepresentativeCell","RepresentativeInStartpoints","PhysicalStartpointCount","FullConeCellCount","CrossClockStartpointCount","SameClockStartpointCount","StaticStartpointCount","DiagnosticHierarchyConeCellCount"
"product","CDC1-CHG-0001","G2B_ONECH_C2H/axi_hard_episode_reg/D","G2B_ONECH_C2H/axi_hard_episode_reg","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","17","22","4","13","0","0"
"product","CDC1-CHG-0002","G2B_ONECH_C2H/axis_state_reg[0]/D","G2B_ONECH_C2H/axis_state_reg[0]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","101","184","5","96","0","0"
"product","CDC1-CHG-0003","G2B_ONECH_C2H/axis_state_reg[1]/D","G2B_ONECH_C2H/axis_state_reg[1]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","101","186","5","96","0","0"
"product","CDC1-CHG-0004","G2B_ONECH_C2H/axis_state_reg[2]/D","G2B_ONECH_C2H/axis_state_reg[2]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","101","184","5","96","0","0"
"product","CDC1-CHG-0005","G2B_ONECH_C2H/commit_fifo_count_reg[0]/D","G2B_ONECH_C2H/commit_fifo_count_reg[0]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","88","143","4","84","0","0"
"product","CDC1-CHG-0006","G2B_ONECH_C2H/commit_fifo_count_reg[1]/D","G2B_ONECH_C2H/commit_fifo_count_reg[1]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","88","145","4","84","0","0"
"product","CDC1-CHG-0007","G2B_ONECH_C2H/commit_fifo_count_reg[2]/D","G2B_ONECH_C2H/commit_fifo_count_reg[2]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","88","143","4","84","0","0"
"product","CDC1-CHG-0008","G2B_ONECH_C2H/commit_fifo_head_reg[0]/D","G2B_ONECH_C2H/commit_fifo_head_reg[0]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","85","135","4","81","0","0"
"product","CDC1-CHG-0009","G2B_ONECH_C2H/commit_fifo_head_reg[1]/D","G2B_ONECH_C2H/commit_fifo_head_reg[1]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","86","136","4","82","0","0"
"product","CDC1-CHG-0010","G2B_ONECH_C2H/commit_fifo_tail_reg[0]/D","G2B_ONECH_C2H/commit_fifo_tail_reg[0]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","89","145","4","85","0","0"
"product","CDC1-CHG-0011","G2B_ONECH_C2H/commit_fifo_tail_reg[1]/D","G2B_ONECH_C2H/commit_fifo_tail_reg[1]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","90","146","4","86","0","0"
"product","CDC1-CHG-0012","G2B_ONECH_C2H/commit_seen_axi_reg[0]/CE","G2B_ONECH_C2H/commit_seen_axi_reg[0]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","19","29","4","15","0","0"
"product","CDC1-CHG-0013","G2B_ONECH_C2H/commit_seen_axi_reg[1]/CE","G2B_ONECH_C2H/commit_seen_axi_reg[1]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","19","29","4","15","0","0"
"product","CDC1-CHG-0014","G2B_ONECH_C2H/commit_seen_axi_reg[2]/CE","G2B_ONECH_C2H/commit_seen_axi_reg[2]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","19","29","4","15","0","0"
"product","CDC1-CHG-0015","G2B_ONECH_C2H/commit_seen_axi_reg[3]/CE","G2B_ONECH_C2H/commit_seen_axi_reg[3]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","19","29","4","15","0","0"
"product","CDC1-CHG-0016","G2B_ONECH_C2H/global_stream_next_axi_reg[0]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[0]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0017","G2B_ONECH_C2H/global_stream_next_axi_reg[10]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[10]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0018","G2B_ONECH_C2H/global_stream_next_axi_reg[11]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[11]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0019","G2B_ONECH_C2H/global_stream_next_axi_reg[12]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[12]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0020","G2B_ONECH_C2H/global_stream_next_axi_reg[13]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[13]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0021","G2B_ONECH_C2H/global_stream_next_axi_reg[14]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[14]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0022","G2B_ONECH_C2H/global_stream_next_axi_reg[15]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[15]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0023","G2B_ONECH_C2H/global_stream_next_axi_reg[16]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[16]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0024","G2B_ONECH_C2H/global_stream_next_axi_reg[17]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[17]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0025","G2B_ONECH_C2H/global_stream_next_axi_reg[18]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[18]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0026","G2B_ONECH_C2H/global_stream_next_axi_reg[19]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[19]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0027","G2B_ONECH_C2H/global_stream_next_axi_reg[1]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[1]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0028","G2B_ONECH_C2H/global_stream_next_axi_reg[20]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[20]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0029","G2B_ONECH_C2H/global_stream_next_axi_reg[21]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[21]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0030","G2B_ONECH_C2H/global_stream_next_axi_reg[22]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[22]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0031","G2B_ONECH_C2H/global_stream_next_axi_reg[23]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[23]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0032","G2B_ONECH_C2H/global_stream_next_axi_reg[24]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[24]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0033","G2B_ONECH_C2H/global_stream_next_axi_reg[25]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[25]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0034","G2B_ONECH_C2H/global_stream_next_axi_reg[26]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[26]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0035","G2B_ONECH_C2H/global_stream_next_axi_reg[27]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[27]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0036","G2B_ONECH_C2H/global_stream_next_axi_reg[28]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[28]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
