"Profile","RowID","DestinationPin","DestinationCell","ExpectedDestinationClock","ResolvedDestinationClocks","StartpointCell","StartpointRef","StartpointClocks","ClockRelation"
"product","CDC1-CHG-0001","G2B_ONECH_C2H/axi_hard_episode_reg/D","G2B_ONECH_C2H/axi_hard_episode_reg","userclk1","userclk1","G2B_ONECH_C2H/axi_hard_episode_reg","FDRE","userclk1","SAME_CLOCK"
"product","CDC1-CHG-0001","G2B_ONECH_C2H/axi_hard_episode_reg/D","G2B_ONECH_C2H/axi_hard_episode_reg","userclk1","userclk1","G2B_ONECH_C2H/axi_seen_high_reg","FDRE","userclk1","SAME_CLOCK"
"product","CDC1-CHG-0001","G2B_ONECH_C2H/axi_hard_episode_reg/D","G2B_ONECH_C2H/axi_hard_episode_reg","userclk1","userclk1","G2B_ONECH_C2H/commit_sync2_axi_reg[0]","FDRE","userclk1","SAME_CLOCK"
"product","CDC1-CHG-0001","G2B_ONECH_C2H/axi_hard_episode_reg/D","G2B_ONECH_C2H/axi_hard_episode_reg","userclk1","userclk1","G2B_ONECH_C2H/commit_sync2_axi_reg[1]","FDRE","userclk1","SAME_CLOCK"
"product","CDC1-CHG-0001","G2B_ONECH_C2H/axi_hard_episode_reg/D","G2B_ONECH_C2H/axi_hard_episode_reg","userclk1","userclk1","G2B_ONECH_C2H/commit_sync2_axi_reg[2]","FDRE","userclk1","SAME_CLOCK"
"product","CDC1-CHG-0001","G2B_ONECH_C2H/axi_hard_episode_reg/D","G2B_ONECH_C2H/axi_hard_episode_reg","userclk1","userclk1","G2B_ONECH_C2H/commit_sync2_axi_reg[3]","FDRE","userclk1","SAME_CLOCK"
"product","CDC1-CHG-0001","G2B_ONECH_C2H/axi_hard_episode_reg/D","G2B_ONECH_C2H/axi_hard_episode_reg","userclk1","userclk1","G2B_ONECH_C2H/hard_source_clear_observed_axi_reg","FDRE","userclk1","SAME_CLOCK"
"product","CDC1-CHG-0001","G2B_ONECH_C2H/axi_hard_episode_reg/D","G2B_ONECH_C2H/axi_hard_episode_reg","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]","FDRE","nvp_vclk1","CROSS_CLOCK"
"product","CDC1-CHG-0001","G2B_ONECH_C2H/axi_hard_episode_reg/D","G2B_ONECH_C2H/axi_hard_episode_reg","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","FDRE","nvp_vclk1","CROSS_CLOCK"
"product","CDC1-CHG-0001","G2B_ONECH_C2H/axi_hard_episode_reg/D","G2B_ONECH_C2H/axi_hard_episode_reg","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[2]","FDRE","nvp_vclk1","CROSS_CLOCK"
"product","CDC1-CHG-0001","G2B_ONECH_C2H/axi_hard_episode_reg/D","G2B_ONECH_C2H/axi_hard_episode_reg","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[3]","FDRE","nvp_vclk1","CROSS_CLOCK"
"product","CDC1-CHG-0001","G2B_ONECH_C2H/axi_hard_episode_reg/D","G2B_ONECH_C2H/axi_hard_episode_reg","userclk1","userclk1","G2B_ONECH_C2H/stream_reset_busy_axi_reg","FDRE","userclk1","SAME_CLOCK"
"product","CDC1-CHG-0001","G2B_ONECH_C2H/axi_hard_episode_reg/D","G2B_ONECH_C2H/axi_hard_episode_reg","userclk1","userclk1","G2B_ONECH_C2H/stream_reset_is_hard_axi_reg","FDRE","userclk1","SAME_CLOCK"
"product","CDC1-CHG-0001","G2B_ONECH_C2H/axi_hard_episode_reg/D","G2B_ONECH_C2H/axi_hard_episode_reg","userclk1","userclk1","G2B_ONECH_C2H/transport_ack_sync2_axi_reg","FDRE","userclk1","SAME_CLOCK"
"product","CDC1-CHG-0001","G2B_ONECH_C2H/axi_hard_episode_reg/D","G2B_ONECH_C2H/axi_hard_episode_reg","userclk1","userclk1","G2B_ONECH_C2H/transport_followup_hard_axi_reg","FDRE","userclk1","SAME_CLOCK"
"product","CDC1-CHG-0001","G2B_ONECH_C2H/axi_hard_episode_reg/D","G2B_ONECH_C2H/axi_hard_episode_reg","userclk1","userclk1","G2B_ONECH_C2H/transport_req_toggle_axi_reg","FDRE","userclk1","SAME_CLOCK"
"product","CDC1-CHG-0001","G2B_ONECH_C2H/axi_hard_episode_reg/D","G2B_ONECH_C2H/axi_hard_episode_reg","userclk1","userclk1","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/user_reset_out_reg","FDPE","userclk1","SAME_CLOCK"
"product","CDC1-CHG-0002","G2B_ONECH_C2H/axis_state_reg[0]/D","G2B_ONECH_C2H/axis_state_reg[0]","userclk1","userclk1","AXI_LITE_HOST_BRIDGE/araddr_stored_reg[0]","FDRE","userclk1","SAME_CLOCK"
"product","CDC1-CHG-0002","G2B_ONECH_C2H/axis_state_reg[0]/D","G2B_ONECH_C2H/axis_state_reg[0]","userclk1","userclk1","AXI_LITE_HOST_BRIDGE/araddr_stored_reg[1]","FDRE","userclk1","SAME_CLOCK"
"product","CDC1-CHG-0002","G2B_ONECH_C2H/axis_state_reg[0]/D","G2B_ONECH_C2H/axis_state_reg[0]","userclk1","userclk1","AXI_LITE_HOST_BRIDGE/araddr_stored_reg[2]","FDRE","userclk1","SAME_CLOCK"
"product","CDC1-CHG-0002","G2B_ONECH_C2H/axis_state_reg[0]/D","G2B_ONECH_C2H/axis_state_reg[0]","userclk1","userclk1","AXI_LITE_HOST_BRIDGE/araddr_stored_reg[3]","FDRE","userclk1","SAME_CLOCK"
"product","CDC1-CHG-0002","G2B_ONECH_C2H/axis_state_reg[0]/D","G2B_ONECH_C2H/axis_state_reg[0]","userclk1","userclk1","AXI_LITE_HOST_BRIDGE/araddr_stored_reg[4]","FDRE","userclk1","SAME_CLOCK"
"product","CDC1-CHG-0002","G2B_ONECH_C2H/axis_state_reg[0]/D","G2B_ONECH_C2H/axis_state_reg[0]","userclk1","userclk1","AXI_LITE_HOST_BRIDGE/araddr_stored_reg[5]","FDRE","userclk1","SAME_CLOCK"
