"Name","Severity","Rule"
"CDC-13#1","CRITICAL","CDC-13"
"CDC-13#2","CRITICAL","CDC-13"
"CDC-1#1","CRITICAL","CDC-1"
"CDC-10#1","CRITICAL","CDC-10"
"CDC-1#2","CRITICAL","CDC-1"
"CDC-1#3","CRITICAL","CDC-1"
"CDC-1#4","CRITICAL","CDC-1"
"CDC-1#5","CRITICAL","CDC-1"
"CDC-1#6","CRITICAL","CDC-1"
"CDC-1#7","CRITICAL","CDC-1"
"CDC-1#8","CRITICAL","CDC-1"
"CDC-1#9","CRITICAL","CDC-1"
"CDC-1#10","CRITICAL","CDC-1"
"CDC-1#11","CRITICAL","CDC-1"
"CDC-1#12","CRITICAL","CDC-1"
"CDC-1#13","CRITICAL","CDC-1"
"CDC-1#14","CRITICAL","CDC-1"
"CDC-1#15","CRITICAL","CDC-1"
"CDC-1#16","CRITICAL","CDC-1"
"CDC-1#17","CRITICAL","CDC-1"
"CDC-1#18","CRITICAL","CDC-1"
"CDC-1#19","CRITICAL","CDC-1"
"CDC-1#20","CRITICAL","CDC-1"
"CDC-1#21","CRITICAL","CDC-1"
"CDC-1#22","CRITICAL","CDC-1"
"CDC-1#23","CRITICAL","CDC-1"
"CDC-1#24","CRITICAL","CDC-1"
"CDC-1#25","CRITICAL","CDC-1"
"CDC-1#26","CRITICAL","CDC-1"
"CDC-1#27","CRITICAL","CDC-1"
"CDC-1#28","CRITICAL","CDC-1"
"CDC-1#29","CRITICAL","CDC-1"
"CDC-1#30","CRITICAL","CDC-1"
"CDC-1#31","CRITICAL","CDC-1"
"CDC-1#32","CRITICAL","CDC-1"
"CDC-1#33","CRITICAL","CDC-1"
"CDC-1#34","CRITICAL","CDC-1"
"CDC-1#35","CRITICAL","CDC-1"
"CDC-1#36","CRITICAL","CDC-1"
"CDC-1#37","CRITICAL","CDC-1"
"CDC-1#38","CRITICAL","CDC-1"
"CDC-1#39","CRITICAL","CDC-1"
"CDC-1#40","CRITICAL","CDC-1"
"CDC-1#41","CRITICAL","CDC-1"
"CDC-1#42","CRITICAL","CDC-1"
"CDC-1#43","CRITICAL","CDC-1"
"CDC-1#44","CRITICAL","CDC-1"
"CDC-1#45","CRITICAL","CDC-1"
"CDC-1#46","CRITICAL","CDC-1"
"CDC-1#47","CRITICAL","CDC-1"
"CDC-1#48","CRITICAL","CDC-1"
"CDC-1#49","CRITICAL","CDC-1"
"CDC-1#50","CRITICAL","CDC-1"
"CDC-1#51","CRITICAL","CDC-1"
"CDC-1#52","CRITICAL","CDC-1"
"CDC-1#53","CRITICAL","CDC-1"
"CDC-1#54","CRITICAL","CDC-1"
"CDC-1#55","CRITICAL","CDC-1"
"CDC-1#56","CRITICAL","CDC-1"
"CDC-1#57","CRITICAL","CDC-1"
"CDC-1#58","CRITICAL","CDC-1"
"CDC-1#59","CRITICAL","CDC-1"
"CDC-1#60","CRITICAL","CDC-1"
"CDC-1#61","CRITICAL","CDC-1"
"CDC-1#62","CRITICAL","CDC-1"
"CDC-1#63","CRITICAL","CDC-1"
"CDC-1#64","CRITICAL","CDC-1"
"CDC-1#65","CRITICAL","CDC-1"
"CDC-1#66","CRITICAL","CDC-1"
"CDC-1#67","CRITICAL","CDC-1"
"CDC-1#68","CRITICAL","CDC-1"
"CDC-1#69","CRITICAL","CDC-1"
"CDC-1#70","CRITICAL","CDC-1"
"CDC-1#71","CRITICAL","CDC-1"
"CDC-1#72","CRITICAL","CDC-1"
"CDC-1#73","CRITICAL","CDC-1"
"CDC-1#74","CRITICAL","CDC-1"
"CDC-1#75","CRITICAL","CDC-1"
"CDC-1#76","CRITICAL","CDC-1"
"CDC-1#77","CRITICAL","CDC-1"
"CDC-1#78","CRITICAL","CDC-1"
"CDC-1#79","CRITICAL","CDC-1"
"CDC-1#80","CRITICAL","CDC-1"
"CDC-1#81","CRITICAL","CDC-1"
"CDC-1#82","CRITICAL","CDC-1"
"CDC-1#83","CRITICAL","CDC-1"
"CDC-1#84","CRITICAL","CDC-1"
"CDC-1#85","CRITICAL","CDC-1"
"CDC-1#86","CRITICAL","CDC-1"
"CDC-1#87","CRITICAL","CDC-1"
"CDC-1#88","CRITICAL","CDC-1"
"CDC-1#89","CRITICAL","CDC-1"
"CDC-1#90","CRITICAL","CDC-1"
"CDC-1#91","CRITICAL","CDC-1"
"CDC-1#92","CRITICAL","CDC-1"
"CDC-1#93","CRITICAL","CDC-1"
"CDC-1#94","CRITICAL","CDC-1"
"CDC-1#95","CRITICAL","CDC-1"
"CDC-1#96","CRITICAL","CDC-1"
"CDC-1#97","CRITICAL","CDC-1"
"CDC-1#98","CRITICAL","CDC-1"
"CDC-1#99","CRITICAL","CDC-1"
"CDC-1#100","CRITICAL","CDC-1"
"CDC-1#101","CRITICAL","CDC-1"
"CDC-1#102","CRITICAL","CDC-1"
"CDC-1#103","CRITICAL","CDC-1"
"CDC-1#104","CRITICAL","CDC-1"
"CDC-1#105","CRITICAL","CDC-1"
"CDC-1#106","CRITICAL","CDC-1"
"CDC-1#107","CRITICAL","CDC-1"
"CDC-1#108","CRITICAL","CDC-1"
"CDC-1#109","CRITICAL","CDC-1"
"CDC-1#110","CRITICAL","CDC-1"
"CDC-1#111","CRITICAL","CDC-1"
"CDC-1#112","CRITICAL","CDC-1"
"CDC-1#113","CRITICAL","CDC-1"
"CDC-1#114","CRITICAL","CDC-1"
"CDC-1#115","CRITICAL","CDC-1"
"CDC-1#116","CRITICAL","CDC-1"
"CDC-1#117","CRITICAL","CDC-1"
"CDC-1#118","CRITICAL","CDC-1"
"CDC-1#119","CRITICAL","CDC-1"
"CDC-1#120","CRITICAL","CDC-1"
"CDC-1#121","CRITICAL","CDC-1"
"CDC-1#122","CRITICAL","CDC-1"
"CDC-1#123","CRITICAL","CDC-1"
"CDC-1#124","CRITICAL","CDC-1"
"CDC-1#125","CRITICAL","CDC-1"
"CDC-1#126","CRITICAL","CDC-1"
"CDC-1#127","CRITICAL","CDC-1"
"CDC-1#128","CRITICAL","CDC-1"
"CDC-1#129","CRITICAL","CDC-1"
"CDC-1#130","CRITICAL","CDC-1"
"CDC-1#131","CRITICAL","CDC-1"
"CDC-1#132","CRITICAL","CDC-1"
"CDC-1#133","CRITICAL","CDC-1"
"CDC-1#134","CRITICAL","CDC-1"
"CDC-1#135","CRITICAL","CDC-1"
"CDC-1#136","CRITICAL","CDC-1"
"CDC-1#137","CRITICAL","CDC-1"
"CDC-1#138","CRITICAL","CDC-1"
"CDC-1#139","CRITICAL","CDC-1"
"CDC-1#140","CRITICAL","CDC-1"
"CDC-1#141","CRITICAL","CDC-1"
"CDC-1#142","CRITICAL","CDC-1"
"CDC-1#143","CRITICAL","CDC-1"
"CDC-1#144","CRITICAL","CDC-1"
"CDC-1#145","CRITICAL","CDC-1"
"CDC-1#146","CRITICAL","CDC-1"
"CDC-1#147","CRITICAL","CDC-1"
"CDC-1#148","CRITICAL","CDC-1"
"CDC-1#149","CRITICAL","CDC-1"
"CDC-1#150","CRITICAL","CDC-1"
"CDC-1#151","CRITICAL","CDC-1"
"CDC-1#152","CRITICAL","CDC-1"
"CDC-1#153","CRITICAL","CDC-1"
"CDC-1#154","CRITICAL","CDC-1"
"CDC-1#155","CRITICAL","CDC-1"
"CDC-1#156","CRITICAL","CDC-1"
"CDC-1#157","CRITICAL","CDC-1"
"CDC-1#158","CRITICAL","CDC-1"
"CDC-1#159","CRITICAL","CDC-1"
"CDC-1#160","CRITICAL","CDC-1"
"CDC-1#161","CRITICAL","CDC-1"
