"Name","Severity","Rule"
"CDC-9#1","INFO","CDC-9"
"CDC-9#2","INFO","CDC-9"
"CDC-3#1","INFO","CDC-3"
"CDC-3#2","INFO","CDC-3"
"CDC-9#3","INFO","CDC-9"
"CDC-9#4","INFO","CDC-9"
"CDC-3#3","INFO","CDC-3"
"CDC-3#4","INFO","CDC-3"
"CDC-3#5","INFO","CDC-3"
"CDC-3#6","INFO","CDC-3"
"CDC-3#7","INFO","CDC-3"
"CDC-3#8","INFO","CDC-3"
"CDC-3#9","INFO","CDC-3"
"CDC-3#10","INFO","CDC-3"
"CDC-3#11","INFO","CDC-3"
"CDC-9#5","INFO","CDC-9"
"CDC-9#6","INFO","CDC-9"
"CDC-3#12","INFO","CDC-3"
"CDC-3#13","INFO","CDC-3"
"CDC-3#14","INFO","CDC-3"
"CDC-3#15","INFO","CDC-3"
"CDC-3#16","INFO","CDC-3"
"CDC-3#17","INFO","CDC-3"
"CDC-3#18","INFO","CDC-3"
"CDC-3#19","INFO","CDC-3"
"CDC-3#20","INFO","CDC-3"
"CDC-3#21","INFO","CDC-3"
"CDC-3#22","INFO","CDC-3"
"CDC-3#23","INFO","CDC-3"
"CDC-3#24","INFO","CDC-3"
"CDC-3#25","INFO","CDC-3"
"CDC-3#26","INFO","CDC-3"
"CDC-3#27","INFO","CDC-3"
"CDC-3#28","INFO","CDC-3"
"CDC-3#29","INFO","CDC-3"
"CDC-3#30","INFO","CDC-3"
