"Name","Severity","Rule"
"LUTAR-1#1","WARNING","LUTAR-1"
"LUTAR-1#2","WARNING","LUTAR-1"
"TIMING-9#1","WARNING","TIMING-9"
"TIMING-34#1","WARNING","TIMING-34"
"TIMING-34#2","WARNING","TIMING-34"
"TIMING-34#3","WARNING","TIMING-34"
"TIMING-34#4","WARNING","TIMING-34"
"TIMING-34#5","WARNING","TIMING-34"
"TIMING-34#6","WARNING","TIMING-34"
"TIMING-34#7","WARNING","TIMING-34"
"TIMING-34#8","WARNING","TIMING-34"
"TIMING-34#9","WARNING","TIMING-34"
"TIMING-34#10","WARNING","TIMING-34"
"TIMING-34#11","WARNING","TIMING-34"
"TIMING-39#1","WARNING","TIMING-39"
