Sequence,Iteration,Phase,Operation,Offset,Value,DurationUs,Result
1,0,READ_ONLY_RUNTIME_IDENTITY,READ,0x0000,0xA40A0C07,269.589,PASS
2,0,READ_ONLY_RUNTIME_IDENTITY,READ,0x0004,0x0000400B,10.74,PASS
3,0,READ_ONLY_RUNTIME_IDENTITY,READ,0x0008,0x00031002,7.383,PASS
4,0,READ_ONLY_RUNTIME_IDENTITY,READ,0x000C,0x00010000,6.292,PASS
5,0,READ_ONLY_RUNTIME_IDENTITY,READ,0x0010,0xFC37D815,6.081,PASS
6,0,READ_ONLY_RUNTIME_IDENTITY,READ,0x0014,0xB5D64EF9,5.811,PASS
7,0,READ_ONLY_RUNTIME_IDENTITY,READ,0x0018,0x0DFBD99C,5.871,PASS
8,0,READ_ONLY_RUNTIME_IDENTITY,READ,0x001C,0x57AE4CC0,7.664,PASS
9,0,READ_ONLY_RUNTIME_IDENTITY,READ,0x0020,0x9567B56F,5.911,PASS
10,0,READ_ONLY_RUNTIME_IDENTITY,READ,0x0024,0x07E90002,5.801,PASS
11,0,READ_ONLY_RUNTIME_IDENTITY,READ,0x0028,0x00601F49,5.631,PASS
12,0,READ_ONLY_RUNTIME_IDENTITY,READ,0x002C,0x00000402,6.131,PASS
13,0,READ_ONLY_RUNTIME_IDENTITY,READ,0x0030,0x58444D41,5.661,PASS
14,0,READ_ONLY_RUNTIME_IDENTITY,READ,0x3800,0x43324831,6.211,PASS
15,0,READ_ONLY_RUNTIME_IDENTITY,READ,0x3804,0x00010000,5.741,PASS
16,0,READ_ONLY_RUNTIME_IDENTITY,READ,0x380C,0x00000000,5.791,PASS
17,0,READ_ONLY_RUNTIME_IDENTITY,READ,0x3810,0x000000C4,5.7,PASS
18,0,READ_ONLY_RUNTIME_IDENTITY,READ,0x3C00,0x4E565034,5.801,PASS
19,0,READ_ONLY_RUNTIME_IDENTITY,READ,0x3C04,0x00010002,5.631,PASS
20,0,READ_ONLY_RUNTIME_IDENTITY,READ,0x3C08,0x00000BFF,5.6,PASS
21,0,READ_ONLY_RUNTIME_IDENTITY,READ,0x008C,0x000000F9,5.811,PASS
22,0,READ_ONLY_RUNTIME_IDENTITY,READ,0x0090,0x00000000,5.62,PASS
23,0,READ_ONLY_RUNTIME_IDENTITY,READ,0x0094,0x00000000,5.631,PASS
24,0,PRE_SMOKE_I2C_COUNT,READ,0x3C50,0x00000000,5.591,PASS
25,1,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,17.362,PASS
26,1,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,9.848,PASS
27,1,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,8.716,PASS
28,1,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,5.941,PASS
29,1,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,5.59,PASS
30,1,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,9.047,PASS
31,1,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,6.312,PASS
32,1,POST_CLEAR_STATE,READ,0x3C18,0x00000000,5.631,PASS
33,1,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,5.59,PASS
34,1,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.791,PASS
35,1,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,5.721,PASS
36,1,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,5.761,PASS
37,2,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.791,PASS
38,2,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,5.78,PASS
39,2,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.64,PASS
40,2,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,5.781,PASS
41,2,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,5.611,PASS
42,2,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,5.53,PASS
43,2,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.981,PASS
44,2,POST_CLEAR_STATE,READ,0x3C18,0x00000000,5.721,PASS
45,2,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,5.5,PASS
46,2,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.731,PASS
47,2,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,7.163,PASS
48,2,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,5.611,PASS
49,3,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.671,PASS
50,3,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,5.58,PASS
51,3,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.641,PASS
52,3,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,5.551,PASS
53,3,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,5.72,PASS
54,3,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,4.469,PASS
55,3,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.68,PASS
56,3,POST_CLEAR_STATE,READ,0x3C18,0x00000000,5.51,PASS
57,3,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,5.53,PASS
58,3,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.651,PASS
59,3,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,5.761,PASS
60,3,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,5.68,PASS
61,4,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.86,PASS
62,4,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,5.631,PASS
63,4,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,6.001,PASS
64,4,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,5.61,PASS
65,4,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,8.716,PASS
66,4,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,15.348,PASS
67,4,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.881,PASS
68,4,POST_CLEAR_STATE,READ,0x3C18,0x00000000,5.56,PASS
69,4,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,5.52,PASS
70,4,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.641,PASS
71,4,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,5.611,PASS
72,4,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,5.52,PASS
73,5,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.621,PASS
74,5,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,5.68,PASS
75,5,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.661,PASS
76,5,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,5.53,PASS
77,5,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,5.51,PASS
78,5,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,4.378,PASS
79,5,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.61,PASS
80,5,POST_CLEAR_STATE,READ,0x3C18,0x00000000,5.54,PASS
81,5,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,5.5,PASS
82,5,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.53,PASS
83,5,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,5.601,PASS
84,5,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,5.54,PASS
85,6,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,6.662,PASS
86,6,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,10.98,PASS
87,6,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,8.536,PASS
88,6,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,8.546,PASS
89,6,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,8.526,PASS
90,6,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,7.174,PASS
91,6,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,8.596,PASS
92,6,POST_CLEAR_STATE,READ,0x3C18,0x00000000,8.505,PASS
93,6,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,8.475,PASS
