CheckIndex,Group,Family,SourceCount,DestinationCount,RequiredNs,DatapathDelayNs,SlackNs,RuntimeMs,Result,ReportSHA256,ObjectsSHA256
1,9,OWNERSHIP_SLOT_SETTLING,2,17,6.000,5.735,0.337,32,PASS,6260BEE6DCB5305FBDA5BF43860105C907979728F3AD76B834370B5CE03CBAE9,B46DAE7B170E57500FE15C37EE984681FE91AABD6BC7BAFEC722B661F3903E73
2,9,OWNERSHIP_GENERATION_SETTLING,24,17,6.000,5.036,1.036,46,PASS,9727FDFB7C0D3FEB20D60BF0CB2EBC12C133A4EE693461E8F9F6F55C76C8FC27,EC5046ADE082619328E4B42C3247BEF6EA3A27E5A61ECE4646CFA06E84F002C5
3,9,OWNERSHIP_EPOCH_SETTLING,32,17,6.000,4.976,1.096,36,PASS,A3AD3A2C0D564C0FF4C6DD94C10AA5FDECAD1EFD174E979E6B12195B31768361,08B06DE34850B175DC2322EE0CF3F66111D06E40FBB35F7253CE323B4ECA0D26
4,13,RESET_ABANDONED_COUNT_STABLE_PAYLOAD,3,32,6.000,3.367,2.692,26,PASS,81529621623A716341BEA1BEAC4BF0C17C823069D06D1531464CD4693705F8C0,D355108B0BC73440A53F84F7606EB3B944FD1EF705C776EF2282EF25549483FD
5,13,RESET_COMMIT_PHASE_COMPLETION_BARRIER,4,207,6.000,4.400,1.301,28,PASS,298DBCF655E334FE2B3A6B5E98BB0D4E32550A24E75C9CF1E18CF1261F847989,A6141696B1DF179F6E6D826274049524330B75EC42FC697F40590737DAC8F4A7
6,14,RELEASE_SLOT0_NORMAL_STATE_TRANSITION,56,3,6.000,5.454,0.622,36,PASS,4D84191FE1B2E24685C65FF58D4FFAE361E47128053007E849164B876C97AF35,A289A2EF69ECF86321C50A4BB0E0051EC78038788DFCBB9BBFA2CC5981BC5468
7,14,RELEASE_SLOT0_MISMATCH_CONTAINMENT,56,4,6.000,5.307,0.765,43,PASS,529BFAE891DFE723C8C9DEFB630F4C9A44645F3E32E7BEFB6FF5D41DFF5B2D6C,7B608CEC5F8816ADEEFFAA92418706F02F5604F57821B7C08677AFCEF383CAA8
8,14,RELEASE_SLOT0_RESET_OVERLAP_ACCOUNTING,56,3,6.000,4.312,1.718,31,PASS,454783D662A4EB95310DE643A88C38007C20D1B00584AD82124942F80BCC1A19,0927E35A670FDA05E9F92A6F9CE70F03B368FB8B1CF75BB75B99E6D60670D9A0
9,15,RELEASE_SLOT1_NORMAL_STATE_TRANSITION,56,3,6.000,5.101,0.929,34,PASS,10CF1FCE2A343DCA5B355A158BC73F70E1B79BBE0A554D6321BE6B6B186C812C,5F6EABCC85467F66426C31CDC1741E340C910F9EBBEE6C7CFA241FC005BBC0FA
10,15,RELEASE_SLOT1_MISMATCH_CONTAINMENT,56,4,6.000,5.172,0.900,33,PASS,E6DE14C3CF911EA19FA84662715C3F491C3B914ADD525DB421054F3B6FAA57EA,2B4D6DD69BB4E9F1CF7EEFF357C765149CAB89BB682EEC019A8EC7DBBF5262D7
11,15,RELEASE_SLOT1_RESET_OVERLAP_ACCOUNTING,56,3,6.000,4.353,1.677,42,PASS,E39468F521BB74E8B7379A35F53F9EEFB457588734F8F18D7FB8E93E70BAEF35,1A3D1370F97752C68386CE7A3567DF983A8B03CA94B8049C8DDA44C5275A4DB6
12,16,RELEASE_SLOT2_NORMAL_STATE_TRANSITION,56,3,6.000,5.511,0.561,31,PASS,31366A24F94DC473D076F64FD931FF65C95FF49884192FF13F3DD0AC365EF1B8,1C80D4B5F79AA087B12DD96DE9A1C5FD61510CC56ACBD6383E16F3889849BE04
13,16,RELEASE_SLOT2_MISMATCH_CONTAINMENT,56,4,6.000,5.119,0.953,43,PASS,CFBF7FE3847630D50783148ECFA7B970781B0C99D91630DA7AC8E82530AC8986,C738C63A76AA82DBA468FD98144963B7A429D93FF2E49FF16BF8144F6F072527
14,16,RELEASE_SLOT2_RESET_OVERLAP_ACCOUNTING,56,3,6.000,4.321,1.709,31,PASS,A1377F2AA71A617D5EAA5831BE1431BBDAF31DFEFECF5BBD922EFFA9E75CAD17,D8EB5975E2E81E51B6EAE0DD89B6158FBB0B7699165D420BF2500CC847FE876E
15,17,RELEASE_SLOT3_NORMAL_STATE_TRANSITION,56,3,6.000,5.704,0.326,34,PASS,CDF715A5662CEF93D0FA1E898273CF92471DEA198F7ADC7C10795E83892F9F4E,7138853A997254595B85CD664E5178CEAFAE899C41EF1F033805C95729D149BD
16,17,RELEASE_SLOT3_MISMATCH_CONTAINMENT,56,4,6.000,5.633,0.439,35,PASS,8B3F4FC3E4089BB8E99F426767584310153C700E092E384A3E0D0EE92A6ABE89,757A4119D3F9DAA8BF6F22DBA3E3C647C2342D1250AFFC783F3A21EEC6EDC903
17,17,RELEASE_SLOT3_RESET_OVERLAP_ACCOUNTING,56,3,6.000,4.338,1.692,36,PASS,321BAE56A332B99F9DDA8664A1A304A51BAA17B7EDC6DD122A7B3FC50AC67201,4F7ADEA75561E56E14EE5287CE9ED13767279D85C0D0DF5EA6E9AE07832D3C95
