SessionID,Round,VisitPosition,Channel,AssignedBGDCOL,Observation,RouteReadback,NVPClassification,PreResetVCLKRate,PreResetSAVRate,PreResetRatio,ResetAttempted,ResetResult,EpochTransition,PostResetVCLKRate,PostResetSAVRate,PostResetRatio,AvailabilityClassification,CaptureEligible,CaptureAttempted,CaptureResult,FrameClassification,FirmwareAdvanceAcknowledgement
1,1,0,1,RED,EXECUTED,0x00,NO_VIDEO_STABLE,148425322.775102,28114.727489,5279.273037,True,PASS,3->4,148453899.690750,28123.093707,5278.718666,BT656_READY_PRE_RESET_AND_POST_RESET,True,True,PASS,UNIFORM_BGDCOL_RED,PASS_AND_QUIESCENT
2,1,1,2,GREEN,EXECUTED,0x01,NO_VIDEO_STABLE,148426881.918491,0.000000,NOT_REACHED,True,PASS,5->6,148494203.697857,0.000000,NOT_REACHED,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET,False,False,NOT_RUN,NOT_RUN_CLOCK_PRESENT_NO_SAV,PASS_AND_QUIESCENT
3,1,2,3,CYAN,EXECUTED,0x02,NO_VIDEO_STABLE,148440261.615856,28115.945915,5279.575586,True,PASS,6->7,148435427.239212,28117.277331,5279.153650,BT656_READY_PRE_RESET_AND_POST_RESET,True,True,FAIL_STRUCTURAL_VALIDATION,FRAME_RECONSTRUCTED_BUT_SEQUENCE_GATE_FAIL,PASS_AND_QUIESCENT
4,1,3,4,WHITE75,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED
5,2,0,4,CYAN,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED
6,2,1,3,GREEN,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED
7,2,2,2,RED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED
8,2,3,1,WHITE75,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED
9,3,0,2,WHITE75,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED
10,3,1,3,RED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED
