"SessionID","Round","VisitPosition","Channel","AssignedBGDCOL","BGDCOLCode","RouteRequested","RouteReadback","Snapshot","NVPClassification","AvailabilityClassification","CaptureEligible","CaptureAttempted","CaptureResult","ActiveFrameAndTransport","BoundedVBITail","RouteVBIFingerprint","VerticalTailIntervals","PixelClassification","FirmwareAdvanceAcknowledgement","TaskResult"
"1","1","1","1","RED","0x6","0x00","0x00","PASS_COHERENT","NO_VIDEO_STABLE","BT656_READY_PRE_RESET_AND_POST_RESET","YES","YES","PASS_POST_FAILURE_OFFLINE_VALIDATION","PASS","PASS","STABLE_ROUTE_TAIL_21","21;21","UNIFORM_BGDCOL_RED","NO_FAILURE_RESPONSE_TRIGGERED_SAFE_RESTORE","FAIL_FIRST_BLOCKER_AFTER_SESSION_1"
"2","1","2","2","GREEN","0x4","0x01","NOT_REACHED","NOT_REACHED","NOT_REACHED","NOT_REACHED","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED","NOT_REACHED","NONE","NOT_REACHED","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"3","1","3","3","CYAN","0x3","0x02","NOT_REACHED","NOT_REACHED","NOT_REACHED","NOT_REACHED","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED","NOT_REACHED","NONE","NOT_REACHED","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"4","1","4","4","WHITE75","0x1","0x03","NOT_REACHED","NOT_REACHED","NOT_REACHED","NOT_REACHED","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED","NOT_REACHED","NONE","NOT_REACHED","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"5","2","1","4","CYAN","0x3","0x03","NOT_REACHED","NOT_REACHED","NOT_REACHED","NOT_REACHED","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED","NOT_REACHED","NONE","NOT_REACHED","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"6","2","2","3","GREEN","0x4","0x02","NOT_REACHED","NOT_REACHED","NOT_REACHED","NOT_REACHED","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED","NOT_REACHED","NONE","NOT_REACHED","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"7","2","3","2","RED","0x6","0x01","NOT_REACHED","NOT_REACHED","NOT_REACHED","NOT_REACHED","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED","NOT_REACHED","NONE","NOT_REACHED","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"8","2","4","1","WHITE75","0x1","0x00","NOT_REACHED","NOT_REACHED","NOT_REACHED","NOT_REACHED","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED","NOT_REACHED","NONE","NOT_REACHED","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"9","3","1","2","WHITE75","0x1","0x01","NOT_REACHED","NOT_REACHED","NOT_REACHED","NOT_REACHED","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED","NOT_REACHED","NONE","NOT_REACHED","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"10","3","2","3","RED","0x6","0x02","NOT_REACHED","NOT_REACHED","NOT_REACHED","NOT_REACHED","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED","NOT_REACHED","NONE","NOT_REACHED","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
