"SessionID","Round","Channel","CaptureEligible","CaptureAttempted","CaptureResult","ActiveFrameAndTransport","BoundedVBITail","PixelClassification"
"1","1","1","YES","YES","PASS_POST_FAILURE_OFFLINE_VALIDATION","PASS","PASS","UNIFORM_BGDCOL_RED"
"2","1","2","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED","NOT_REACHED"
"3","1","3","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED","NOT_REACHED"
"4","1","4","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED","NOT_REACHED"
"5","2","4","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED","NOT_REACHED"
"6","2","3","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED","NOT_REACHED"
"7","2","2","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED","NOT_REACHED"
"8","2","1","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED","NOT_REACHED"
"9","3","2","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED","NOT_REACHED"
"10","3","3","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED","NOT_REACHED"
"11","3","4","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED","NOT_REACHED"
"12","3","1","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED","NOT_REACHED"
"13","4","3","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED","NOT_REACHED"
"14","4","4","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED","NOT_REACHED"
"15","4","1","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED","NOT_REACHED"
"16","4","2","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED","NOT_REACHED"
