"SessionID","Round","Channel","RouteRequested","RouteReadback","TaskResult"
"1","1","1","0x00","0x00","FAIL_FIRST_BLOCKER_AFTER_SESSION_1"
"2","1","2","0x01","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"3","1","3","0x02","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"4","1","4","0x03","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"5","2","4","0x03","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"6","2","3","0x02","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"7","2","2","0x01","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"8","2","1","0x00","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"9","3","2","0x01","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"10","3","3","0x02","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"11","3","4","0x03","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"12","3","1","0x00","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"13","4","3","0x02","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"14","4","4","0x03","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"15","4","1","0x00","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"16","4","2","0x01","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
