"SessionID","Round","Channel","NVPClassification","AvailabilityClassification","CaptureEligible","CaptureAttempted","CaptureResult","FirmwareAdvanceAcknowledgement","TaskResult"
"1","1","1","NO_VIDEO_STABLE","BT656_READY_PRE_RESET_AND_POST_RESET","YES","YES","PASS_POST_FAILURE_OFFLINE_VALIDATION","NO_FAILURE_RESPONSE_TRIGGERED_SAFE_RESTORE","FAIL_FIRST_BLOCKER_AFTER_SESSION_1"
"2","1","2","NOT_REACHED","NOT_REACHED","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"3","1","3","NOT_REACHED","NOT_REACHED","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"4","1","4","NOT_REACHED","NOT_REACHED","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"5","2","4","NOT_REACHED","NOT_REACHED","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"6","2","3","NOT_REACHED","NOT_REACHED","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"7","2","2","NOT_REACHED","NOT_REACHED","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"8","2","1","NOT_REACHED","NOT_REACHED","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"9","3","2","NOT_REACHED","NOT_REACHED","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"10","3","3","NOT_REACHED","NOT_REACHED","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"11","3","4","NOT_REACHED","NOT_REACHED","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"12","3","1","NOT_REACHED","NOT_REACHED","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"13","4","3","NOT_REACHED","NOT_REACHED","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"14","4","4","NOT_REACHED","NOT_REACHED","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"15","4","1","NOT_REACHED","NOT_REACHED","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
"16","4","2","NOT_REACHED","NOT_REACHED","NOT_REACHED","NO","NOT_REACHED_AFTER_FIRST_BLOCKER","NOT_REACHED","NOT_REACHED_AFTER_FIRST_BLOCKER"
