RecordIndex,Frame,Line,CaptureSequence,AttemptSequence,GlobalSequence
0,682469,544,751395259,0,0
1,682469,545,751395260,1,1
2,682469,546,751395261,2,2
3,682469,547,751395262,3,3
4,682469,548,751395263,4,4
5,682469,549,751395264,5,5
6,682469,550,751395265,6,6
7,682469,551,751395266,7,7
8,682469,552,751395267,8,8
9,682469,553,751395268,9,9
10,682469,554,751395269,10,10
11,682469,555,751395270,11,11
12,682469,556,751395271,12,12
13,682469,557,751395272,13,13
14,682469,558,751395273,14,14
15,682469,559,751395274,15,15
16,682469,560,751395275,16,16
17,682469,561,751395276,17,17
18,682469,562,751395277,18,18
19,682469,563,751395278,19,19
20,682469,564,751395279,20,20
21,682469,565,751395280,21,21
22,682469,566,751395281,22,22
23,682469,567,751395282,23,23
24,682469,568,751395283,24,24
25,682469,569,751395284,25,25
26,682469,570,751395285,26,26
27,682469,571,751395286,27,27
28,682469,572,751395287,28,28
29,682469,573,751395288,29,29
30,682469,574,751395289,30,30
31,682469,575,751395290,31,31
32,682469,576,751395291,32,32
33,682469,577,751395292,33,33
34,682469,578,751395293,34,34
35,682469,579,751395294,35,35
36,682469,580,751395295,36,36
37,682469,581,751395296,37,37
38,682469,582,751395297,38,38
39,682469,583,751395298,39,39
40,682469,584,751395299,40,40
41,682469,585,751395300,41,41
42,682469,586,751395301,42,42
43,682469,587,751395302,43,43
44,682469,588,751395303,44,44
45,682469,589,751395304,45,45
46,682469,590,751395305,46,46
47,682469,591,751395306,47,47
48,682469,592,751395307,48,48
49,682469,593,751395308,49,49
50,682469,594,751395309,50,50
51,682469,595,751395310,51,51
52,682469,596,751395311,52,52
53,682469,597,751395312,53,53
54,682469,598,751395313,54,54
55,682469,599,751395314,55,55
56,682469,600,751395315,56,56
57,682469,601,751395316,57,57
58,682469,602,751395317,58,58
59,682469,603,751395318,59,59
60,682469,604,751395319,60,60
61,682469,605,751395320,61,61
62,682469,606,751395321,62,62
63,682469,607,751395322,63,63
64,682469,608,751395323,64,64
65,682469,609,751395324,65,65
66,682469,610,751395325,66,66
67,682469,611,751395326,67,67
68,682469,612,751395327,68,68
69,682469,613,751395328,69,69
70,682469,614,751395329,70,70
71,682469,615,751395330,71,71
72,682469,616,751395331,72,72
73,682469,617,751395332,73,73
74,682469,618,751395333,74,74
75,682469,619,751395334,75,75
76,682469,620,751395335,76,76
77,682469,621,751395336,77,77
78,682469,622,751395337,78,78
79,682469,623,751395338,79,79
80,682469,624,751395339,80,80
81,682469,625,751395340,81,81
82,682469,626,751395341,82,82
83,682469,627,751395342,83,83
84,682469,628,751395343,84,84
85,682469,629,751395344,85,85
86,682469,630,751395345,86,86
87,682469,631,751395346,87,87
88,682469,632,751395347,88,88
89,682469,633,751395348,89,89
90,682469,634,751395349,90,90
91,682469,635,751395350,91,91
92,682469,636,751395351,92,92
93,682469,637,751395352,93,93
94,682469,638,751395353,94,94
95,682469,639,751395354,95,95
96,682469,640,751395355,96,96
97,682469,641,751395356,97,97
98,682469,642,751395357,98,98
99,682469,643,751395358,99,99
100,682469,644,751395359,100,100
101,682469,645,751395360,101,101
102,682469,646,751395361,102,102
103,682469,647,751395362,103,103
104,682469,648,751395363,104,104
105,682469,649,751395364,105,105
106,682469,650,751395365,106,106
107,682469,651,751395366,107,107
108,682469,652,751395367,108,108
109,682469,653,751395368,109,109
110,682469,654,751395369,110,110
111,682469,655,751395370,111,111
112,682469,656,751395371,112,112
113,682469,657,751395372,113,113
114,682469,658,751395373,114,114
115,682469,659,751395374,115,115
116,682469,660,751395375,116,116
117,682469,661,751395376,117,117
118,682469,662,751395377,118,118
119,682469,663,751395378,119,119
120,682469,664,751395379,120,120
121,682469,665,751395380,121,121
122,682469,666,751395381,122,122
123,682469,667,751395382,123,123
124,682469,668,751395383,124,124
125,682469,669,751395384,125,125
126,682469,670,751395385,126,126
127,682469,671,751395386,127,127
128,682469,672,751395387,128,128
129,682469,673,751395388,129,129
130,682469,674,751395389,130,130
131,682469,675,751395390,131,131
132,682469,676,751395391,132,132
133,682469,677,751395392,133,133
134,682469,678,751395393,134,134
135,682469,679,751395394,135,135
136,682469,680,751395395,136,136
137,682469,681,751395396,137,137
138,682469,682,751395397,138,138
139,682469,683,751395398,139,139
140,682469,684,751395399,140,140
141,682469,685,751395400,141,141
142,682469,686,751395401,142,142
143,682469,687,751395402,143,143
144,682469,688,751395403,144,144
145,682469,689,751395404,145,145
146,682469,690,751395405,146,146
147,682469,691,751395406,147,147
148,682469,692,751395407,148,148
149,682469,693,751395408,149,149
150,682469,694,751395409,150,150
151,682469,695,751395410,151,151
152,682469,696,751395411,152,152
153,682469,697,751395412,153,153
154,682469,698,751395413,154,154
155,682469,699,751395414,155,155
156,682469,700,751395415,156,156
157,682469,701,751395416,157,157
158,682469,702,751395417,158,158
159,682469,703,751395418,159,159
160,682469,704,751395419,160,160
161,682469,705,751395420,161,161
162,682469,706,751395421,162,162
163,682469,707,751395422,163,163
164,682469,708,751395423,164,164
165,682469,709,751395424,165,165
166,682469,710,751395425,166,166
167,682469,711,751395426,167,167
168,682469,712,751395427,168,168
169,682469,713,751395428,169,169
170,682469,714,751395429,170,170
171,682469,715,751395430,171,171
172,682469,716,751395431,172,172
173,682469,717,751395432,173,173
174,682469,718,751395433,174,174
175,682469,719,751395434,175,175
176,682469,720,751395435,176,176
177,682469,721,751395436,177,177
178,682469,722,751395437,178,178
179,682469,723,751395438,179,179
180,682469,724,751395439,180,180
181,682469,725,751395440,181,181
182,682469,726,751395441,182,182
183,682469,727,751395442,183,183
184,682469,728,751395443,184,184
185,682469,729,751395444,185,185
186,682469,730,751395445,186,186
187,682469,731,751395446,187,187
188,682469,732,751395447,188,188
189,682469,733,751395448,189,189
190,682469,734,751395449,190,190
191,682469,735,751395450,191,191
192,682469,736,751395451,192,192
193,682469,737,751395452,193,193
194,682469,738,751395453,194,194
195,682469,739,751395454,195,195
196,682469,740,751395455,196,196
197,682469,741,751395456,197,197
198,682469,742,751395457,198,198
199,682469,743,751395458,199,199
200,682469,744,751395459,200,200
201,682469,745,751395460,201,201
202,682469,746,751395461,202,202
203,682469,747,751395462,203,203
204,682469,748,751395463,204,204
205,682469,749,751395464,205,205
206,682469,750,751395465,206,206
207,682469,751,751395466,207,207
208,682469,752,751395467,208,208
209,682469,753,751395468,209,209
210,682469,754,751395469,210,210
211,682469,755,751395470,211,211
212,682469,756,751395471,212,212
213,682469,757,751395472,213,213
214,682469,758,751395473,214,214
215,682469,759,751395474,215,215
216,682469,760,751395475,216,216
217,682469,761,751395476,217,217
218,682469,762,751395477,218,218
219,682469,763,751395478,219,219
220,682469,764,751395479,220,220
221,682469,765,751395480,221,221
222,682469,766,751395481,222,222
223,682469,767,751395482,223,223
224,682469,768,751395483,224,224
225,682469,769,751395484,225,225
226,682469,770,751395485,226,226
227,682469,771,751395486,227,227
228,682469,772,751395487,228,228
229,682469,773,751395488,229,229
230,682469,774,751395489,230,230
