SessionID,Channel,CaptureAttempted,PrimaryBytes,PrimaryExactCompletions,PrimaryShortCompletions,PrimaryFailedCompletions,PrimaryDuplicateCompletions,PrimaryMissingCompletions,PrimaryPendingCompletions,DisableLatencyUs,FinalPendingAIO,Result
1,1,True,10240000,2500,0,0,0,0,0,70.851,0,PASS
2,2,False,0,0,0,0,0,0,0,N/A,0,NOT_RUN
3,3,True,10240000,2500,0,0,0,0,0,76.872,0,PASS
4,4,False,0,0,0,0,0,0,0,N/A,0,NOT_RUN
5,4,False,0,0,0,0,0,0,0,N/A,0,NOT_RUN
6,3,True,10240000,2500,0,0,0,0,0,74.598,0,PASS
7,2,False,0,0,0,0,0,0,0,N/A,0,NOT_RUN
8,1,True,10240000,2500,0,0,0,0,0,341.25,0,PASS
9,2,False,0,0,0,0,0,0,0,N/A,0,NOT_RUN
10,3,True,10240000,2500,0,0,0,0,0,76.071,0,PASS
11,4,False,0,0,0,0,0,0,0,N/A,0,NOT_RUN
12,1,True,10240000,2500,0,0,0,0,0,76.412,0,PASS
13,3,True,10240000,2500,0,0,0,0,0,25.156,0,PASS
14,4,False,0,0,0,0,0,0,0,N/A,0,NOT_RUN
15,1,True,10240000,2500,0,0,0,0,0,73.977,0,PASS
16,2,False,0,0,0,0,0,0,0,N/A,0,NOT_RUN
