SessionID,Round,Channel,AssignedBGDCOL,NVPClassification,PreResetVCLKRate,PreResetSAVRate,PreResetVCLKPerSAV,ResetAttempted,ResetResult,PostResetVCLKRate,PostResetSAVRate,PostResetVCLKPerSAV,AvailabilityClassification,CaptureEligible,CaptureAttempted,CaptureResult,FrameClassification,FirmwareAdvanceAck
1,1,1,RED,NO_VIDEO_STABLE,148443808.31400236,28119.45874180378,5279.042163543441,True,PASS,148443289.68128797,28118.509206600247,5279.201987224982,BT656_READY_PRE_RESET_AND_POST_RESET,True,True,PASS,UNIFORM_BGDCOL_RED,PASS_AND_QUIESCENT
2,1,2,GREEN,NO_VIDEO_STABLE,148432107.21221372,0.0,,True,PASS,148496424.5108946,0.0,,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET,False,False,NOT_RUN,NOT_RUN_CLOCK_PRESENT_NO_SAV,PASS_AND_QUIESCENT
3,1,3,CYAN,NO_VIDEO_STABLE,148441897.14759967,28120.00708919965,5278.871256210078,True,PASS,148460309.45948106,28119.73030787603,5279.577998580554,BT656_READY_PRE_RESET_AND_POST_RESET,True,True,PASS,UNIFORM_BGDCOL_CYAN,PASS_AND_QUIESCENT
4,1,4,WHITE_75_PERCENT,NO_VIDEO_STABLE,148442406.3394391,0.0,,True,PASS,148494600.97185588,0.0,,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET,False,False,NOT_RUN,NOT_RUN_CLOCK_PRESENT_NO_SAV,PASS_AND_QUIESCENT
5,2,4,CYAN,NO_VIDEO_STABLE,148439280.08620676,0.0,,True,PASS,148491513.30731326,0.0,,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET,False,False,NOT_RUN,NOT_RUN_CLOCK_PRESENT_NO_SAV,PASS_AND_QUIESCENT
6,2,3,GREEN,NO_VIDEO_STABLE,148424656.96771622,28116.14393653249,5278.983394833948,True,PASS,148438239.62892452,28117.599193297763,5279.193241516399,BT656_READY_PRE_RESET_AND_POST_RESET,True,True,PASS,UNIFORM_BGDCOL_GREEN,PASS_AND_QUIESCENT
7,2,2,RED,NO_VIDEO_STABLE,148432000.49823812,0.0,,True,PASS,148494492.8315037,0.0,,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET,False,False,NOT_RUN,NOT_RUN_CLOCK_PRESENT_NO_SAV,PASS_AND_QUIESCENT
8,2,1,WHITE_75_PERCENT,NO_VIDEO_STABLE,148437186.1980472,28115.60595733009,5279.530038346826,True,PASS,148463836.79493296,28121.500196603,5279.371148658242,BT656_READY_PRE_RESET_AND_POST_RESET,True,True,PASS,UNIFORM_BGDCOL_WHITE,PASS_AND_QUIESCENT
9,3,2,WHITE_75_PERCENT,NO_VIDEO_STABLE,148441302.8559612,0.0,,True,PASS,148496937.3059044,0.0,,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET,False,False,NOT_RUN,NOT_RUN_CLOCK_PRESENT_NO_SAV,PASS_AND_QUIESCENT
10,3,3,RED,NO_VIDEO_STABLE,148426091.07636943,28112.209378569725,5279.773250035496,True,PASS,148438305.49437317,28122.2816028931,5278.316588619271,BT656_READY_PRE_RESET_AND_POST_RESET,True,True,PASS,UNIFORM_BGDCOL_RED,PASS_AND_QUIESCENT
11,3,4,GREEN,NO_VIDEO_STABLE,148443669.44655135,0.0,,True,PASS,148494634.31403726,0.0,,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET,False,False,NOT_RUN,NOT_RUN_CLOCK_PRESENT_NO_SAV,PASS_AND_QUIESCENT
12,3,1,CYAN,NO_VIDEO_STABLE,148441063.70047233,28113.806060583764,5280.005965061781,True,PASS,148462371.3513215,28124.219720784175,5278.80854385467,BT656_READY_PRE_RESET_AND_POST_RESET,True,True,PASS,UNIFORM_BGDCOL_CYAN,PASS_AND_QUIESCENT
13,4,3,WHITE_75_PERCENT,NO_VIDEO_STABLE,148442057.8932982,28116.26768589248,5279.579051944365,True,PASS,148462932.3684414,28119.441203211703,5279.725556974599,BT656_READY_PRE_RESET_AND_POST_RESET,True,True,PASS,UNIFORM_BGDCOL_WHITE,PASS_AND_QUIESCENT
14,4,4,RED,NO_VIDEO_STABLE,148440278.95509854,0.0,,True,PASS,148494394.79296917,0.0,,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET,False,False,NOT_RUN,NOT_RUN_CLOCK_PRESENT_NO_SAV,PASS_AND_QUIESCENT
15,4,1,GREEN,NO_VIDEO_STABLE,148441350.44520813,28117.644191170835,5279.295428733674,True,PASS,148458237.8618012,28119.512566796067,5279.545209368346,BT656_READY_PRE_RESET_AND_POST_RESET,True,True,PASS,UNIFORM_BGDCOL_GREEN,PASS_AND_QUIESCENT
16,4,2,CYAN,NO_VIDEO_STABLE,148425997.56876418,0.0,,True,PASS,148494518.94252595,0.0,,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET,False,False,NOT_RUN,NOT_RUN_CLOCK_PRESENT_NO_SAV,PASS_AND_QUIESCENT
