SessionID,Round,Channel,AssignedColor,AssignedCode,BGDCOL78,BGDCOL79,Result
1,1,1,RED,0x6,0x46,0x13,PASS
2,1,2,GREEN,0x4,0x46,0x13,PASS
3,1,3,CYAN,0x3,0x46,0x13,PASS
4,1,4,WHITE_75_PERCENT,0x1,0x46,0x13,PASS
5,2,4,CYAN,0x3,0x61,0x34,PASS
6,2,3,GREEN,0x4,0x61,0x34,PASS
7,2,2,RED,0x6,0x61,0x34,PASS
8,2,1,WHITE_75_PERCENT,0x1,0x61,0x34,PASS
9,3,2,WHITE_75_PERCENT,0x1,0x13,0x46,PASS
10,3,3,RED,0x6,0x13,0x46,PASS
11,3,4,GREEN,0x4,0x13,0x46,PASS
12,3,1,CYAN,0x3,0x13,0x46,PASS
13,4,3,WHITE_75_PERCENT,0x1,0x34,0x61,PASS
14,4,4,RED,0x6,0x34,0x61,PASS
15,4,1,GREEN,0x4,0x34,0x61,PASS
16,4,2,CYAN,0x3,0x34,0x61,PASS
