SessionID,Round,Channel,AssignedBGDCOL,CaptureEligible,CaptureAttempted,CaptureResult,CapturePass,PrimaryBytes,PrimaryExactCompletions,PrimaryShortCompletions,PrimaryFailedCompletions,PrimaryDuplicateCompletions,PrimaryMissingCompletions,PrimaryPendingCompletions,RecordIntegrityFailures,GlobalSequenceGaps,AttemptSequenceGaps,OverflowFlagRecords,MalformedPrecedingFlagRecords,SourceMalformedDelta,SourceDroppedDelta,Line0Present,Line0SOF,FrameReconstruction,DisableLatencyUs,PhysicalQuiescence,FinalPendingAIO,NativeHelperNormalExit,ActiveFrameAndTransportIntegrity,BoundedRouteSpecificVBITail,RouteVBITailFingerprint,CaptureSequenceDeltaValues,VerticalTailIntervalValues
1,1,1,RED,True,True,PASS,True,10240000,2500,0,0,0,0,0,0,0,0,0,0,0,0,True,True,PASS,70.851,PASS,0,True,PASS,PASS,STABLE_ROUTE_TAIL_21,22;22,21;21
2,1,2,GREEN,False,False,NOT_RUN,False,,,,,,,,,,,,,,,,,,,PASS,0,False,,,,,
3,1,3,CYAN,True,True,PASS,True,10240000,2500,0,0,0,0,0,0,0,0,0,0,0,0,True,True,PASS,76.872,PASS,0,True,PASS,PASS,STABLE_ROUTE_TAIL_1,2;2;2,1;1;1
4,1,4,WHITE_75_PERCENT,False,False,NOT_RUN,False,,,,,,,,,,,,,,,,,,,PASS,0,False,,,,,
5,2,4,CYAN,False,False,NOT_RUN,False,,,,,,,,,,,,,,,,,,,PASS,0,False,,,,,
6,2,3,GREEN,True,True,PASS,True,10240000,2500,0,0,0,0,0,0,0,0,0,0,0,0,True,True,PASS,74.598,PASS,0,True,PASS,PASS,STABLE_ROUTE_TAIL_1,2;2,1;1
7,2,2,RED,False,False,NOT_RUN,False,,,,,,,,,,,,,,,,,,,PASS,0,False,,,,,
8,2,1,WHITE_75_PERCENT,True,True,PASS,True,10240000,2500,0,0,0,0,0,0,0,0,0,0,0,0,True,True,PASS,341.25,PASS,0,True,PASS,PASS,STABLE_ROUTE_TAIL_21,22;22;22,21;21;21
9,3,2,WHITE_75_PERCENT,False,False,NOT_RUN,False,,,,,,,,,,,,,,,,,,,PASS,0,False,,,,,
10,3,3,RED,True,True,PASS,True,10240000,2500,0,0,0,0,0,0,0,0,0,0,0,0,True,True,PASS,76.071,PASS,0,True,PASS,PASS,STABLE_ROUTE_TAIL_1,2;2,1;1
11,3,4,GREEN,False,False,NOT_RUN,False,,,,,,,,,,,,,,,,,,,PASS,0,False,,,,,
12,3,1,CYAN,True,True,PASS,True,10240000,2500,0,0,0,0,0,0,0,0,0,0,0,0,True,True,PASS,76.412,PASS,0,True,PASS,PASS,STABLE_ROUTE_TAIL_21,22;22,21;21
13,4,3,WHITE_75_PERCENT,True,True,PASS,True,10240000,2500,0,0,0,0,0,0,0,0,0,0,0,0,True,True,PASS,25.156,PASS,0,True,PASS,PASS,STABLE_ROUTE_TAIL_1,2;2;2,1;1;1
14,4,4,RED,False,False,NOT_RUN,False,,,,,,,,,,,,,,,,,,,PASS,0,False,,,,,
15,4,1,GREEN,True,True,PASS,True,10240000,2500,0,0,0,0,0,0,0,0,0,0,0,0,True,True,PASS,73.977,PASS,0,True,PASS,PASS,STABLE_ROUTE_TAIL_21,22;22,21;21
16,4,2,CYAN,False,False,NOT_RUN,False,,,,,,,,,,,,,,,,,,,PASS,0,False,,,,,
