module,resolved_path,bundle_relative_path,sha256,manifest_sha256,contained_in_bundle,result
abi_v1,/home/vcdeagent1/vcde_artifacts/g2b_nvp_video_diag1_r3r2r1/20260911T093811Z/runtime-bundle/abi_v1.py,abi_v1.py,2939FC522A2D9679BB720F287AC022FC48FF042CE06E20877F8E686F35909F1E,2939FC522A2D9679BB720F287AC022FC48FF042CE06E20877F8E686F35909F1E,YES,PASS
abi_v1_r3r2,/home/vcdeagent1/vcde_artifacts/g2b_nvp_video_diag1_r3r2r1/20260911T093811Z/runtime-bundle/abi_v1_r3r2.py,abi_v1_r3r2.py,B40345CED07ADFAD5E41D2C9CDAE3A3CF0FC016B3C9F4895552CEBBA60C6C7CA,B40345CED07ADFAD5E41D2C9CDAE3A3CF0FC016B3C9F4895552CEBBA60C6C7CA,YES,PASS
availability_classifier_r3r2,/home/vcdeagent1/vcde_artifacts/g2b_nvp_video_diag1_r3r2r1/20260911T093811Z/runtime-bundle/availability_classifier_r3r2.py,availability_classifier_r3r2.py,87BE163DE189C95E7789BF15025F836E6E9012EFAD58973C8EE40FFE4D8E9E0A,87BE163DE189C95E7789BF15025F836E6E9012EFAD58973C8EE40FFE4D8E9E0A,YES,PASS
controller_nvp_capture_r3r2,/home/vcdeagent1/vcde_artifacts/g2b_nvp_video_diag1_r3r2r1/20260911T093811Z/runtime-bundle/controller_nvp_capture_r3r2.py,controller_nvp_capture_r3r2.py,7AC6B0028DBC0B0BC89E464897994531CDB3E188D7C300170B0577C57DF33D88,7AC6B0028DBC0B0BC89E464897994531CDB3E188D7C300170B0577C57DF33D88,YES,PASS
controller_nvp_video_diag1_r3r2,/home/vcdeagent1/vcde_artifacts/g2b_nvp_video_diag1_r3r2r1/20260911T093811Z/runtime-bundle/controller_nvp_video_diag1_r3r2.py,controller_nvp_video_diag1_r3r2.py,1FBB936167F23CC161DB7CB9C2CE54E11FDCC5FF197F7D6015A15DAD0FB52163,1FBB936167F23CC161DB7CB9C2CE54E11FDCC5FF197F7D6015A15DAD0FB52163,YES,PASS
frame_reconstruct_nvp_capture,/home/vcdeagent1/vcde_artifacts/g2b_nvp_video_diag1_r3r2r1/20260911T093811Z/runtime-bundle/frame_reconstruct_nvp_capture.py,frame_reconstruct_nvp_capture.py,C394C7A212FCE1EC5686878016F887DF02A68C209994A4A2A4681B54FDA89AEF,C394C7A212FCE1EC5686878016F887DF02A68C209994A4A2A4681B54FDA89AEF,YES,PASS
validate_nvp_capture_r3r2,/home/vcdeagent1/vcde_artifacts/g2b_nvp_video_diag1_r3r2r1/20260911T093811Z/runtime-bundle/validate_nvp_capture_r3r2.py,validate_nvp_capture_r3r2.py,CBAEFF14DACA8237F52683743FA1BD4389E359EBD26B4034243310CE067B2D3D,CBAEFF14DACA8237F52683743FA1BD4389E359EBD26B4034243310CE067B2D3D,YES,PASS
vbi_tail_contract_r3r2,/home/vcdeagent1/vcde_artifacts/g2b_nvp_video_diag1_r3r2r1/20260911T093811Z/runtime-bundle/vbi_tail_contract_r3r2.py,vbi_tail_contract_r3r2.py,A77824073D926989B1BF40273480E5E3584905C0869E3D799E7B737DAA24804F,A77824073D926989B1BF40273480E5E3584905C0869E3D799E7B737DAA24804F,YES,PASS
analyze_nvp_video_diag1,/home/vcdeagent1/vcde_artifacts/g2b_nvp_video_diag1_r3r2r1/20260911T093811Z/runtime-bundle/analyze_nvp_video_diag1.py,analyze_nvp_video_diag1.py,157E500E98907DDA0E58F783A40868DA39FB5E9C1343BDF4EA3F6F6E1B6D0686,157E500E98907DDA0E58F783A40868DA39FB5E9C1343BDF4EA3F6F6E1B6D0686,YES,PASS
aggregate_nvp_session_metadata,/home/vcdeagent1/vcde_artifacts/g2b_nvp_video_diag1_r3r2r1/20260911T093811Z/runtime-bundle/aggregate_nvp_session_metadata.py,aggregate_nvp_session_metadata.py,48344A2CAE759C26094A7C26D9A5645362A6172581201D3C64FB83EADCAC0280,48344A2CAE759C26094A7C26D9A5645362A6172581201D3C64FB83EADCAC0280,YES,PASS
