TimestampNs,SessionID,HostCaptureResult,ResponsePurpose,FirmwareResponseRaw,Accepted,Result
1789121058466491560,1,PASS,ADVANCE_AFTER_SUCCESSFUL_CAPTURE,0x00010009,True,PASS
1789121061647605313,2,NOT_RUN,ADVANCE_AFTER_SAFE_NO_CAPTURE_OBSERVATION,0x00020009,True,PASS
1789121065615120083,3,PASS,ADVANCE_AFTER_SUCCESSFUL_CAPTURE,0x00030009,True,PASS
1789121068801251948,4,NOT_RUN,ADVANCE_AFTER_SAFE_NO_CAPTURE_OBSERVATION,0x00040009,True,PASS
1789121071992328695,5,NOT_RUN,ADVANCE_AFTER_SAFE_NO_CAPTURE_OBSERVATION,0x00050009,True,PASS
1789121075905114546,6,PASS,ADVANCE_AFTER_SUCCESSFUL_CAPTURE,0x00060009,True,PASS
1789121079090754121,7,NOT_RUN,ADVANCE_AFTER_SAFE_NO_CAPTURE_OBSERVATION,0x00070009,True,PASS
1789121083028511996,8,PASS,ADVANCE_AFTER_SUCCESSFUL_CAPTURE,0x00080009,True,PASS
1789121086225306032,9,NOT_RUN,ADVANCE_AFTER_SAFE_NO_CAPTURE_OBSERVATION,0x00090009,True,PASS
1789121090141162671,10,PASS,ADVANCE_AFTER_SUCCESSFUL_CAPTURE,0x000A0009,True,PASS
1789121093327277505,11,NOT_RUN,ADVANCE_AFTER_SAFE_NO_CAPTURE_OBSERVATION,0x000B0009,True,PASS
1789121097271929921,12,PASS,ADVANCE_AFTER_SUCCESSFUL_CAPTURE,0x000C0009,True,PASS
1789121101165832019,13,PASS,ADVANCE_AFTER_SUCCESSFUL_CAPTURE,0x000D0009,True,PASS
1789121104355380080,14,NOT_RUN,ADVANCE_AFTER_SAFE_NO_CAPTURE_OBSERVATION,0x000E0009,True,PASS
1789121108287967568,15,PASS,ADVANCE_AFTER_SUCCESSFUL_CAPTURE,0x000F0009,True,PASS
1789121111476346457,16,NOT_RUN,ADVANCE_AFTER_SAFE_NO_CAPTURE_OBSERVATION,0x00100009,True,PASS
