module_name,source_path,bundle_relative_path,sha256,imported_by,transitive_depth,runtime_phase,classification
aggregate_nvp_session_metadata,C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2_20260911T073120Z\scripts\aggregate_nvp_session_metadata.py,aggregate_nvp_session_metadata.py,48344A2CAE759C26094A7C26D9A5645362A6172581201D3C64FB83EADCAC0280,isolated_bundle_gate_r3r2r1,0,RUNTIME,LOCAL_BUNDLE_MODULE
analyze_nvp_video_diag1,C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2_20260911T073120Z\scripts\analyze_nvp_video_diag1.py,analyze_nvp_video_diag1.py,157E500E98907DDA0E58F783A40868DA39FB5E9C1343BDF4EA3F6F6E1B6D0686,isolated_bundle_gate_r3r2r1,0,RUNTIME,LOCAL_BUNDLE_MODULE
controller_nvp_capture_r3r2,C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2_20260911T073120Z\scripts\controller_nvp_capture_r3r2.py,controller_nvp_capture_r3r2.py,7AC6B0028DBC0B0BC89E464897994531CDB3E188D7C300170B0577C57DF33D88,controller_nvp_video_diag1_r3r2;isolated_bundle_gate_r3r2r1,0,RUNTIME,LOCAL_BUNDLE_MODULE
controller_nvp_video_diag1_r3r2,C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2_20260911T073120Z\scripts\controller_nvp_video_diag1_r3r2.py,controller_nvp_video_diag1_r3r2.py,1FBB936167F23CC161DB7CB9C2CE54E11FDCC5FF197F7D6015A15DAD0FB52163,isolated_bundle_gate_r3r2r1;test_closed_bundle_r3r2r1;test_r3r2_host_controllers,0,RUNTIME,LOCAL_BUNDLE_MODULE
frame_reconstruct_nvp_capture,C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2_20260911T073120Z\scripts\frame_reconstruct_nvp_capture.py,frame_reconstruct_nvp_capture.py,C394C7A212FCE1EC5686878016F887DF02A68C209994A4A2A4681B54FDA89AEF,isolated_bundle_gate_r3r2r1;validate_nvp_capture_r3r2,0,RUNTIME,LOCAL_BUNDLE_MODULE
generate_r3r2_synthetic_primary,C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2_20260911T073120Z\scripts\generate_r3r2_synthetic_primary.py,generate_r3r2_synthetic_primary.py,97C97FA683546725C6F1B8A555214E9B9143A085C55D27FAFBC41DBA290385B1,ENTRYPOINT,0,TEST_GATE,LOCAL_BUNDLE_MODULE
isolated_bundle_gate_r3r2r1,C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2R1_20260911T093811Z\scripts\isolated_bundle_gate_r3r2r1.py,isolated_bundle_gate_r3r2r1.py,2FBBAEA591AE8FDB8399B9F9524DEF5B04D97CD14497BF47C45AF4280A6BB02D,ENTRYPOINT,0,TEST_GATE,LOCAL_BUNDLE_MODULE
r3r2_final_cleanup,C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2_20260911T073120Z\scripts\r3r2_final_cleanup.py,r3r2_final_cleanup.py,C87EE6584516A8AB75B14CE4D2CD26131DAF35F11EEC5C9B880272451EB53217,ENTRYPOINT,0,RUNTIME,LOCAL_BUNDLE_MODULE
r3r2_mmio_sanity,C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2_20260911T073120Z\scripts\r3r2_mmio_sanity.py,r3r2_mmio_sanity.py,552E86AF261EDEB34BDBD81CFB2718D83FBA1977417D0DA340D20B1881388792,ENTRYPOINT,0,RUNTIME,LOCAL_BUNDLE_MODULE
test_closed_bundle_r3r2r1,C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2R1_20260911T093811Z\scripts\test_closed_bundle_r3r2r1.py,test_closed_bundle_r3r2r1.py,CBAAE4C4602A6384F00D11E5D33E1FB6722C66C6C0DCF0F225B24D2B2EBDEA0E,ENTRYPOINT,0,TEST_GATE,LOCAL_BUNDLE_MODULE
