SessionID,PreResetQualified,ResetAttempted,ResetAcknowledged,PostResetQualified,AvailabilityClassification
1,True,True,True,True,BT656_READY_PRE_RESET_AND_POST_RESET
2,False,True,True,False,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET
3,True,True,True,True,BT656_READY_PRE_RESET_AND_POST_RESET
4,False,True,True,False,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET
5,False,True,True,False,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET
6,True,True,True,True,BT656_READY_PRE_RESET_AND_POST_RESET
7,False,True,True,False,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET
8,True,True,True,True,BT656_READY_PRE_RESET_AND_POST_RESET
9,False,True,True,False,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET
10,True,True,True,True,BT656_READY_PRE_RESET_AND_POST_RESET
11,False,True,True,False,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET
12,True,True,True,True,BT656_READY_PRE_RESET_AND_POST_RESET
13,True,True,True,True,BT656_READY_PRE_RESET_AND_POST_RESET
14,False,True,True,False,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET
15,True,True,True,True,BT656_READY_PRE_RESET_AND_POST_RESET
16,False,True,True,False,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET
