relative_path	file_type	file_size	sha256	source_authority_path	module_resource_name	direct_consumers	transitive_consumers	runtime_phase	required_on_controller	required_on_dut
abi_v1.py	LOCAL_PYTHON_MODULE	30488	2939FC522A2D9679BB720F287AC022FC48FF042CE06E20877F8E686F35909F1E	C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2_20260911T073120Z\scripts\abi_v1.py	abi_v1	frame_reconstruct_nvp_capture;isolated_bundle_gate_r3r2r1	frame_reconstruct_nvp_capture;isolated_bundle_gate_r3r2r1;validate_nvp_capture_r3r2	HARDWARE_CAPTURE	True	True
abi_v1_r3r2.py	LOCAL_PYTHON_MODULE	30847	B40345CED07ADFAD5E41D2C9CDAE3A3CF0FC016B3C9F4895552CEBBA60C6C7CA	C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2_20260911T073120Z\scripts\abi_v1_r3r2.py	abi_v1_r3r2	generate_r3r2_synthetic_primary;isolated_bundle_gate_r3r2r1;validate_nvp_capture_r3r2	generate_r3r2_synthetic_primary;isolated_bundle_gate_r3r2r1;validate_nvp_capture_r3r2	HARDWARE_CAPTURE	True	True
aggregate_nvp_session_metadata.py	RUNTIME_ENTRYPOINT	27716	48344A2CAE759C26094A7C26D9A5645362A6172581201D3C64FB83EADCAC0280	C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2_20260911T073120Z\scripts\aggregate_nvp_session_metadata.py	aggregate_nvp_session_metadata	isolated_bundle_gate_r3r2r1	isolated_bundle_gate_r3r2r1	HARDWARE_CAPTURE	True	True
analyze_nvp_video_diag1.py	RUNTIME_ENTRYPOINT	11305	157E500E98907DDA0E58F783A40868DA39FB5E9C1343BDF4EA3F6F6E1B6D0686	C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2_20260911T073120Z\scripts\analyze_nvp_video_diag1.py	analyze_nvp_video_diag1	isolated_bundle_gate_r3r2r1	isolated_bundle_gate_r3r2r1	HARDWARE_CAPTURE	True	True
availability_classifier_r3r2.py	LOCAL_PYTHON_MODULE	6857	87BE163DE189C95E7789BF15025F836E6E9012EFAD58973C8EE40FFE4D8E9E0A	C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2_20260911T073120Z\scripts\availability_classifier_r3r2.py	availability_classifier_r3r2	controller_nvp_capture_r3r2;controller_nvp_video_diag1_r3r2;isolated_bundle_gate_r3r2r1;test_closed_bundle_r3r2r1;test_r3r2_host_controllers	controller_nvp_capture_r3r2;controller_nvp_video_diag1_r3r2;isolated_bundle_gate_r3r2r1;test_closed_bundle_r3r2r1;test_r3r2_host_controllers	HARDWARE_CAPTURE	True	True
bin/xdma_c2h_rolling_4k_diag1	NATIVE_HELPER_BINARY	38248	FE50853C600098836548CF6C198012566A80E1C43A46F452B8B2965F806C5D52	C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2R1_20260911T093811Z\dut-bundle-staging\native-helper-from-dut\xdma_c2h_rolling_4k_diag1	bin/xdma_c2h_rolling_4k_diag1			HARDWARE_CAPTURE	True	True
build_native_helper_r3r2r1.sh	NATIVE_HELPER_BUILD_SCRIPT	436	BCA0D4419710CE47F776B987C884F368D446B4AE76C799C2C43542843B02B114	C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2R1_20260911T093811Z\scripts\build_native_helper_r3r2r1.sh	build_native_helper_r3r2r1.sh			BUNDLE_GATE	True	True
controller_nvp_capture_r3r2.py	RUNTIME_ENTRYPOINT	50840	7AC6B0028DBC0B0BC89E464897994531CDB3E188D7C300170B0577C57DF33D88	C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2_20260911T073120Z\scripts\controller_nvp_capture_r3r2.py	controller_nvp_capture_r3r2	controller_nvp_video_diag1_r3r2;isolated_bundle_gate_r3r2r1	controller_nvp_video_diag1_r3r2;isolated_bundle_gate_r3r2r1;test_closed_bundle_r3r2r1;test_r3r2_host_controllers	HARDWARE_CAPTURE	True	True
controller_nvp_video_diag1_r3r1.py	IMMUTABLE_TEST_REFERENCE	100556	2E3409E6E50A64F3D2C8745B5035BFE458DAAF42B3AFC9F40E23BFEF81226F99	C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2_20260911T073120Z\scripts\controller_nvp_video_diag1_r3r1.py	controller_nvp_video_diag1_r3r1			BUNDLE_GATE	True	True
controller_nvp_video_diag1_r3r2.py	RUNTIME_ENTRYPOINT	105756	1FBB936167F23CC161DB7CB9C2CE54E11FDCC5FF197F7D6015A15DAD0FB52163	C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2_20260911T073120Z\scripts\controller_nvp_video_diag1_r3r2.py	controller_nvp_video_diag1_r3r2	isolated_bundle_gate_r3r2r1;test_closed_bundle_r3r2r1;test_r3r2_host_controllers	isolated_bundle_gate_r3r2r1;test_closed_bundle_r3r2r1;test_r3r2_host_controllers	HARDWARE_CAPTURE	True	True
fixtures/retained-ch3-validation-result.json	TEST_FIXTURE	3576	55C1313F23A61A27E6439951FD2127F856AB54C6CF04BB6431E10705ADBAC996	C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R1_20260911T055202Z\evidence-staging\remote-text\logs\session-03-r1-ch3\validation-result.json	fixtures/retained-ch3-validation-result.json			BUNDLE_GATE	True	True
frame_reconstruct_nvp_capture.py	RUNTIME_ENTRYPOINT	7039	C394C7A212FCE1EC5686878016F887DF02A68C209994A4A2A4681B54FDA89AEF	C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2_20260911T073120Z\scripts\frame_reconstruct_nvp_capture.py	frame_reconstruct_nvp_capture	isolated_bundle_gate_r3r2r1;validate_nvp_capture_r3r2	isolated_bundle_gate_r3r2r1;validate_nvp_capture_r3r2	HARDWARE_CAPTURE	True	True
generate_r3r2_synthetic_primary.py	BUNDLE_GATE_ENTRYPOINT	2189	97C97FA683546725C6F1B8A555214E9B9143A085C55D27FAFBC41DBA290385B1	C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2_20260911T073120Z\scripts\generate_r3r2_synthetic_primary.py	generate_r3r2_synthetic_primary			BUNDLE_GATE	True	True
isolated_bundle_gate_r3r2r1.py	BUNDLE_GATE_ENTRYPOINT	13898	2FBBAEA591AE8FDB8399B9F9524DEF5B04D97CD14497BF47C45AF4280A6BB02D	C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2R1_20260911T093811Z\scripts\isolated_bundle_gate_r3r2r1.py	isolated_bundle_gate_r3r2r1			BUNDLE_GATE	True	True
r3r2_final_cleanup.py	RUNTIME_ENTRYPOINT	6100	C87EE6584516A8AB75B14CE4D2CD26131DAF35F11EEC5C9B880272451EB53217	C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2_20260911T073120Z\scripts\r3r2_final_cleanup.py	r3r2_final_cleanup			HARDWARE_CAPTURE	True	True
r3r2_mmio_sanity.py	RUNTIME_ENTRYPOINT	10546	552E86AF261EDEB34BDBD81CFB2718D83FBA1977417D0DA340D20B1881388792	C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2_20260911T073120Z\scripts\r3r2_mmio_sanity.py	r3r2_mmio_sanity			HARDWARE_CAPTURE	True	True
test_closed_bundle_r3r2r1.py	BUNDLE_GATE_ENTRYPOINT	4746	CBAAE4C4602A6384F00D11E5D33E1FB6722C66C6C0DCF0F225B24D2B2EBDEA0E	C:\FPGA\G2B_NVP_VIDEO_DIAG1_R3R2R1_20260911T093811Z\scripts\test_closed_bundle_r3r2r1.py	test_closed_bundle_r3r2r1			BUNDLE_GATE	True	True
