TimestampNs,Phase,ExpectedSession,Attempt,Retry,Valid0,Generation0,Session0,Word0Session,Generation1,Session1,Valid1,FirmwareCurrentSession,MetadataUpperBitsZero,Result,FailureReasons
1789121055160265494,PRE_CAPTURE,1,1,0,1,1,1,1,1,1,1,1,True,PASS,
1789121058442807096,POST_CAPTURE,1,1,0,1,1,1,1,1,1,1,1,True,PASS,
1789121059120599744,PRE_CAPTURE,2,1,0,1,2,2,2,2,2,1,2,True,PASS,
1789121061620050273,POST_CAPTURE,2,1,0,1,2,2,2,2,2,1,2,True,PASS,
1789121062301733775,PRE_CAPTURE,3,1,0,1,3,3,3,3,3,1,3,True,PASS,
1789121065589950314,POST_CAPTURE,3,1,0,1,3,3,3,3,3,1,3,True,PASS,
1789121066270916778,PRE_CAPTURE,4,1,0,1,4,4,4,4,4,1,4,True,PASS,
1789121068771580256,POST_CAPTURE,4,1,0,1,4,4,4,4,4,1,4,True,PASS,
1789121069465340198,PRE_CAPTURE,5,1,0,1,5,5,5,5,5,1,5,True,PASS,
1789121071964723295,POST_CAPTURE,5,1,0,1,5,5,5,5,5,1,5,True,PASS,
1789121072646229357,PRE_CAPTURE,6,1,0,1,6,6,6,6,6,1,6,True,PASS,
1789121075880545036,POST_CAPTURE,6,1,0,1,6,6,6,6,6,1,6,True,PASS,
1789121076561182010,PRE_CAPTURE,7,1,0,1,7,7,7,7,7,1,7,True,PASS,
1789121079061942532,POST_CAPTURE,7,1,0,1,7,7,7,7,7,1,7,True,PASS,
1789121079746395649,PRE_CAPTURE,8,1,0,1,8,8,8,8,8,1,8,True,PASS,
1789121083002878720,POST_CAPTURE,8,1,0,1,8,8,8,8,8,1,8,True,PASS,
1789121083695082843,PRE_CAPTURE,9,1,0,1,9,9,9,9,9,1,9,True,PASS,
1789121086198470031,POST_CAPTURE,9,1,0,1,9,9,9,9,9,1,9,True,PASS,
1789121086878822396,PRE_CAPTURE,10,1,0,1,10,10,10,10,10,1,10,True,PASS,
1789121090116600585,POST_CAPTURE,10,1,0,1,10,10,10,10,10,1,10,True,PASS,
1789121090796678565,PRE_CAPTURE,11,1,0,1,11,11,11,11,11,1,11,True,PASS,
1789121093298886340,POST_CAPTURE,11,1,0,1,11,11,11,11,11,1,11,True,PASS,
1789121093981140777,PRE_CAPTURE,12,1,0,1,12,12,12,12,12,1,12,True,PASS,
1789121097247372183,POST_CAPTURE,12,1,0,1,12,12,12,12,12,1,12,True,PASS,
1789121097937319604,PRE_CAPTURE,13,1,0,1,13,13,13,13,13,1,13,True,PASS,
1789121101141578133,POST_CAPTURE,13,1,0,1,13,13,13,13,13,1,13,True,PASS,
1789121101820210142,PRE_CAPTURE,14,1,0,1,14,14,14,14,14,1,14,True,PASS,
1789121104325577205,POST_CAPTURE,14,1,0,1,14,14,14,14,14,1,14,True,PASS,
1789121105009241707,PRE_CAPTURE,15,1,0,1,15,15,15,15,15,1,15,True,PASS,
1789121108263550771,POST_CAPTURE,15,1,0,1,15,15,15,15,15,1,15,True,PASS,
1789121108944579979,PRE_CAPTURE,16,1,0,1,16,16,16,16,16,1,16,True,PASS,
1789121111446908768,POST_CAPTURE,16,1,0,1,16,16,16,16,16,1,16,True,PASS,
