SessionID,Round,Channel,SnapshotGeneration,SnapshotCoherenceRetries,RoundPosition,Classification,ClassificationCode,RouteRequested,RouteReadback,AssignedBGDCOL,BGDCOLCode,BGDCOL78,BGDCOL79,RawNOVID,RawAGCLock,RawComparatorLock,RawHLock,RawChannelStatus,StableSamples,TotalStatusSamples,I2CTransactionCount,I2CNackCountLow8,I2CTimeoutCountLow8,I2CBusRecoveryCountLow8,I2CNackOverflow,I2CTimeoutOverflow,I2CBusRecoveryOverflow,CurrentError,FirstI2CErrorLow8,LastI2CErrorLow8,SnapshotWords,CaptureResult,CaptureBlocker,FrameSequence,FrameSHA256,PNG_SHA256,PixelClassification,CleanupResult,PrimaryBytes,PrimaryExactCompletions,PrimaryShortCompletions,PrimaryFailedCompletions,PrimaryDuplicateCompletions,PrimaryMissingCompletions,PrimaryPendingCompletions,RecordIntegrityFailures,GlobalSequenceGaps,AttemptSequenceGaps,OverflowFlagRecords,MalformedPrecedingFlagRecords,SourceMalformedDelta,SourceDroppedDelta,Line0Present,Line0SOF,FrameReconstruction,DisableLatencyUs,PhysicalQuiescence,FinalPendingAIO,NativeHelperNormalExit,ActiveFrameAndTransportIntegrity,BoundedRouteSpecificVBITail,LegacyCH1ExactTailFingerprint,RouteVBITailFingerprint,CaptureSequenceDeltaValues,VerticalTailIntervalValues,AvailabilityClassification,CaptureEligible,CaptureAttempted,SessionObservationResult,CapturePass,FirmwareAdvanceAck,FirmwareResponseRaw
1,1,1,1,0,0,NO_VIDEO_STABLE,2,0x00,0x00,RED,0x6,0x46,0x13,0x0F,0x00,0x0F,0x00,0x57,5,5,87,0,0,0,False,False,False,0x0000,0x00,0x00,0x02240001;0x00000605;0x0F000F00;0x57461305;0x00020001;0x00000057;0x00000000;0x00000000,PASS,,887454,515091C698D633144524F512711B75F9AF3A07BF76593328C0269F702029C696,E6E8BB09241D728EBD32C14BB48DAE6760E216A504E2345CC3228DBBC8ADA446,UNIFORM_BGDCOL_RED,PASS,10240000,2500,0,0,0,0,0,0,0,0,0,0,0,0,True,True,PASS,70.851,PASS,0,True,PASS,PASS,PASS,STABLE_ROUTE_TAIL_21,22;22,21;21,BT656_READY_PRE_RESET_AND_POST_RESET,True,True,PASS_CAPTURE_COMPLETED,True,PASS_AND_QUIESCENT,0x00010009
2,1,2,2,0,1,NO_VIDEO_STABLE,2,0x01,0x01,GREEN,0x4,0x46,0x13,0x0F,0x00,0x0F,0x00,0x57,5,5,117,0,0,0,False,False,False,0x0000,0x00,0x00,0x02440002;0x01010405;0x0F000F00;0x57461305;0x00020042;0x00000075;0x00000000;0x00000000,NOT_RUN,,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_RUN_CLOCK_PRESENT_NO_SAV,PASS,,,,,,,,,,,,,,,,,,,PASS,0,False,,,,,,,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET,False,False,PASS_NO_BT656_CAPTURE_NOT_RUN,False,PASS_AND_QUIESCENT,0x00020009
3,1,3,3,0,2,NO_VIDEO_STABLE,2,0x02,0x02,CYAN,0x3,0x46,0x13,0x0F,0x00,0x0F,0x00,0x57,5,5,147,0,0,0,False,False,False,0x0000,0x00,0x00,0x02640003;0x02020305;0x0F000F00;0x57461305;0x00020083;0x00000093;0x00000000;0x00000000,PASS,,887552,F7DC021138D6A4996DC07554629D1CA38417BF3237672BDC6949F710ADA77285,C15C5B255951664F619C2F1E02FC18BB4E56BEC635E466AAB951C9612BEF6A79,UNIFORM_BGDCOL_CYAN,PASS,10240000,2500,0,0,0,0,0,0,0,0,0,0,0,0,True,True,PASS,76.872,PASS,0,True,PASS,PASS,FAIL,STABLE_ROUTE_TAIL_1,2;2;2,1;1;1,BT656_READY_PRE_RESET_AND_POST_RESET,True,True,PASS_CAPTURE_COMPLETED,True,PASS_AND_QUIESCENT,0x00030009
4,1,4,4,0,3,NO_VIDEO_STABLE,2,0x03,0x03,WHITE_75_PERCENT,0x1,0x46,0x13,0x0F,0x00,0x0F,0x00,0x57,5,5,177,0,0,0,False,False,False,0x0000,0x00,0x00,0x02840004;0x03030105;0x0F000F00;0x57461305;0x000200C4;0x000000B1;0x00000000;0x00000000,NOT_RUN,,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_RUN_CLOCK_PRESENT_NO_SAV,PASS,,,,,,,,,,,,,,,,,,,PASS,0,False,,,,,,,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET,False,False,PASS_NO_BT656_CAPTURE_NOT_RUN,False,PASS_AND_QUIESCENT,0x00040009
5,2,4,5,0,0,NO_VIDEO_STABLE,2,0x03,0x03,CYAN,0x3,0x61,0x34,0x0F,0x00,0x0F,0x00,0x57,5,5,212,0,0,0,False,False,False,0x0000,0x00,0x00,0x02880005;0x03030305;0x0F000F00;0x57613405;0x0002000C;0x000000D4;0x00000000;0x00000000,NOT_RUN,,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_RUN_CLOCK_PRESENT_NO_SAV,PASS,,,,,,,,,,,,,,,,,,,PASS,0,False,,,,,,,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET,False,False,PASS_NO_BT656_CAPTURE_NOT_RUN,False,PASS_AND_QUIESCENT,0x00050009
6,2,3,6,0,1,NO_VIDEO_STABLE,2,0x02,0x02,GREEN,0x4,0x61,0x34,0x0F,0x00,0x0F,0x00,0x57,5,5,242,0,0,0,False,False,False,0x0000,0x00,0x00,0x02680006;0x02020405;0x0F000F00;0x57613405;0x0002004B;0x000000F2;0x00000000;0x00000000,PASS,,887652,A015B60BF9C853409F46A711ECC2DD079AD77DA2B15827FC9DF5446848FD4093,D973ABBE73321D2D404FA00F35EC23EBB9405E1E4DD4D8FB60328D677C0C0F18,UNIFORM_BGDCOL_GREEN,PASS,10240000,2500,0,0,0,0,0,0,0,0,0,0,0,0,True,True,PASS,74.598,PASS,0,True,PASS,PASS,FAIL,STABLE_ROUTE_TAIL_1,2;2,1;1,BT656_READY_PRE_RESET_AND_POST_RESET,True,True,PASS_CAPTURE_COMPLETED,True,PASS_AND_QUIESCENT,0x00060009
7,2,2,7,0,2,NO_VIDEO_STABLE,2,0x01,0x01,RED,0x6,0x61,0x34,0x0F,0x00,0x0F,0x00,0x57,5,5,272,0,0,0,False,False,False,0x0000,0x00,0x00,0x02480007;0x01010605;0x0F000F00;0x57613405;0x0002008A;0x00000110;0x00000000;0x00000000,NOT_RUN,,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_RUN_CLOCK_PRESENT_NO_SAV,PASS,,,,,,,,,,,,,,,,,,,PASS,0,False,,,,,,,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET,False,False,PASS_NO_BT656_CAPTURE_NOT_RUN,False,PASS_AND_QUIESCENT,0x00070009
8,2,1,8,0,3,NO_VIDEO_STABLE,2,0x00,0x00,WHITE_75_PERCENT,0x1,0x61,0x34,0x0F,0x00,0x0F,0x00,0x57,5,5,302,0,0,0,False,False,False,0x0000,0x00,0x00,0x02280008;0x00000105;0x0F000F00;0x57613405;0x000200C9;0x0000012E;0x00000000;0x00000000,PASS,,887750,DA3CD12CCE4819F1C960587EA469753077DF59712F8C79BC6F83B5D1A4CDF80D,E5E4EEE2439C34A492019C1E1920EFA2E49CCF7F0A565CF51CC61FE5C6DEF298,UNIFORM_BGDCOL_WHITE,PASS,10240000,2500,0,0,0,0,0,0,0,0,0,0,0,0,True,True,PASS,341.25,PASS,0,True,PASS,PASS,PASS,STABLE_ROUTE_TAIL_21,22;22;22,21;21;21,BT656_READY_PRE_RESET_AND_POST_RESET,True,True,PASS_CAPTURE_COMPLETED,True,PASS_AND_QUIESCENT,0x00080009
9,3,2,9,0,0,NO_VIDEO_STABLE,2,0x01,0x01,WHITE_75_PERCENT,0x1,0x13,0x46,0x0F,0x00,0x0F,0x00,0x57,5,5,337,0,0,0,False,False,False,0x0000,0x00,0x00,0x024C0009;0x01010105;0x0F000F00;0x57134605;0x00020012;0x00000151;0x00000000;0x00000000,NOT_RUN,,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_RUN_CLOCK_PRESENT_NO_SAV,PASS,,,,,,,,,,,,,,,,,,,PASS,0,False,,,,,,,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET,False,False,PASS_NO_BT656_CAPTURE_NOT_RUN,False,PASS_AND_QUIESCENT,0x00090009
10,3,3,10,0,1,NO_VIDEO_STABLE,2,0x02,0x02,RED,0x6,0x13,0x46,0x0F,0x00,0x0F,0x00,0x57,5,5,367,0,0,0,False,False,False,0x0000,0x00,0x00,0x026C000A;0x02020605;0x0F000F00;0x57134605;0x00020053;0x0000016F;0x00000000;0x00000000,PASS,,887849,515091C698D633144524F512711B75F9AF3A07BF76593328C0269F702029C696,E6E8BB09241D728EBD32C14BB48DAE6760E216A504E2345CC3228DBBC8ADA446,UNIFORM_BGDCOL_RED,PASS,10240000,2500,0,0,0,0,0,0,0,0,0,0,0,0,True,True,PASS,76.071,PASS,0,True,PASS,PASS,FAIL,STABLE_ROUTE_TAIL_1,2;2,1;1,BT656_READY_PRE_RESET_AND_POST_RESET,True,True,PASS_CAPTURE_COMPLETED,True,PASS_AND_QUIESCENT,0x000A0009
11,3,4,11,0,2,NO_VIDEO_STABLE,2,0x03,0x03,GREEN,0x4,0x13,0x46,0x0F,0x00,0x0F,0x00,0x57,5,5,397,0,0,0,False,False,False,0x0000,0x00,0x00,0x028C000B;0x03030405;0x0F000F00;0x57134605;0x00020094;0x0000018D;0x00000000;0x00000000,NOT_RUN,,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_RUN_CLOCK_PRESENT_NO_SAV,PASS,,,,,,,,,,,,,,,,,,,PASS,0,False,,,,,,,CLOCK_PRESENT_NO_SAV_PRE_AND_POST_RESET,False,False,PASS_NO_BT656_CAPTURE_NOT_RUN,False,PASS_AND_QUIESCENT,0x000B0009
12,3,1,12,0,3,NO_VIDEO_STABLE,2,0x00,0x00,CYAN,0x3,0x13,0x46,0x0F,0x00,0x0F,0x00,0x57,5,5,427,0,0,0,False,False,False,0x0000,0x00,0x00,0x022C000C;0x00000305;0x0F000F00;0x57134605;0x000200D1;0x000001AB;0x00000000;0x00000000,PASS,,887947,F7DC021138D6A4996DC07554629D1CA38417BF3237672BDC6949F710ADA77285,C15C5B255951664F619C2F1E02FC18BB4E56BEC635E466AAB951C9612BEF6A79,UNIFORM_BGDCOL_CYAN,PASS,10240000,2500,0,0,0,0,0,0,0,0,0,0,0,0,True,True,PASS,76.412,PASS,0,True,PASS,PASS,PASS,STABLE_ROUTE_TAIL_21,22;22,21;21,BT656_READY_PRE_RESET_AND_POST_RESET,True,True,PASS_CAPTURE_COMPLETED,True,PASS_AND_QUIESCENT,0x000C0009
13,4,3,13,0,0,NO_VIDEO_STABLE,2,0x02,0x02,WHITE_75_PERCENT,0x1,0x34,0x61,0x0F,0x00,0x0F,0x00,0x57,5,5,462,0,0,0,False,False,False,0x0000,0x00,0x00,0x0270000D;0x02020105;0x0F000F00;0x57346105;0x0002001B;0x000001CE;0x00000000;0x00000000,PASS,,888046,DA3CD12CCE4819F1C960587EA469753077DF59712F8C79BC6F83B5D1A4CDF80D,E5E4EEE2439C34A492019C1E1920EFA2E49CCF7F0A565CF51CC61FE5C6DEF298,UNIFORM_BGDCOL_WHITE,PASS,10240000,2500,0,0,0,0,0,0,0,0,0,0,0,0,True,True,PASS,25.156,PASS,0,True,PASS,PASS,FAIL,STABLE_ROUTE_TAIL_1,2;2;2,1;1;1,BT656_READY_PRE_RESET_AND_POST_RESET,True,True,PASS_CAPTURE_COMPLETED,True,PASS_AND_QUIESCENT,0x000D0009
