BytePositionModulo4,Lane,Bit,Samples,ZeroCount,OneCount,Varied,UniqueByteValues,ByteMinimum,ByteMaximum,ByteMean,ByteVariance
0,U0,0,1036800,1036800,0,NO,1,128,128,128.000000000,0.000000000
0,U0,1,1036800,1036800,0,NO,1,128,128,128.000000000,0.000000000
0,U0,2,1036800,1036800,0,NO,1,128,128,128.000000000,0.000000000
0,U0,3,1036800,1036800,0,NO,1,128,128,128.000000000,0.000000000
0,U0,4,1036800,1036800,0,NO,1,128,128,128.000000000,0.000000000
0,U0,5,1036800,1036800,0,NO,1,128,128,128.000000000,0.000000000
0,U0,6,1036800,1036800,0,NO,1,128,128,128.000000000,0.000000000
0,U0,7,1036800,0,1036800,NO,1,128,128,128.000000000,0.000000000
1,Y0,0,1036800,1036800,0,NO,1,16,16,16.000000000,0.000000000
1,Y0,1,1036800,1036800,0,NO,1,16,16,16.000000000,0.000000000
1,Y0,2,1036800,1036800,0,NO,1,16,16,16.000000000,0.000000000
1,Y0,3,1036800,1036800,0,NO,1,16,16,16.000000000,0.000000000
1,Y0,4,1036800,0,1036800,NO,1,16,16,16.000000000,0.000000000
1,Y0,5,1036800,1036800,0,NO,1,16,16,16.000000000,0.000000000
1,Y0,6,1036800,1036800,0,NO,1,16,16,16.000000000,0.000000000
1,Y0,7,1036800,1036800,0,NO,1,16,16,16.000000000,0.000000000
2,V0,0,1036800,1036800,0,NO,1,128,128,128.000000000,0.000000000
2,V0,1,1036800,1036800,0,NO,1,128,128,128.000000000,0.000000000
2,V0,2,1036800,1036800,0,NO,1,128,128,128.000000000,0.000000000
2,V0,3,1036800,1036800,0,NO,1,128,128,128.000000000,0.000000000
2,V0,4,1036800,1036800,0,NO,1,128,128,128.000000000,0.000000000
2,V0,5,1036800,1036800,0,NO,1,128,128,128.000000000,0.000000000
2,V0,6,1036800,1036800,0,NO,1,128,128,128.000000000,0.000000000
2,V0,7,1036800,0,1036800,NO,1,128,128,128.000000000,0.000000000
3,Y1,0,1036800,1036800,0,NO,1,16,16,16.000000000,0.000000000
3,Y1,1,1036800,1036800,0,NO,1,16,16,16.000000000,0.000000000
3,Y1,2,1036800,1036800,0,NO,1,16,16,16.000000000,0.000000000
3,Y1,3,1036800,1036800,0,NO,1,16,16,16.000000000,0.000000000
3,Y1,4,1036800,0,1036800,NO,1,16,16,16.000000000,0.000000000
3,Y1,5,1036800,1036800,0,NO,1,16,16,16.000000000,0.000000000
3,Y1,6,1036800,1036800,0,NO,1,16,16,16.000000000,0.000000000
3,Y1,7,1036800,1036800,0,NO,1,16,16,16.000000000,0.000000000
