Scanline,PayloadSHA256,LumaMean
0,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
1,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
2,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
3,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
4,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
5,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
6,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
7,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
8,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
9,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
10,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
11,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
12,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
13,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
14,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
15,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
16,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
17,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
18,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
19,5E9FA6E20944A1B9B3AE2B2322B47A4501E6A86F5FD38ABFC20D40956AA07028,16.000000000
