"Signal","Pin","Bank","IO_Name","Clock_Capable_Type","Byte_Group","VCCO","User_IO_Legal","IDDR","ISERDES","IDELAY","BUFIO_Reachable","Special_Restrictions","Result","Notes"
"VCLK1","E16","15","IO_L14P_T2_SRCC_15","SRCC","T2; CR X0Y1; BUFIO_2_REGION LB","3.3 V required","YES","YES","YES","YES","YES; local clock source","P half; companion D16; single-ended use legal","VALID","Bonded HR I/O; IS_CLK_CAPABLE=1; preferred local clock for all CH1 T2 data"
"VDO1[0]","B16","15","IO_L15P_T2_DQS_15","NO","T2; CR X0Y1; BUFIO_2_REGION LB","3.3 V required","YES","YES","YES","YES","YES from E16","DQS-capable P half; companion A17","VALID","Complete L15 P/N data pair with A17"
"VDO1[1]","C16","15","IO_L16P_T2_A28_15","NO","T2; CR X0Y1; BUFIO_2_REGION LB","3.3 V required","YES","YES","YES","YES","YES from E16","P half; companion B17; configuration address alternate","VALID","Complete L16 P/N data pair with B17"
"VDO1[2]","A17","15","IO_L15N_T2_DQS_ADV_B_15","NO","T2; CR X0Y1; BUFIO_2_REGION LB","3.3 V required","YES","YES","YES","YES","YES from E16","N half; DQS/ADV_B configuration alternate; user I/O after configuration","VALID","Currently accepted as VDO1[5]; pair companion B16"
"VDO1[3]","B17","15","IO_L16N_T2_A27_15","NO","T2; CR X0Y1; BUFIO_2_REGION LB","3.3 V required","YES","YES","YES","YES","YES from E16","N half; companion C16; configuration address alternate","VALID","Currently accepted as VDO1[6]"
"VDO1[4]","C17","15","IO_L18P_T2_A24_15","NO","T2; CR X0Y1; BUFIO_2_REGION LB","3.3 V required","YES","YES","YES","YES","YES from E16","P half; companion C18; configuration address alternate","VALID","Complete L18 P/N data pair with C18"
"VDO1[5]","C18","15","IO_L18N_T2_A23_15","NO","T2; CR X0Y1; BUFIO_2_REGION LB","3.3 V required","YES","YES","YES","YES","YES from E16","N half; companion C17; configuration address alternate","VALID","Currently accepted as VDO1[7]"
"VDO1[6]","E17","15","IO_L17P_T2_A26_15","NO","T2; CR X0Y1; BUFIO_2_REGION LB","3.3 V required","YES","YES","YES","YES","YES from E16","P half; companion D18; configuration address alternate","VALID","Complete L17 P/N data pair with D18"
"VDO1[7]","D18","15","IO_L17N_T2_A25_15","NO","T2; CR X0Y1; BUFIO_2_REGION LB","3.3 V required","YES","YES","YES","YES","YES from E16","N half; companion E17; configuration address alternate","VALID","All CH1 data remain within T2"
"VCLK2","R16","14","IO_L14P_T2_SRCC_14","SRCC","T2; CR X0Y0; BUFIO_2_REGION LB","3.3 V required","YES","YES","YES","YES","YES; local clock source","P half; companion R17; single-ended use legal","VALID","Bonded HR I/O; IS_CLK_CAPABLE=1; preferred local clock for all CH2 T2 data"
"VDO2[0]","R18","14","IO_L15P_T2_DQS_RDWR_B_14","NO","T2; CR X0Y0; BUFIO_2_REGION LB","3.3 V required","YES","YES","YES","YES","YES from R16","P half; DQS/RDWR_B configuration alternate; user I/O after configuration","VALID","Pairs with T18"
"VDO2[1]","T15","14","IO_L13N_T2_MRCC_14","MRCC","T2; CR X0Y0; BUFIO_2_REGION LB","3.3 V required","YES","YES","YES","YES","YES from R16","Consumes N half of MRCC pair T14/T15","VALID_WITH_CONSTRAINT","Legal data input but U15 is preferred to preserve MRCC and complete L17 pair"
"VDO2[2]","T18","14","IO_L15N_T2_DQS_DOUT_CSO_B_14","NO","T2; CR X0Y0; BUFIO_2_REGION LB","3.3 V required","YES","YES","YES","YES","YES from R16","N half; DQS/DOUT/CSO_B configuration alternates","VALID","Currently accepted as nvp_sda; must be migrated with PCB change"
"VDO2[3]","T17","14","IO_L16P_T2_CSI_B_14","NO","T2; CR X0Y0; BUFIO_2_REGION LB","3.3 V required","YES","YES","YES","YES","YES from R16","P half; CSI_B configuration alternate","VALID","Currently accepted as nvp_scl; pairs with U17"
"VDO2[4]","U17","14","IO_L16N_T2_A15_D31_14","NO","T2; CR X0Y0; BUFIO_2_REGION LB","3.3 V required","YES","YES","YES","YES","YES from R16","N half; configuration address/data alternates","VALID","Currently nvp_mpp[3]; no synthesizable MPP consumer found"
"VDO2[5]","V17","14","IO_L18N_T2_A11_D27_14","NO","T2; CR X0Y0; BUFIO_2_REGION LB","3.3 V required","YES","YES","YES","YES","YES from R16","N half; configuration address/data alternates","VALID","Pairs with V16; currently nvp_mpp[1]"
"VDO2[6]","U16","14","IO_L17N_T2_A13_D29_14","NO","T2; CR X0Y0; BUFIO_2_REGION LB","3.3 V required","YES","YES","YES","YES","YES from R16","N half; companion U15; configuration address/data alternates","VALID","Use U15 instead of T15 to complete this pair; currently nvp_mpp[2]"
"VDO2[7]","V16","14","IO_L18P_T2_A12_D28_14","NO","T2; CR X0Y0; BUFIO_2_REGION LB","3.3 V required","YES","YES","YES","YES","YES from R16","P half; configuration address/data alternates","VALID","Pairs with V17; currently nvp_mpp[0]"
"IRQ","K17","14","IO_L4P_T0_D04_14","NO","T0; CR X0Y0; BUFIO_2_REGION LB","3.3 V required","YES","YES","YES","YES","N/A for control","P half paired with L18; configuration data alternate","VALID","Suitable single-ended interrupt input"
"RST","L18","14","IO_L4N_T0_D05_14","NO","T0; CR X0Y0; BUFIO_2_REGION LB","3.3 V required","YES","YES","YES","YES","N/A for control","N half paired with K17; configuration data alternate","VALID","Suitable LVCMOS33 output; startup/reset polarity must be handled later"
"SDA","M17","14","IO_L7N_T1_D10_14","NO","T1; CR X0Y0; BUFIO_2_REGION LB","3.3 V required","YES","YES","YES","YES","N/A for control","N half paired with M16; configuration data alternate","VALID","Compatible with IOBUF drive-0/high-Z and external pull-up"
"SCL","N17","14","IO_L9N_T1_DQS_D13_14","NO","T1; CR X0Y0; BUFIO_2_REGION LB","3.3 V required","YES","YES","YES","YES","N/A for control","N half; consumes DQS-capable T1 pair with N16","VALID_WITH_CONSTRAINT","Open-drain legal; N18 is optional ordinary-I/O alternative"
"REFCLK_27MHZ","C13","15","IO_L11N_T1_SRCC_15","SRCC N-side","T1; CR X0Y1; BUFIO_2_REGION LT","3.3 V required","YES","YES","YES","YES","NO for single-ended clock buffer","N half paired with D13; Vivado PLIO-9 permits only P-side CCIO to drive clock buffer single-ended","NOT_RECOMMENDED","Legal ordinary input but unsuitable for intended clock network; move oscillator input to D13; not direct IDELAYCTRL refclk"
