PIN	SITE	IOBANK	PIN_FUNC	IS_CLK_CAPABLE	IS_GLOBAL_CLK	IS_CONFIG_PIN	IS_USER_ACCESSIBLE
A1			GND	0	0		
A2			MGTAVTT	0	0		
A3	IPAD_X1Y12	216	MGTPRXN1_216	0	0		
A4	IPAD_X1Y13	216	MGTPRXP1_216	0	0		
A5			GND	0	0		
A6		216	MGTRREF_216	0	0		
A7			GND	0	0		
A8			GND	0	0		
A9	IOB_X0Y93	15	IO_L3N_T0_DQS_AD1N_15	0	0		
A10	IOB_X0Y89	15	IO_L5N_T0_AD9N_15	0	0		
A11			GND	0	0		
A12	IOB_X0Y85	15	IO_L7N_T1_AD2N_15	0	0		
A13	IOB_X0Y84	15	IO_L8P_T1_AD10P_15	0	0		
A14	IOB_X0Y83	15	IO_L8N_T1_AD10N_15	0	0		
A15	IOB_X0Y79	15	IO_L10N_T1_AD11N_15	0	0		
A16		15	VCCO_15	0	0		
A17	IOB_X0Y69	15	IO_L15N_T2_DQS_ADV_B_15	0	0		
A18			GND	0	0		
B1	OPAD_X0Y6	216	MGTPTXN3_216	0	0		
B2	OPAD_X0Y7	216	MGTPTXP3_216	0	0		
B3			GND	0	0		
B4			MGTAVCC	0	0		
B5	IPAD_X1Y17	216	MGTREFCLK1N_216	0	0		
B6	IPAD_X1Y16	216	MGTREFCLK1P_216	0	0		
B7			GND	0	0		
B8			GND	0	0		
B9	IOB_X0Y94	15	IO_L3P_T0_DQS_AD1P_15	0	0		
B10	IOB_X0Y90	15	IO_L5P_T0_AD9P_15	0	0		
B11	IOB_X0Y91	15	IO_L4N_T0_15	0	0		
B12	IOB_X0Y86	15	IO_L7P_T1_AD2P_15	0	0		
B13		15	VCCO_15	0	0		
B14	IOB_X0Y80	15	IO_L10P_T1_AD11P_15	0	0		
B15	IOB_X0Y81	15	IO_L9N_T1_DQS_AD3N_15	0	0		
B16	IOB_X0Y70	15	IO_L15P_T2_DQS_15	0	0		
B17	IOB_X0Y67	15	IO_L16N_T2_A27_15	0	0		
B18			GND	0	0		
C1			MGTAVTT	0	0		
C2			GND	0	0		
C3	IPAD_X1Y24	216	MGTPRXN2_216	0	0		
C4	IPAD_X1Y25	216	MGTPRXP2_216	0	0		
C5			MGTAVCC	0	0		
C6			GND	0	0		
C7			GND	0	0		
C8	IOB_X0Y97	15	IO_L1N_T0_AD0N_15	0	0		
C9	IOB_X0Y95	15	IO_L2N_T0_AD8N_15	0	0		
C10		15	VCCO_15	0	0		
C11	IOB_X0Y92	15	IO_L4P_T0_15	0	0		
C12	IOB_X0Y87	15	IO_L6N_T0_VREF_15	0	0		
C13	IOB_X0Y77	15	IO_L11N_T1_SRCC_15	1	0		
C14	IOB_X0Y82	15	IO_L9P_T1_DQS_AD3P_15	0	0		
C15			GND	0	0		
C16	IOB_X0Y68	15	IO_L16P_T2_A28_15	0	0		
