PIN	PACKAGE_OBJECT	SITE	IOBANK	PIN_FUNC	IS_CLK_CAPABLE	IS_GLOBAL_CLK	IS_DUAL	IS_CONFIG_PIN	IS_USER_ACCESSIBLE
E16	E16	IOB_X0Y72	15	IO_L14P_T2_SRCC_15	1	0			
B16	B16	IOB_X0Y70	15	IO_L15P_T2_DQS_15	0	0			
C16	C16	IOB_X0Y68	15	IO_L16P_T2_A28_15	0	0			
A17	A17	IOB_X0Y69	15	IO_L15N_T2_DQS_ADV_B_15	0	0			
B17	B17	IOB_X0Y67	15	IO_L16N_T2_A27_15	0	0			
C17	C17	IOB_X0Y64	15	IO_L18P_T2_A24_15	0	0			
C18	C18	IOB_X0Y63	15	IO_L18N_T2_A23_15	0	0			
E17	E17	IOB_X0Y66	15	IO_L17P_T2_A26_15	0	0			
D18	D18	IOB_X0Y65	15	IO_L17N_T2_A25_15	0	0			
R16	R16	IOB_X0Y22	14	IO_L14P_T2_SRCC_14	1	0			
R18	R18	IOB_X0Y20	14	IO_L15P_T2_DQS_RDWR_B_14	0	0			
T15	T15	IOB_X0Y23	14	IO_L13N_T2_MRCC_14	1	0			
T18	T18	IOB_X0Y19	14	IO_L15N_T2_DQS_DOUT_CSO_B_14	0	0			
T17	T17	IOB_X0Y18	14	IO_L16P_T2_CSI_B_14	0	0			
U17	U17	IOB_X0Y17	14	IO_L16N_T2_A15_D31_14	0	0			
V17	V17	IOB_X0Y13	14	IO_L18N_T2_A11_D27_14	0	0			
U16	U16	IOB_X0Y15	14	IO_L17N_T2_A13_D29_14	0	0			
V16	V16	IOB_X0Y14	14	IO_L18P_T2_A12_D28_14	0	0			
K17	K17	IOB_X0Y42	14	IO_L4P_T0_D04_14	0	0			
L18	L18	IOB_X0Y41	14	IO_L4N_T0_D05_14	0	0			
M17	M17	IOB_X0Y35	14	IO_L7N_T1_D10_14	0	0			
N17	N17	IOB_X0Y31	14	IO_L9N_T1_DQS_D13_14	0	0			
C13	C13	IOB_X0Y77	15	IO_L11N_T1_SRCC_15	1	0			
J18	J18	IOB_X0Y44	14	IO_L3P_T0_DQS_PUDC_B_14	0	0			
