Property,AHD_Value,HDMI_Value,Driver_Dependency,Compatible,Evidence,Notes
"PCI vendor/device ID","10ee:7011","10ee:7021","Exact PCI match table","NO","AHD rev8/R2/fresh DUT; HDMI SSOT and xdma_mod.c patch","Sole governed HDMI alias requires 7021; terminal discovery mismatch"
"PCI subsystem ID","10ee:0007","10ee:f0a1","PCI_DEVICE_SUB exact subsystem match","NO","Fresh AHD sysfs; HDMI SSOT and exact patch","Sole governed HDMI alias requires f0a1"
"PCI class","058000","Not frozen in published HDMI XDMA configuration","HDMI module alias wildcards bc/sc/i","YES","Fresh AHD sysfs; governed module alias","Class is not a match restriction for the governed module"
"PCIe generation/link width","Gen2 x1; live 5.0 GT/s x1","Gen2 x1","XDMA/PCIe transport","YES","AHD accepted XCI and fresh link; HDMI accepted XCI","Equivalent link capability"
"XDMA IP family/version","xilinx.com:ip:xdma:4.2; IP revision 2; Vivado 2025.2","xilinx.com:ip:xdma:4.2; Vivado 2025.2","Engine register and descriptor ABI","YES","Accepted AHD and HDMI source/config evidence","Same XDMA family/version"
"Interface mode","AXI Stream","AXI Stream","Channel discovery and transfer path","YES","Accepted AHD and HDMI XDMA configuration","Same mode"
"C2H channel count","1","1","Engine discovery","YES","Accepted AHD and HDMI XDMA configuration","One C2H engine in each design"
"H2C channel count","1 instantiated; AHD TREADY tied low and H2C unsupported","1 instantiated; tied unused","Engine discovery; userspace policy","YES_WITH_CONSTRAINTS","AHD Recovery-4 and HDMI configuration evidence","Presence is compatible; AHD userspace must not use H2C"
"AXI data width","64-bit","64-bit","Engine alignment/data path","YES","Accepted AHD and HDMI XDMA configuration","Equivalent"
"AXI user clock","62.5 MHz","62.5 MHz","FPGA-side timing; not a PCI match key","YES","Accepted AHD and HDMI XDMA configuration","Equivalent"
"User BAR","BAR0; AXI-Lite; 32-bit; non-prefetchable; 128 KiB","BAR0; AXI-Lite; 64 KiB","Generic BAR map and user-node access","YES_WITH_CONSTRAINTS","AHD XCI and live lspci; HDMI accepted XCI","Same BAR index; size differs but generic source does not hard-code HDMI size"
"XDMA configuration BAR","BAR1; 64 KiB","BAR1; 64 KiB","XDMA configuration discovery","YES","AHD XCI/live lspci; HDMI accepted XCI","Equivalent"
"Bypass BAR","Disabled; BAR2-5 disabled","No bypass evidenced; BAR2-5 disabled","Optional bypass nodes","YES","Accepted AHD and HDMI configuration evidence","No bypass-node dependency"
"MSI/MSI-X","MSI enabled; 1 vector; MSI-X disabled","Exact accepted setting not frozen in published set_property evidence","Interrupt setup","UNRESOLVED","AHD XCI; HDMI published authority gap","Generic upstream driver supports interrupt modes, but HDMI setting is a non-claim"
"User interrupts","One interface configured; PRODUCT request tied low","Exact configured count not frozen; historical event nodes observed","Event-node enumeration","YES_WITH_CONSTRAINTS","AHD XCI/RTL; HDMI historical node evidence","Historical nodes are not promoted into an HDMI IP-setting claim"
"Descriptor mode/bypass","Descriptor bypass false","No descriptor-bypass configuration evidenced","Descriptor handling","YES_WITH_CONSTRAINTS","AHD XCI; HDMI accepted design and generic source audit","No HDMI-specific descriptor patch exists"
"Channel discovery","Dynamic upstream XDMA engine probing","Dynamic upstream XDMA engine probing","Probe and engine enumeration","YES","Exact source delta manifest","No channel-enumeration customization"
"Expected nodes","xdmaN_user and xdmaN_c2h_0 after a valid bind","xdmaN_user and xdmaN_c2h_0; exact binary demonstrated","Character-device creation","YES","AHD design intent; HDMI hash-linked historical use","N must be resolved through sysfs/BDF and cannot be assumed zero"
"Payload semantics","AHD_C2H_TRANSPORT_ABI_V1 parsed in AHD userspace","HDMI frame semantics handled outside generic kernel transport","Kernel transports bytes only","YES_WITH_CONSTRAINTS","Exact source delta audit and project evidence","HDMI userspace must not replace AHD parser/tools"
"Overall exact governed-module compatibility","Cannot be discovered by HDMI-only alias","Discovers only 10ee:7021/10ee:f0a1","PCI discovery is mandatory","NO","Combined matrix and deterministic modalias comparison","Core XDMA transport shape is PASS_WITH_CONSTRAINTS; exact module result is FAIL"
