time_ps,probe_owns_bus,scl,sda,probe_count,nack_count
0,0,1,1,0,0
184000,1,1,1,0,0
40248000,1,1,0,0,0
50264000,1,0,0,0,0
60280000,1,1,0,0,0
70296000,1,0,1,0,0
80312000,1,1,1,0,0
90328000,1,0,1,0,0
100344000,1,1,1,0,0
110360000,1,0,0,0,0
120376000,1,1,0,0,0
130392000,1,0,0,0,0
140408000,1,1,0,0,0
150424000,1,0,0,0,0
160440000,1,1,0,0,0
170456000,1,0,0,0,0
180472000,1,1,0,0,0
190488000,1,0,0,0,0
200504000,1,1,0,0,0
210520000,1,0,1,0,0
210520000,1,0,0,0,0
220536000,1,1,0,0,0
230552000,1,0,0,0,0
240568000,1,1,0,0,0
250584000,1,1,1,1,0
270616000,1,1,0,1,0
280632000,1,0,0,1,0
290648000,1,1,0,1,0
300664000,1,0,1,1,0
310680000,1,1,1,1,0
320696000,1,0,1,1,0
330712000,1,1,1,1,0
340728000,1,0,0,1,0
350744000,1,1,0,1,0
360760000,1,0,0,1,0
370776000,1,1,0,1,0
380792000,1,0,0,1,0
390808000,1,1,0,1,0
400824000,1,0,0,1,0
410840000,1,1,0,1,0
420856000,1,0,0,1,0
430872000,1,1,0,1,0
440888000,1,0,1,1,0
440888000,1,0,0,1,0
450904000,1,1,0,1,0
460920000,1,0,0,1,0
470936000,1,1,0,1,0
