"Metric","Value","Basis"
"TABLE_SLOTS","214","slots 0..213"
"TABLE_TARGET_WRITES","187","stage 2 effective table"
"TABLE_DELAY_SLOTS","1","active FE03E8 target 1000"
"TABLE_NOP_SLOTS","26","stage-3-disabled slots"
"VERIFIED_BANK_CHANGES","25","physical-bank cache transitions"
"TOTAL_WRITE_TRANSACTIONS","220","preinit 1 + init 212 + post 7"
"TOTAL_READ_TRANSACTIONS","55","preinit 2 + init 25 + post 28"
"TOTAL_I2C_TRANSACTIONS","275","220 writes + 55 reads"
"WRITE_TRANSACTION_TICK_ACTIONS","61","exact write FSM path"
"READ_TRANSACTION_TICK_ACTIONS","83","exact repeated-start read FSM path"
"SUCCESS_PATH_TICK_ACTIONS","31043","complete all-ACK path"
"SUCCESS_PATH_FIRST_IDLE_TO_FINISH_INTERVALS","31042","N actions span N-1 tick intervals"
