"COMPONENT","TICKS","MEANING","I2C_HZ","DIVIDER","TICK_COUNTER_CYCLES","TICK_BUDGET_US"
"STATE_TICK","1","each FSM state dwell","50000","625","626","10.016000"
"SCL_LOW_PHASE","1","one state tick","50000","625","626","10.016000"
"SCL_HIGH_PHASE","1","one state tick","50000","625","626","10.016000"
"PHYSICAL_SCL_BIT","2","LOW plus HIGH","50000","625","626","20.032000"
"WRITE_TRANSACTION","61","complete exact write path","50000","625","626","610.976000"
"READ_TRANSACTION","83","complete exact repeated-start read path","50000","625","626","831.328000"
"NOP_SLOT","2","SETUP plus NEXT","50000","625","626","20.032000"
"TABLE_DELAY_WAIT_ONLY","1001","inclusive WAIT_SLOT target 1000","50000","625","626","10026.016000"
"TABLE_DELAY_FULL_SLOT","1003","SETUP plus WAIT plus NEXT","50000","625","626","10046.048000"
"FINAL_SETTLE","12001","inclusive WAIT_INIT 0..12000","50000","625","626","120202.016000"
"PREINIT","227","two reads and one write","50000","625","626","2273.632000"
"INIT_REAL_I2C","15007","212 writes and 25 reads","50000","625","626","150310.112000"
"POST_TABLE_READBACK_RESTORE","2751","7 writes and 28 reads","50000","625","626","27554.016000"
"STATE_TICK","1","each FSM state dwell","25000","1250","1251","20.016000"
"SCL_LOW_PHASE","1","one state tick","25000","1250","1251","20.016000"
"SCL_HIGH_PHASE","1","one state tick","25000","1250","1251","20.016000"
"PHYSICAL_SCL_BIT","2","LOW plus HIGH","25000","1250","1251","40.032000"
"WRITE_TRANSACTION","61","complete exact write path","25000","1250","1251","1220.976000"
"READ_TRANSACTION","83","complete exact repeated-start read path","25000","1250","1251","1661.328000"
"NOP_SLOT","2","SETUP plus NEXT","25000","1250","1251","40.032000"
"TABLE_DELAY_WAIT_ONLY","1001","inclusive WAIT_SLOT target 1000","25000","1250","1251","20036.016000"
"TABLE_DELAY_FULL_SLOT","1003","SETUP plus WAIT plus NEXT","25000","1250","1251","20076.048000"
"FINAL_SETTLE","12001","inclusive WAIT_INIT 0..12000","25000","1250","1251","240212.016000"
"PREINIT","227","two reads and one write","25000","1250","1251","4543.632000"
"INIT_REAL_I2C","15007","212 writes and 25 reads","25000","1250","1251","300380.112000"
"POST_TABLE_READBACK_RESTORE","2751","7 writes and 28 reads","25000","1250","1251","55064.016000"
