"TRANSACTION_INDEX","PHASE","TABLE_SLOT","KIND","META_BANK","PHYS_BANK_BEFORE","WIRE_ADDR_W","REG","WDATA","WIRE_ADDR_R","EXPECTED_RDATA","PHYS_BANK_AFTER","FSM_TICK_ACTIONS"
"0","PREINIT","","READ_ORIGINAL","UNKNOWN","UNKNOWN","60","FF","","61","ORIGINAL_FF","ORIGINAL_FF","83"
"1","PREINIT","","SELECT_WRITE","00","ORIGINAL_FF","60","FF","00","","","ORIGINAL_FF","61"
"2","PREINIT","","SELECT_VERIFY","00","ORIGINAL_FF","60","FF","","61","00","00","83"
"3","INIT","0","TARGET_WRITE","00","00","60","80","0F","","","00","61"
"4","INIT","1","SELECT_WRITE","01","00","60","FF","01","","","00","61"
"5","INIT","1","SELECT_VERIFY","01","00","60","FF","","61","01","01","83"
"6","INIT","1","TARGET_WRITE","01","01","60","CA","66","","","01","61"
"7","INIT","2","SELECT_WRITE","03","01","60","FF","03","","","01","61"
"8","INIT","2","SELECT_VERIFY","03","01","60","FF","","61","03","03","83"
"9","INIT","2","TARGET_WRITE","03","03","60","6B","00","","","03","61"
"10","INIT","3","TARGET_WRITE","03","03","60","3A","01","","","03","61"
"11","INIT","5","TARGET_WRITE","03","03","60","3A","00","","","03","61"
"12","INIT","6","SELECT_WRITE","00","03","60","FF","00","","","03","61"
"13","INIT","6","SELECT_VERIFY","00","03","60","FF","","61","00","00","83"
"14","INIT","6","TARGET_WRITE","00","00","60","00","10","","","00","61"
"15","INIT","7","TARGET_WRITE","00","00","60","23","43","","","00","61"
"16","INIT","8","TARGET_WRITE","00","00","60","30","10","","","00","61"
"17","INIT","9","TARGET_WRITE","00","00","60","34","02","","","00","61"
"18","INIT","10","TARGET_WRITE","00","00","60","93","00","","","00","61"
"19","INIT","11","SELECT_WRITE","05","00","60","FF","05","","","00","61"
"20","INIT","11","SELECT_VERIFY","05","00","60","FF","","61","05","05","83"
"21","INIT","11","TARGET_WRITE","05","05","60","00","C0","","","05","61"
"22","INIT","12","TARGET_WRITE","05","05","60","01","02","","","05","61"
"23","INIT","13","TARGET_WRITE","05","05","60","08","50","","","05","61"
"24","INIT","14","TARGET_WRITE","05","05","60","11","06","","","05","61"
"25","INIT","15","TARGET_WRITE","05","05","60","23","00","","","05","61"
"26","INIT","16","TARGET_WRITE","05","05","60","2A","52","","","05","61"
"27","INIT","17","TARGET_WRITE","05","05","60","58","02","","","05","61"
"28","INIT","18","TARGET_WRITE","05","05","60","59","11","","","05","61"
"29","INIT","19","TARGET_WRITE","05","05","60","B8","B9","","","05","61"
