Property                 Type     Read-only  Value
CFGBVS                   enum     false      VCCO
CLASS                    string   true       design
CONFIG_VOLTAGE           enum     false      3.3
CONSTRSET                fileset  true       constrs_1
DCP_VERSION              string   true       
ENABLE_AIE_NETLIST_VIEW  bool     false      1
ENABLE_NOC_NETLIST_VIEW  bool     false      1
IS_BLOCK                 bool     true       0
NAME                     string   true       design_1
NEEDS_REFRESH            bool     true       0
NEEDS_SAVE               bool     true       0
PART                     part     true       xc7a35tcsg325-2
SRCSET                   fileset  true       sources_1
TOP                      string   true       ahd_capture_top_xdma
